Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,ABSA,ABSA Bank Kenya Plc,9.3,14.2,15.65,16,15.7,15.75,-0.05,0.32%,"78,200",-,,
2013-01-03,ABSA,ABSA Bank Kenya Plc,9,14.2,15.7,16,15.8,15.7,0.1,0.64%,"97,900",-,,
2013-01-04,ABSA,ABSA Bank Kenya Plc,9,14.2,15.7,16,15.75,15.8,-0.05,0.32%,"391,900",-,,
2013-01-07,ABSA,ABSA Bank Kenya Plc,9,14.2,15.7,15.95,15.7,15.75,-0.05,0.32%,"246,400",-,,
2013-01-08,ABSA,ABSA Bank Kenya Plc,9,14.2,15.5,15.85,15.7,15.7,-,-,"200,200",-,,
2013-01-09,ABSA,ABSA Bank Kenya Plc,9,14.2,15.3,15.9,15.6,15.7,-0.1,0.64%,"151,200",-,,
2013-01-10,ABSA,ABSA Bank Kenya Plc,9,14.2,15.3,15.7,15.45,15.6,-0.15,0.96%,"172,300",-,,
2013-01-11,ABSA,ABSA Bank Kenya Plc,9,14.2,15.35,15.65,15.4,15.45,-0.05,0.32%,"1,062,100",-,,
2013-01-14,ABSA,ABSA Bank Kenya Plc,8.96,14.2,15.4,15.65,15.5,15.4,0.1,0.65%,"265,200",-,,
2013-01-15,ABSA,ABSA Bank Kenya Plc,9,14.2,15.5,15.8,15.65,15.5,0.15,0.97%,"2,318,900",-,,
2013-01-16,ABSA,ABSA Bank Kenya Plc,9,14.2,15.7,16.5,16.15,15.65,0.5,3.19%,"956,500",-,,
2013-01-17,ABSA,ABSA Bank Kenya Plc,9.3,14.2,16,17,16.25,16.15,0.1,0.62%,"529,400",-,,
2013-01-18,ABSA,ABSA Bank Kenya Plc,9,14.2,16,16.25,16,16.25,-0.25,1.54%,"2,362,300",-,,
2013-01-21,ABSA,ABSA Bank Kenya Plc,9,14.2,16,16.2,16.1,16,0.1,0.63%,"2,307,000",-,,
