Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-04-30,ACCS,AccessKenya Group,3.9,10.1,10,10,10,8.85,1.15,11.50%,0,-,,
2007-06-04,ACCS,AccessKenya Group,4,10.1,12,14.5,13.45,10,3.45,25.65%,"2,530,000",-,,
2007-06-05,ACCS,AccessKenya Group,4,10.1,13.5,14.75,14.3,13.45,0.85,5.94%,"3,650,000",-,,
2007-06-06,ACCS,AccessKenya Group,4,10.1,13.5,15,14.65,14.3,0.35,2.39%,"3,690,000",-,,
2007-06-07,ACCS,AccessKenya Group,4,10.1,12.6,15,13.5,14.65,-1.15,8.52%,"1,850,000",-,,
2007-06-08,ACCS,AccessKenya Group,4,10.1,12,14,12.75,13.5,-0.75,5.88%,"1,260,000",-,,
2007-06-11,ACCS,AccessKenya Group,4,10.1,12.3,13,12.5,12.75,-0.25,2.00%,"885,700",-,,
2007-06-12,ACCS,AccessKenya Group,4,10.1,12.55,13.9,12.75,12.5,0.25,1.96%,"1,180,000",-,,
2007-06-13,ACCS,AccessKenya Group,3.9,10.1,12.65,13.65,12.9,12.75,0.15,1.16%,"935,000",-,,
2007-06-14,ACCS,AccessKenya Group,4,10.1,12.8,13.5,13,12.9,0.1,0.77%,"1,080,000",-,,
2007-06-15,ACCS,AccessKenya Group,4,10.1,12.75,13.75,13.05,13,0.05,0.38%,"985,000",-,,
2007-06-18,ACCS,AccessKenya Group,4,10.1,12.85,13.3,13.1,13.05,0.05,0.38%,"506,500",-,,
2007-06-19,ACCS,AccessKenya Group,4,10.1,13,14,13.6,13.1,0.5,3.68%,"1,020,000",-,,
2007-06-20,ACCS,AccessKenya Group,4,10.1,13.1,13.95,13.55,13.6,-0.05,0.37%,"891,800",-,,
2007-06-21,ACCS,AccessKenya Group,4,10.1,13,13.9,13.55,13.55,-,-,"666,700",-,,
2007-06-22,ACCS,AccessKenya Group,3.9,10.1,13,13.5,13.3,13.55,-0.25,1.88%,"448,900",-,,
2007-06-25,ACCS,AccessKenya Group,4,10.1,12.5,13.5,13.25,13.3,-0.05,0.38%,"440,100",-,,
2007-06-26,ACCS,AccessKenya Group,4,10.1,12.6,13.25,12.95,13.25,-0.3,2.32%,"916,600",-,,
2007-06-27,ACCS,AccessKenya Group,3.9,10.1,12.5,13.2,12.95,12.95,-,-,"711,800",-,,
2007-06-28,ACCS,AccessKenya Group,4,10.1,12.7,13,12.9,12.95,-0.05,0.39%,"301,700",-,,
2007-06-29,ACCS,AccessKenya Group,3.9,10.1,12.5,13.4,12.95,12.9,0.05,0.39%,"943,500",-,,
2007-07-02,ACCS,AccessKenya Group,4,10.1,13,14,13.45,12.95,0.5,3.72%,"1,330,000",-,,
2007-07-03,ACCS,AccessKenya Group,4,10.1,13.1,14.1,13.5,13.45,0.05,0.37%,"1,060,000",-,,
2007-07-04,ACCS,AccessKenya Group,4,10.1,13,13.95,13.75,13.5,0.25,1.82%,"1,230,000",-,,
2007-07-05,ACCS,AccessKenya Group,3.9,10.1,13.3,14,13.85,13.75,0.1,0.72%,"1,690,000",-,,
2007-07-06,ACCS,AccessKenya Group,4,10.1,13.5,14.05,13.9,13.85,0.05,0.36%,"892,100",-,,
2007-07-09,ACCS,AccessKenya Group,4,10.1,13.5,14,13.95,13.9,0.05,0.36%,"351,200",-,,
2007-07-10,ACCS,AccessKenya Group,4,10.1,13.2,14,13.95,13.95,-,-,"641,500",-,,
2007-07-11,ACCS,AccessKenya Group,4,10.1,12.6,14.45,13.75,13.95,-0.2,1.45%,"427,800",-,,
2007-07-12,ACCS,AccessKenya Group,4,10.1,13.1,14.5,13.55,13.75,-0.2,1.48%,"314,000",-,,
2007-07-13,ACCS,AccessKenya Group,4,10.1,13,13.8,13.35,13.55,-0.2,1.50%,"317,500",-,,
2007-07-16,ACCS,AccessKenya Group,4,10.1,13,13.75,13.5,13.35,0.15,1.11%,"800,300",-,,
2007-07-17,ACCS,AccessKenya Group,4,10.1,13,13.5,13.4,13.5,-0.1,0.75%,"655,900",-,,
2007-07-18,ACCS,AccessKenya Group,4,10.1,13,13.5,13.35,13.4,-0.05,0.37%,"383,000",-,,
2007-07-19,ACCS,AccessKenya Group,4,10.1,13,13.55,13.35,13.35,-,-,"664,600",-,,
2007-07-20,ACCS,AccessKenya Group,4,10.1,13,13.65,13.4,13.35,0.05,0.37%,"474,200",-,,
2007-07-23,ACCS,AccessKenya Group,4,10.1,13.05,13.65,13.45,13.4,0.05,0.37%,"322,900",-,,
2007-07-24,ACCS,AccessKenya Group,4,10.1,13.15,13.6,13.45,13.45,-,-,"426,200",-,,
2007-07-25,ACCS,AccessKenya Group,4,10.1,13.5,13.75,13.6,13.45,0.15,1.10%,"539,600",-,,
2007-07-26,ACCS,AccessKenya Group,4,10.1,13.6,14,13.85,13.6,0.25,1.81%,"826,400",-,,
2007-07-27,ACCS,AccessKenya Group,4,10.1,13.65,13.95,13.8,13.85,-0.05,0.36%,"1,040,000",-,,
2007-07-30,ACCS,AccessKenya Group,4,10.1,13.6,14,13.7,13.8,-0.1,0.73%,"753,900",-,,
2007-07-31,ACCS,AccessKenya Group,4,10.1,13.6,13.85,13.7,13.7,-,-,"295,300",-,,
2007-08-01,ACCS,AccessKenya Group,3.9,10.1,13.5,14.5,13.95,13.7,0.25,1.79%,"1,190,000",-,,
2007-08-02,ACCS,AccessKenya Group,4,10.1,13.6,15,14.3,13.95,0.35,2.45%,"521,000",-,,
2007-08-03,ACCS,AccessKenya Group,4,10.1,14,15.7,14.95,14.3,0.65,4.35%,"637,800",-,,
2007-08-06,ACCS,AccessKenya Group,4,10.1,15,16.2,15.6,14.95,0.65,4.17%,"605,700",-,,
2007-08-07,ACCS,AccessKenya Group,4,10.1,14.1,15.9,15,15.6,-0.6,4.00%,"864,000",-,,
2007-08-08,ACCS,AccessKenya Group,4,10.1,13.95,14.95,14.35,15,-0.65,4.53%,"896,900",-,,
2007-08-09,ACCS,AccessKenya Group,4,10.1,13.8,15,14.45,14.35,0.1,0.69%,"624,500",-,,
2007-08-10,ACCS,AccessKenya Group,4,10.1,14,14.6,14.4,14.45,-0.05,0.35%,"226,200",-,,
2007-08-13,ACCS,AccessKenya Group,4,10.1,14.2,14.5,14.4,14.4,-,-,"133,000",-,,
2007-08-14,ACCS,AccessKenya Group,4,10.1,14.2,15.4,14.5,14.4,0.1,0.69%,"263,000",-,,
2007-08-15,ACCS,AccessKenya Group,4,10.1,14.05,14.5,14.35,14.5,-0.15,1.05%,"260,100",-,,
2007-08-16,ACCS,AccessKenya Group,4,10.1,14,14.3,14.1,14.35,-0.25,1.77%,"733,200",-,,
2007-08-17,ACCS,AccessKenya Group,4,10.1,14,14.85,14.3,14.1,0.2,1.40%,"875,000",-,,
2007-08-20,ACCS,AccessKenya Group,4,10.1,14,14.9,14.5,14.3,0.2,1.38%,"435,200",-,,
2007-08-21,ACCS,AccessKenya Group,4,10.1,14.3,15,14.65,14.5,0.15,1.02%,"549,300",-,,
2007-08-22,ACCS,AccessKenya Group,4,10.1,14.3,15,14.6,14.65,-0.05,0.34%,"717,200",-,,
2007-08-23,ACCS,AccessKenya Group,4,10.1,14.5,15,14.9,14.6,0.3,2.01%,"419,800",-,,
2007-08-24,ACCS,AccessKenya Group,4,10.1,14.65,15.4,15,14.9,0.1,0.67%,"942,300",-,,
2007-08-27,ACCS,AccessKenya Group,4,10.1,14.5,16,15.5,15,0.5,3.23%,"592,400",-,,
2007-08-28,ACCS,AccessKenya Group,4,10.1,15.5,16,15.7,15.5,0.2,1.27%,"468,400",-,,
2007-08-29,ACCS,AccessKenya Group,4,10.1,15.55,16.4,15.9,15.7,0.2,1.26%,"1,640,000",-,,
2007-08-30,ACCS,AccessKenya Group,4,10.1,15.5,17.45,16.6,15.9,0.7,4.22%,"698,700",-,,
2007-08-31,ACCS,AccessKenya Group,3.9,10.1,16.5,18.25,17.35,16.6,0.75,4.32%,"869,800",-,,
2007-09-03,ACCS,AccessKenya Group,4,10.1,17.25,19,18.1,17.35,0.75,4.14%,"807,900",-,,
2007-09-04,ACCS,AccessKenya Group,4,10.1,17.35,19,18.3,18.1,0.2,1.09%,"1,340,000",-,,
2007-09-05,ACCS,AccessKenya Group,4,10.1,16.7,18.5,17.8,18.3,-0.5,2.81%,"1,280,000",-,,
2007-09-06,ACCS,AccessKenya Group,4,10.1,17,18,17.5,17.8,-0.3,1.71%,"988,800",-,,
2007-09-07,ACCS,AccessKenya Group,4,10.1,17.5,18.35,17.85,17.5,0.35,1.96%,"1,790,000",-,,
2007-09-10,ACCS,AccessKenya Group,4,10.1,17,18,17.85,17.85,-,-,"751,300",-,,
2007-09-11,ACCS,AccessKenya Group,4,10.1,17.2,18.5,18,17.85,0.15,0.83%,"1,080,000",-,,
2007-09-12,ACCS,AccessKenya Group,4,10.1,17.6,18.7,18.2,18,0.2,1.10%,"1,420,000",-,,
2007-09-13,ACCS,AccessKenya Group,4,10.1,18,19.25,18.75,18.2,0.55,2.93%,"1,340,000",-,,
2007-09-14,ACCS,AccessKenya Group,4,10.1,18,19,18.5,18.75,-0.25,1.35%,"441,700",-,,
2007-09-17,ACCS,AccessKenya Group,4,10.1,18,18.5,18.3,18.5,-0.2,1.09%,"747,300",-,,
2007-09-18,ACCS,AccessKenya Group,4,10.1,17.5,18.5,18.2,18.3,-0.1,0.55%,"831,000",-,,
2007-09-19,ACCS,AccessKenya Group,4,10.1,18,19,18.2,18.2,-,-,"2,430,000",-,,
2007-09-20,ACCS,AccessKenya Group,4,10.1,18,18.5,18.15,18.2,-0.05,0.28%,"2,220,000",-,,
2007-09-21,ACCS,AccessKenya Group,4,10.1,18,18.7,18.35,18.15,0.2,1.09%,"824,000",-,,
2007-09-24,ACCS,AccessKenya Group,4,10.1,17.95,18.7,18.1,18.35,-0.25,1.38%,"1,730,000",-,,
2007-09-25,ACCS,AccessKenya Group,4,10.1,17.5,18.5,17.95,18.1,-0.15,0.84%,"535,200",-,,
2007-09-26,ACCS,AccessKenya Group,4,10.1,16.2,17.8,17.15,17.95,-0.8,4.66%,"701,900",-,,
2007-09-27,ACCS,AccessKenya Group,4,10.1,15.5,17.15,16.7,17.15,-0.45,2.69%,"560,300",-,,
2007-09-28,ACCS,AccessKenya Group,4,10.1,16.45,17.15,16.9,16.7,0.2,1.18%,"976,700",-,,
2007-10-01,ACCS,AccessKenya Group,3.9,10.1,16.1,17.5,17.05,16.9,0.15,0.88%,"272,100",-,,
2007-10-02,ACCS,AccessKenya Group,4,10.1,17.1,18,17.5,17.05,0.45,2.57%,"309,900",-,,
2007-10-03,ACCS,AccessKenya Group,4,10.1,16.9,18,17.75,17.5,0.25,1.41%,"695,400",-,,
2007-10-04,ACCS,AccessKenya Group,4,10.1,17.3,18,17.6,17.75,-0.15,0.85%,"382,900",-,,
2007-10-05,ACCS,AccessKenya Group,3.9,10.1,17.2,17.9,17.7,17.6,0.1,0.56%,"782,600",-,,
2007-10-08,ACCS,AccessKenya Group,4,10.1,16.5,17.7,17.4,17.7,-0.3,1.72%,"412,800",-,,
2007-10-09,ACCS,AccessKenya Group,3.9,10.1,15.8,17.4,16.8,17.4,-0.6,3.57%,"333,500",-,,
2007-10-11,ACCS,AccessKenya Group,4,10.1,16,17.2,16.8,16.8,-,-,"550,500",-,,
2007-10-12,ACCS,AccessKenya Group,4,10.1,16,17.4,16.95,16.8,0.15,0.88%,"278,900",-,,
2007-10-15,ACCS,AccessKenya Group,4,10.1,16.5,17.8,17.35,16.95,0.4,2.31%,"287,200",-,,
2007-10-16,ACCS,AccessKenya Group,4,10.1,17,18.1,17.9,17.35,0.55,3.07%,"696,000",-,,
2007-10-17,ACCS,AccessKenya Group,4,10.1,17.5,18.2,18,17.9,0.1,0.56%,"327,000",-,,
2007-10-18,ACCS,AccessKenya Group,4,10.1,17.5,18.7,18.35,18,0.35,1.91%,"748,700",-,,
2007-10-19,ACCS,AccessKenya Group,4,10.1,17.6,18.9,18.5,18.35,0.15,0.81%,"372,500",-,,
2007-10-22,ACCS,AccessKenya Group,4,10.1,18,18.8,18.3,18.5,-0.2,1.09%,"486,200",-,,
2007-10-23,ACCS,AccessKenya Group,4,10.1,17.5,18.5,17.95,18.3,-0.35,1.95%,"847,000",-,,
2007-10-24,ACCS,AccessKenya Group,4,10.1,17.2,18.3,17.75,17.95,-0.2,1.13%,"595,000",-,,
2007-10-25,ACCS,AccessKenya Group,4,10.1,17.2,18.2,17.9,17.75,0.15,0.84%,"457,900",-,,
2007-10-26,ACCS,AccessKenya Group,4,10.1,17.2,18.15,17.7,17.9,-0.2,1.13%,"315,600",-,,
2007-10-29,ACCS,AccessKenya Group,4,10.1,16.55,17.95,17.25,17.7,-0.45,2.61%,"122,800",-,,
2007-10-30,ACCS,AccessKenya Group,4,10.1,16,17.5,17.15,17.25,-0.1,0.58%,"98,500",-,,
2007-10-31,ACCS,AccessKenya Group,4,10.1,16.8,17.4,17.1,17.15,-0.05,0.29%,"204,700",-,,
2007-11-01,ACCS,AccessKenya Group,3.9,10.1,17.2,18,17.75,17.1,0.65,3.66%,"419,800",-,,
2007-11-02,ACCS,AccessKenya Group,4,10.1,17.5,18.5,17.95,17.75,0.2,1.11%,"1,450,000",-,,
2007-11-05,ACCS,AccessKenya Group,4,10.1,17.1,18.45,17.85,17.95,-0.1,0.56%,"102,400",-,,
2007-11-06,ACCS,AccessKenya Group,4,10.1,17.15,18.5,18,17.85,0.15,0.83%,"156,100",-,,
2007-11-07,ACCS,AccessKenya Group,4,10.1,17.7,18.5,18.25,18,0.25,1.37%,"270,100",-,,
2007-11-08,ACCS,AccessKenya Group,4,10.1,17.6,18.2,18,18.25,-0.25,1.39%,"146,900",-,,
2007-11-09,ACCS,AccessKenya Group,4,10.1,17.5,18.3,18.05,18,0.05,0.28%,"418,100",-,,
2007-11-12,ACCS,AccessKenya Group,4,10.1,17.5,18.2,17.95,18.05,-0.1,0.56%,"159,600",-,,
2007-11-13,ACCS,AccessKenya Group,4,10.1,17.5,18.3,18,17.95,0.05,0.28%,"153,400",-,,
2007-11-14,ACCS,AccessKenya Group,4,10.1,17.6,18.7,18,18,-,-,"336,100",-,,
2007-11-15,ACCS,AccessKenya Group,4,10.1,17.7,18.15,18,18,-,-,"340,100",-,,
2007-11-16,ACCS,AccessKenya Group,4,10.1,17.65,18.2,18,18,-,-,"191,800",-,,
2007-11-19,ACCS,AccessKenya Group,4,10.1,17.7,18.5,18.25,18,0.25,1.37%,"7,350,000",-,,
2007-11-20,ACCS,AccessKenya Group,4,10.1,18.05,19,18.4,18.25,0.15,0.82%,"208,400",-,,
2007-11-21,ACCS,AccessKenya Group,4,10.1,18.25,19,18.65,18.4,0.25,1.34%,"337,200",-,,
