Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,ARM,Athi River Mining,32,74,78,84,81.5,82,-0.5,0.61%,"18,400",16.3,,
2007-01-03,ARM,Athi River Mining,33.2,74,79.5,84,83,81.5,1.5,1.81%,"36,500",16.6,,
2007-01-04,ARM,Athi River Mining,32,74,80,84,82.5,83,-0.5,0.61%,"39,500",16.5,,
2007-01-05,ARM,Athi River Mining,33.2,74,80,86,83.5,82.5,1,1.20%,"56,500",16.7,,
2007-01-08,ARM,Athi River Mining,33.2,74,84,88,85,83.5,1.5,1.76%,"49,100",17,,
2007-01-09,ARM,Athi River Mining,33.2,74,86,90,87,85,2,2.30%,"119,800",17.4,,
2007-01-10,ARM,Athi River Mining,33.2,74,84,92,88.5,87,1.5,1.69%,"94,300",17.7,,
2007-01-11,ARM,Athi River Mining,33.2,74,86,94,89.5,88.5,1,1.12%,"74,800",17.9,,
2007-01-12,ARM,Athi River Mining,33.2,74,90,97,94,89.5,4.5,4.79%,"142,400",18.8,,
2007-01-15,ARM,Athi River Mining,33.2,74,88,94,91.5,94,-2.5,2.73%,"45,000",18.3,,
2007-01-16,ARM,Athi River Mining,33.2,74,88.5,90,89,91.5,-2.5,2.81%,"36,900",17.8,,
2007-01-17,ARM,Athi River Mining,33.2,74,88,90,88,89,-1,1.14%,"80,400",17.6,,
2007-01-18,ARM,Athi River Mining,32,74,82.5,90,88,88,-,-,"57,500",17.6,,
2007-01-19,ARM,Athi River Mining,33.2,74,86,89,87.5,88,-0.5,0.57%,"28,700",17.5,,
2007-01-22,ARM,Athi River Mining,33.2,74,80.5,87,85.5,87.5,-2,2.34%,"11,200",17.1,,
2007-01-23,ARM,Athi River Mining,33.2,74,82.5,88,85,85.5,-0.5,0.59%,"42,100",17,,
2007-01-24,ARM,Athi River Mining,33.2,74,82.5,87,84.5,85,-0.5,0.59%,"19,800",16.9,,
2007-01-25,ARM,Athi River Mining,33.2,74,84,87.5,86.5,84.5,2,2.31%,"87,400",17.3,,
