Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,BAMB,Bamburi Cement,143,225,200,209,200,213,-13,6.50%,"7,600",-,,
2007-01-03,BAMB,Bamburi Cement,143,225,208,209,208,200,8,3.85%,"13,800",-,,
2007-01-04,BAMB,Bamburi Cement,143,225,209,215,209,208,1,0.48%,"16,300",-,,
2007-01-05,BAMB,Bamburi Cement,143,225,211,220,217,209,8,3.69%,"3,300",-,,
2007-01-08,BAMB,Bamburi Cement,143,225,211,220,219,217,2,0.91%,"2,500",-,,
2007-01-09,BAMB,Bamburi Cement,143,225,220,220,220,219,1,0.45%,"13,000",-,,
2007-01-10,BAMB,Bamburi Cement,143,225,225,230,229,220,9,3.93%,"2,100",-,,
2007-01-11,BAMB,Bamburi Cement,143,225,220,235,223,229,-6,2.69%,"14,700",-,,
2007-01-12,BAMB,Bamburi Cement,143,225,230,240,233,223,10,4.29%,"17,700",-,,
2007-01-15,BAMB,Bamburi Cement,143,225,215,235,232,233,-1,0.43%,"6,300",-,,
2007-01-16,BAMB,Bamburi Cement,143,225,220,235,227,232,-5,2.20%,"13,900",-,,
2007-01-17,BAMB,Bamburi Cement,143,225,226,240,229,227,2,0.87%,"18,000",-,,
2007-01-18,BAMB,Bamburi Cement,143,225,235,240,239,229,10,4.18%,"29,100",-,,
2007-01-19,BAMB,Bamburi Cement,143,225,238,250,239,239,-,-,"7,300",-,,
2007-01-22,BAMB,Bamburi Cement,143,225,220,240,233,239,-6,2.58%,"7,700",-,,
2007-01-23,BAMB,Bamburi Cement,143,225,220,230,221,233,-12,5.43%,"33,900",-,,
2007-01-24,BAMB,Bamburi Cement,143,225,220,221,220,221,-1,0.45%,"3,900",-,,
2007-01-25,BAMB,Bamburi Cement,143,225,220,220,220,220,-,-,"13,100",-,,
2007-01-26,BAMB,Bamburi Cement,143,225,220,220,220,220,-,-,400,-,,
2007-01-29,BAMB,Bamburi Cement,143,225,220,230,222,220,2,0.90%,700,-,,
2007-01-30,BAMB,Bamburi Cement,143,225,220,220,220,222,-2,0.91%,"28,900",-,,
2007-01-31,BAMB,Bamburi Cement,143,225,200,230,211,220,-9,4.27%,"4,000",-,,
2007-02-01,BAMB,Bamburi Cement,143,225,209,220,210,211,-1,0.48%,"3,200",-,,
2007-02-02,BAMB,Bamburi Cement,143,225,220,225,223,210,13,5.83%,"67,000",-,,
2007-02-06,BAMB,Bamburi Cement,143,225,210,218,214,223,-9,4.21%,"2,000",-,,
2007-02-07,BAMB,Bamburi Cement,143,225,210,220,219,214,5,2.28%,"51,600",-,,
2007-02-08,BAMB,Bamburi Cement,143,225,214,225,222,219,3,1.35%,"39,000",-,,
2007-02-09,BAMB,Bamburi Cement,143,225,219,220,219,222,-3,1.37%,"17,100",-,,
2007-02-12,BAMB,Bamburi Cement,143,225,223,225,224,219,5,2.23%,"25,300",-,,
2007-02-13,BAMB,Bamburi Cement,143,225,223,225,223,224,-1,0.45%,"2,500",-,,
2007-02-14,BAMB,Bamburi Cement,143,225,209,220,217,223,-6,2.76%,"6,200",-,,
2007-02-15,BAMB,Bamburi Cement,143,225,210,215,210,217,-7,3.33%,"13,100",-,,
2007-02-16,BAMB,Bamburi Cement,143,225,210,220,218,210,8,3.67%,"34,900",-,,
2007-02-19,BAMB,Bamburi Cement,143,225,219,220,219,218,1,0.46%,"101,500",-,,
2007-02-20,BAMB,Bamburi Cement,143,225,220,224,223,219,4,1.79%,"54,800",-,,
2007-02-21,BAMB,Bamburi Cement,143,225,220,223,222,223,-1,0.45%,"57,100",-,,
2007-02-22,BAMB,Bamburi Cement,143,225,219,222,219,222,-3,1.37%,"5,700",-,,
2007-02-23,BAMB,Bamburi Cement,143,225,219,222,219,219,-,-,"91,900",-,,
2007-02-26,BAMB,Bamburi Cement,143,225,215,219,218,219,-1,0.46%,"65,300",-,,
2007-02-27,BAMB,Bamburi Cement,143,225,215,217,215,218,-3,1.40%,"18,000",-,,
2007-02-28,BAMB,Bamburi Cement,143,225,215,217,215,215,-,-,"21,800",-,,
2007-03-01,BAMB,Bamburi Cement,143,225,215,215,215,215,-,-,"54,400",-,,
2007-03-02,BAMB,Bamburi Cement,143,225,215,215,215,215,-,-,"1,000",-,,
2007-03-05,BAMB,Bamburi Cement,143,225,215,217,216,215,1,0.46%,"8,600",-,,
2007-03-06,BAMB,Bamburi Cement,143,225,215,215,215,216,-1,0.47%,"10,800",-,,
2007-03-07,BAMB,Bamburi Cement,143,225,215,216,215,215,-,-,"1,000",-,,
2007-03-08,BAMB,Bamburi Cement,143,225,215,215,215,215,-,-,"4,800",-,,
2007-03-12,BAMB,Bamburi Cement,143,225,215,215,215,215,-,-,100,-,,
2007-03-13,BAMB,Bamburi Cement,143,225,215,216,215,215,-,-,"10,300",-,,
2007-03-14,BAMB,Bamburi Cement,143,225,215,216,215,215,-,-,"9,700",-,,
2007-03-15,BAMB,Bamburi Cement,143,225,210,215,212,215,-3,1.42%,"14,400",-,,
2007-03-16,BAMB,Bamburi Cement,143,225,202,205,204,212,-8,3.92%,"18,600",-,,
2007-03-19,BAMB,Bamburi Cement,143,225,205,212,208,204,4,1.92%,"1,900",-,,
2007-03-20,BAMB,Bamburi Cement,143,225,200,206,200,208,-8,4.00%,"60,300",-,,
2007-03-21,BAMB,Bamburi Cement,143,225,195,205,199,200,-1,0.50%,"86,300",-,,
2007-03-22,BAMB,Bamburi Cement,143,225,188,190,189,199,-10,5.29%,"10,400",-,,
2007-03-23,BAMB,Bamburi Cement,143,225,175,200,175,189,-14,8.00%,"9,600",-,,
2007-03-26,BAMB,Bamburi Cement,143,225,170,180,179,175,4,2.23%,"150,400",-,,
2007-03-27,BAMB,Bamburi Cement,143,225,170,180,174,179,-5,2.87%,500,-,,
2007-03-28,BAMB,Bamburi Cement,143,225,175,185,180,174,6,3.33%,"110,100",-,,
