Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,BAT,British American Tobacco Kenya,290,549,197,200,199,197,2,1.01%,"4,200",-,,
2007-01-03,BAT,British American Tobacco Kenya,297,549,198,198,198,199,-1,0.51%,900,-,,
2007-01-04,BAT,British American Tobacco Kenya,290,549,195,200,195,198,-3,1.54%,"134,100",-,,
2007-01-05,BAT,British American Tobacco Kenya,297,549,195,205,195,195,-,-,"51,100",-,,
2007-01-08,BAT,British American Tobacco Kenya,297,549,195,200,195,195,-,-,"101,000",-,,
2007-01-09,BAT,British American Tobacco Kenya,297,549,200,200,200,195,5,2.50%,"11,000",-,,
2007-01-10,BAT,British American Tobacco Kenya,297,549,205,220,208,200,8,3.85%,"65,800",-,,
2007-01-11,BAT,British American Tobacco Kenya,297,549,240,240,240,208,32,13.33%,"53,300",-,,
2007-01-12,BAT,British American Tobacco Kenya,297,549,238,264,249,240,9,3.61%,"108,200",-,,
2007-01-15,BAT,British American Tobacco Kenya,297,549,240,260,253,249,4,1.58%,"30,000",-,,
2007-01-16,BAT,British American Tobacco Kenya,297,549,225,260,235,253,-18,7.66%,"11,100",-,,
2007-01-17,BAT,British American Tobacco Kenya,297,549,220,230,228,235,-7,3.07%,"44,500",-,,
2007-01-18,BAT,British American Tobacco Kenya,290,549,200,220,215,228,-13,6.05%,"70,800",-,,
2007-01-19,BAT,British American Tobacco Kenya,295,549,220,230,222,215,7,3.15%,"15,000",-,,
2007-01-22,BAT,British American Tobacco Kenya,297,549,225,240,232,222,10,4.31%,"9,400",-,,
2007-01-23,BAT,British American Tobacco Kenya,297,549,235,237,235,232,3,1.28%,"2,300",-,,
2007-01-24,BAT,British American Tobacco Kenya,297,549,237,250,243,235,8,3.29%,"52,500",-,,
2007-01-25,BAT,British American Tobacco Kenya,297,549,220,250,245,243,2,0.82%,"45,300",-,,
2007-01-26,BAT,British American Tobacco Kenya,297,549,240,245,242,245,-3,1.24%,"16,500",-,,
2007-01-29,BAT,British American Tobacco Kenya,297,549,239,240,239,242,-3,1.26%,"2,800",-,,
2007-01-30,BAT,British American Tobacco Kenya,297,549,230,240,235,239,-4,1.70%,"13,600",-,,
2007-01-31,BAT,British American Tobacco Kenya,297,549,220,237,223,235,-12,5.38%,"10,100",-,,
2007-02-01,BAT,British American Tobacco Kenya,290,549,222,230,227,223,4,1.76%,"13,600",-,,
2007-02-02,BAT,British American Tobacco Kenya,290,549,224,230,224,227,-3,1.34%,"69,800",-,,
2007-02-05,BAT,British American Tobacco Kenya,297,549,225,226,225,224,1,0.44%,"31,200",-,,
2007-02-06,BAT,British American Tobacco Kenya,297,549,210,230,224,225,-1,0.45%,"177,800",-,,
2007-02-07,BAT,British American Tobacco Kenya,297,549,225,230,228,224,4,1.75%,"12,300",-,,
2007-02-08,BAT,British American Tobacco Kenya,297,549,230,233,230,228,2,0.87%,"52,000",-,,
2007-02-09,BAT,British American Tobacco Kenya,297,549,233,235,234,230,4,1.71%,"13,300",-,,
2007-02-12,BAT,British American Tobacco Kenya,297,549,212,238,236,234,2,0.85%,"3,500",-,,
2007-02-13,BAT,British American Tobacco Kenya,297,549,235,240,238,236,2,0.84%,"23,100",-,,
2007-02-14,BAT,British American Tobacco Kenya,297,549,236,240,238,238,-,-,"199,500",-,,
2007-02-15,BAT,British American Tobacco Kenya,297,549,236,240,238,238,-,-,"144,500",-,,
2007-02-16,BAT,British American Tobacco Kenya,297,549,238,241,239,238,1,0.42%,"380,100",-,,
2007-02-19,BAT,British American Tobacco Kenya,297,549,238,240,239,239,-,-,"131,200",-,,
2007-02-20,BAT,British American Tobacco Kenya,297,549,220,239,236,239,-3,1.27%,"31,500",-,,
2007-02-21,BAT,British American Tobacco Kenya,297,549,215,230,228,236,-8,3.51%,"24,200",-,,
2007-02-22,BAT,British American Tobacco Kenya,297,549,206,210,207,228,-21,10.14%,"9,100",-,,
2007-02-23,BAT,British American Tobacco Kenya,297,549,199,218,215,207,8,3.72%,"81,300",-,,
2007-02-26,BAT,British American Tobacco Kenya,297,549,202,205,204,215,-11,5.39%,"65,500",-,,
2007-02-27,BAT,British American Tobacco Kenya,293,549,200,205,201,204,-3,1.49%,"6,500",-,,
2007-02-28,BAT,British American Tobacco Kenya,293,549,199,201,200,201,-1,0.50%,"33,400",-,,
2007-03-01,BAT,British American Tobacco Kenya,290,549,180,195,190,200,-10,5.26%,"3,400",-,,
2007-03-02,BAT,British American Tobacco Kenya,297,549,180,198,186,190,-4,2.15%,"21,200",-,,
2007-03-05,BAT,British American Tobacco Kenya,293,549,180,201,189,186,3,1.59%,"20,100",-,,
2007-03-06,BAT,British American Tobacco Kenya,297,549,190,191,190,189,1,0.53%,"7,700",-,,
2007-03-07,BAT,British American Tobacco Kenya,297,549,189,190,189,190,-1,0.53%,"68,300",-,,
2007-03-08,BAT,British American Tobacco Kenya,295,549,188,190,189,189,-,-,"117,900",-,,
2007-03-09,BAT,British American Tobacco Kenya,297,549,189,194,192,189,3,1.56%,"2,900",-,,
2007-03-12,BAT,British American Tobacco Kenya,297,549,190,195,192,192,-,-,"151,500",-,,
2007-03-13,BAT,British American Tobacco Kenya,297,549,193,195,194,192,2,1.03%,"18,100",-,,
2007-03-14,BAT,British American Tobacco Kenya,297,549,190,195,192,194,-2,1.04%,"1,600",-,,
2007-03-15,BAT,British American Tobacco Kenya,293,549,193,195,194,192,2,1.03%,"3,900",-,,
2007-03-16,BAT,British American Tobacco Kenya,297,549,193,196,194,194,-,-,"12,900",-,,
2007-03-19,BAT,British American Tobacco Kenya,297,549,181,195,187,194,-7,3.74%,"2,600",-,,
2007-03-20,BAT,British American Tobacco Kenya,297,549,190,196,193,187,6,3.11%,"44,300",-,,
2007-03-21,BAT,British American Tobacco Kenya,297,549,193,196,193,193,-,-,"42,900",-,,
2007-03-22,BAT,British American Tobacco Kenya,297,549,80,199,160,193,-33,20.63%,"8,500",-,,
2007-03-23,BAT,British American Tobacco Kenya,297,549,170,184,177,160,17,9.60%,"5,100",-,,
2007-03-26,BAT,British American Tobacco Kenya,297,549,170,170,170,177,-7,4.12%,"13,100",-,,
2007-03-27,BAT,British American Tobacco Kenya,297,549,170,177,170,170,-,-,"33,300",-,,
