Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,BAUM,A.Baumann,11.1,11.1,32,32,32,33.5,-1.5,4.69%,200,-,,
2007-01-16,BAUM,A.Baumann,11.1,11.1,29,29,29,32,-3,10.34%,"5,000",-,,
2007-01-18,BAUM,A.Baumann,11.1,11.1,27,27,27,29,-2,7.41%,"10,000",-,,
2007-02-09,BAUM,A.Baumann,11.1,11.1,29,29,29,27,2,6.90%,100,-,,
2007-02-14,BAUM,A.Baumann,11.1,11.1,29,29,29,29,-,-,"1,000",-,,
2007-04-17,BAUM,A.Baumann,11.1,11.1,29,29,29,29,-,-,100,-,,
2007-05-31,BAUM,A.Baumann,11.1,11.1,27,27,27,29,-2,7.41%,200,-,,
2007-06-14,BAUM,A.Baumann,11.1,11.1,27,27,27,27,-,-,"10,000",-,,
2007-07-09,BAUM,A.Baumann,11.1,11.1,26.5,26.5,26.5,27,-0.5,1.89%,500,-,,
2007-08-09,BAUM,A.Baumann,11.1,11.1,26.5,26.5,26.5,26.5,-,-,100,-,,
2007-08-13,BAUM,A.Baumann,11.1,11.1,26,26,26,26.5,-0.5,1.92%,500,-,,
2007-11-05,BAUM,A.Baumann,11.1,11.1,23.5,23.5,23.5,26,-2.5,10.64%,"56,300",-,,
2007-12-04,BAUM,A.Baumann,11.1,11.1,21.25,21.25,21.25,23.5,-2.25,10.59%,100,-,,
2007-12-14,BAUM,A.Baumann,11.1,11.1,20,20,20,21.25,-1.25,6.25%,900,-,,
2007-12-17,BAUM,A.Baumann,11.1,11.1,20,20,20,20,-,-,200,-,,
2007-12-24,BAUM,A.Baumann,11.1,11.1,19.9,19.9,19.9,20,-0.1,0.50%,100,-,,
2008-01-15,BAUM,A.Baumann,11.1,11.1,17.95,17.95,17.95,19.9,-1.95,10.86%,100,,,-
2008-01-22,BAUM,A.Baumann,11.1,11.1,16.6,16.6,16.6,17.95,-1.35,8.13%,100,,,-
2008-01-23,BAUM,A.Baumann,11.1,11.1,17,17,17,16.6,0.4,2.35%,"1,000",,,-
2008-01-25,BAUM,A.Baumann,11.1,11.1,16.6,16.6,16.6,17,-0.4,2.41%,"3,100",,,-
2008-01-28,BAUM,A.Baumann,11.1,11.1,16.6,16.6,16.6,16.6,-,-,"16,900",,,-
2008-01-31,BAUM,A.Baumann,11.1,11.1,15,15,15,16.6,-1.6,10.67%,"1,000",,,-
2008-02-01,BAUM,A.Baumann,11.1,11.1,13.5,14,13.6,15,-1.4,10.29%,"3,800",,,-
2008-02-05,BAUM,A.Baumann,11.1,11.1,12.5,13.75,13.5,13.6,-0.1,0.74%,"2,500",,,-
