Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,BBK,Barclays Bank,11.75,18.5,74,84.5,83.5,76,7.5,8.98%,"398,300",20.88,,
2007-01-03,BBK,Barclays Bank,11.9,18.5,81,92.5,89.5,83.5,6,6.70%,"1,090,000",22.38,,
2007-01-04,BBK,Barclays Bank,11.75,18.5,85,95,89.5,89.5,-,-,"752,500",22.38,,
2007-01-05,BBK,Barclays Bank,11.9,18.5,90,95,93,89.5,3.5,3.76%,"911,900",23.25,,
2007-01-08,BBK,Barclays Bank,11.9,18.5,85,95,90.5,93,-2.5,2.76%,"1,260,000",22.63,,
2007-01-09,BBK,Barclays Bank,11.9,18.5,86,95,88,90.5,-2.5,2.84%,"684,900",22,,
2007-01-10,BBK,Barclays Bank,11.9,18.5,83,88,86.5,88,-1.5,1.73%,"754,300",21.63,,
2007-01-11,BBK,Barclays Bank,11.9,18.5,79,88,84,86.5,-2.5,2.98%,"864,000",21,,
2007-01-12,BBK,Barclays Bank,11.9,18.5,78,83,82,84,-2,2.44%,"585,500",20.5,,
2007-01-15,BBK,Barclays Bank,11.9,18.5,78,86,82,82,-,-,"446,100",20.5,,
2007-01-16,BBK,Barclays Bank,11.9,18.5,80,85,81,82,-1,1.23%,"799,300",20.25,,
2007-01-17,BBK,Barclays Bank,11.9,18.5,76.5,83,81,81,-,-,"688,900",20.25,,
2007-01-18,BBK,Barclays Bank,11.75,18.5,79,82,80.5,81,-0.5,0.62%,"619,900",20.13,,
2007-01-19,BBK,Barclays Bank,11.8,18.5,75.5,80,78.5,80.5,-2,2.55%,"646,700",19.63,,
2007-01-22,BBK,Barclays Bank,11.9,18.5,75,79,77.5,78.5,-1,1.29%,"764,700",19.38,,
2007-01-23,BBK,Barclays Bank,11.9,18.5,75.5,79,76.5,77.5,-1,1.31%,"511,900",19.13,,
2007-01-24,BBK,Barclays Bank,11.9,18.5,75.5,80,76.5,76.5,-,-,"1,090,000",19.13,,
2007-01-25,BBK,Barclays Bank,11.9,18.5,75,82,77,76.5,0.5,0.65%,"314,000",19.25,,
2007-01-26,BBK,Barclays Bank,11.9,18.5,77,81.5,79,77,2,2.53%,"451,000",19.75,,
2007-01-29,BBK,Barclays Bank,11.9,18.5,78,82,79,79,-,-,"463,200",19.75,,
2007-01-30,BBK,Barclays Bank,11.9,18.5,76,86,79.5,79,0.5,0.63%,"441,000",19.88,,
2007-01-31,BBK,Barclays Bank,11.9,18.5,77.5,80,79.5,79.5,-,-,"448,000",19.88,,
2007-02-01,BBK,Barclays Bank,11.75,18.5,77,82.5,79,79.5,-0.5,0.63%,"399,300",19.75,,
2007-02-02,BBK,Barclays Bank,11.75,18.5,78,80,79,79,-,-,"1,380,000",19.75,,
2007-02-05,BBK,Barclays Bank,11.9,18.5,75,85,77,79,-2,2.60%,"585,300",19.25,,
2007-02-06,BBK,Barclays Bank,11.9,18.5,75,78,77,77,-,-,"349,000",19.25,,
2007-02-07,BBK,Barclays Bank,11.9,18.5,75,82,77.5,77,0.5,0.65%,"388,000",19.38,,
2007-02-08,BBK,Barclays Bank,11.9,18.5,76,82,78.5,77.5,1,1.27%,"399,400",19.63,,
2007-02-09,BBK,Barclays Bank,11.9,18.5,77,80,79.5,78.5,1,1.26%,"508,500",19.88,,
2007-02-12,BBK,Barclays Bank,11.9,18.5,76,80,79.5,79.5,-,-,"352,100",19.88,,
2007-02-13,BBK,Barclays Bank,11.9,18.5,74,82,79.5,79.5,-,-,"526,600",19.88,,
2007-02-14,BBK,Barclays Bank,11.9,18.5,77,80,79.5,79.5,-,-,"309,500",19.88,,
2007-02-15,BBK,Barclays Bank,11.9,18.5,75,79.5,78.5,79.5,-1,1.27%,"533,800",19.63,,
2007-02-16,BBK,Barclays Bank,11.9,18.5,76,79,78,78.5,-0.5,0.64%,"376,500",19.5,,
2007-02-19,BBK,Barclays Bank,11.9,18.5,75,80.5,79,78,1,1.27%,"289,400",19.75,,
2007-02-20,BBK,Barclays Bank,11.9,18.5,77,80,78.5,79,-0.5,0.64%,"650,000",19.63,,
2007-02-21,BBK,Barclays Bank,11.9,18.5,75,79.5,78,78.5,-0.5,0.64%,"677,000",19.5,,
2007-02-22,BBK,Barclays Bank,11.9,18.5,70,79,75,78,-3,4.00%,"558,400",18.75,,
2007-02-23,BBK,Barclays Bank,11.9,18.5,70,77,73.5,75,-1.5,2.04%,"364,800",18.38,,
2007-02-26,BBK,Barclays Bank,11.9,18.5,70,74,73,73.5,-0.5,0.68%,"347,700",18.25,,
2007-02-27,BBK,Barclays Bank,11.75,18.5,67,73.5,71,73,-2,2.82%,"366,100",17.75,,
2007-02-28,BBK,Barclays Bank,11.75,18.5,64,71.5,67,71,-4,5.97%,"437,800",16.75,,
2007-03-01,BBK,Barclays Bank,11.75,18.5,59,72,61.5,67,-5.5,8.94%,"301,100",15.38,,
2007-03-02,BBK,Barclays Bank,11.9,18.5,58,66,60.5,61.5,-1,1.65%,"503,200",15.13,,
