Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,BERG,Crown Berger,24.75,55.5,42,43,42.25,41.25,1,2.37%,"4,200",-,,
2007-01-03,BERG,Crown Berger,24.75,56,40,40,40,42.25,-2.25,5.63%,"1,000",-,,
2007-01-04,BERG,Crown Berger,24.75,56,40,43,41.75,40,1.75,4.19%,"1,400",-,,
2007-01-05,BERG,Crown Berger,24.75,56,40,44,42.5,41.75,0.75,1.76%,"17,700",-,,
2007-01-08,BERG,Crown Berger,24.75,56,43,46.5,45,42.5,2.5,5.56%,"25,400",-,,
2007-01-09,BERG,Crown Berger,24.75,56,45,48,46.25,45,1.25,2.70%,"57,100",-,,
2007-01-10,BERG,Crown Berger,24.75,56,47,51,49.75,46.25,3.5,7.04%,"34,600",-,,
2007-01-11,BERG,Crown Berger,24.75,56,47,53,49.75,49.75,-,-,"154,400",-,,
2007-01-12,BERG,Crown Berger,24.75,56,45,54,50.5,49.75,0.75,1.49%,"106,000",-,,
2007-01-15,BERG,Crown Berger,24.75,56,51,56.5,52.5,50.5,2,3.81%,"88,500",-,,
2007-01-16,BERG,Crown Berger,24.75,56,54,59,56.5,52.5,4,7.08%,"87,500",-,,
2007-01-17,BERG,Crown Berger,24.75,56,60,64.5,60.5,56.5,4,6.61%,"41,400",-,,
2007-01-18,BERG,Crown Berger,24.75,55,54.5,62,59,60.5,-1.5,2.54%,"18,900",-,,
2007-01-19,BERG,Crown Berger,24.75,56,52,54,52,59,-7,13.46%,"27,700",-,,
2007-01-22,BERG,Crown Berger,24.75,56,47.5,55,52,52,-,-,"83,900",-,,
2007-01-23,BERG,Crown Berger,24.75,56,52,56,54,52,2,3.70%,"55,500",-,,
2007-01-24,BERG,Crown Berger,24.75,56,54,59,57.5,54,3.5,6.09%,"80,600",-,,
2007-01-25,BERG,Crown Berger,24.75,56,55,59,57,57.5,-0.5,0.88%,"12,200",-,,
2007-01-26,BERG,Crown Berger,24.75,56,53,59.5,57,57,-,-,"80,400",-,,
2007-01-29,BERG,Crown Berger,24.75,56,50,57,55.5,57,-1.5,2.70%,"29,800",-,,
2007-01-30,BERG,Crown Berger,24.75,56,53,57,56,55.5,0.5,0.89%,"29,000",-,,
2007-01-31,BERG,Crown Berger,24.75,56,54,56,55,56,-1,1.82%,"7,600",-,,
2007-02-01,BERG,Crown Berger,24.75,55.5,52,59.5,54,55,-1,1.85%,"14,200",-,,
2007-02-02,BERG,Crown Berger,24.75,55,53,54,53,54,-1,1.89%,"6,100",-,,
2007-02-05,BERG,Crown Berger,24.75,56,50,53,50.5,53,-2.5,4.95%,"10,600",-,,
2007-02-06,BERG,Crown Berger,24.75,56,53,53,53,50.5,2.5,4.72%,300,-,,
2007-02-07,BERG,Crown Berger,24.75,56,49,52,51,53,-2,3.92%,"30,500",-,,
2007-02-08,BERG,Crown Berger,24.75,56,52,52,52,51,1,1.92%,"1,400",-,,
2007-02-09,BERG,Crown Berger,24.75,56,51,54,52.5,52,0.5,0.95%,"29,700",-,,
2007-02-12,BERG,Crown Berger,24.75,56,50.5,52,51,52.5,-1.5,2.94%,"13,500",-,,
2007-02-13,BERG,Crown Berger,24.75,56,47,50.5,50,51,-1,2.00%,"8,000",-,,
2007-02-14,BERG,Crown Berger,24.75,56,50,51,50,50,-,-,"17,800",-,,
2007-02-15,BERG,Crown Berger,24.75,56,50,51,50,50,-,-,"24,600",-,,
2007-02-16,BERG,Crown Berger,24.75,56,45,52,49.25,50,-0.75,1.52%,"8,300",-,,
2007-02-19,BERG,Crown Berger,24.75,56,50,52,50,49.25,0.75,1.50%,"34,600",-,,
2007-02-20,BERG,Crown Berger,24.75,56,50,52,51,50,1,1.96%,"3,600",-,,
2007-02-21,BERG,Crown Berger,24.75,56,50,51,50.5,51,-0.5,0.99%,"91,100",-,,
2007-02-22,BERG,Crown Berger,24.75,56,53,53,53,50.5,2.5,4.72%,"2,500",-,,
2007-02-23,BERG,Crown Berger,24.75,56,48,48,48,53,-5,10.42%,"3,800",-,,
2007-02-26,BERG,Crown Berger,24.75,56,46,50,46.5,48,-1.5,3.23%,"3,700",-,,
2007-02-27,BERG,Crown Berger,24.75,56,46,46,46,46.5,-0.5,1.09%,"1,700",-,,
2007-02-28,BERG,Crown Berger,24.75,56,50,50,50,46,4,8.00%,400,-,,
2007-03-01,BERG,Crown Berger,24.75,55,45,45,45,50,-5,11.11%,100,-,,
2007-03-02,BERG,Crown Berger,24.75,56,42,42,42,45,-3,7.14%,200,-,,
2007-03-05,BERG,Crown Berger,24.75,56,38.25,45,39.5,42,-2.5,6.33%,"9,800",-,,
2007-03-06,BERG,Crown Berger,24.75,56,37,40,38.75,39.5,-0.75,1.94%,"6,300",-,,
2007-03-07,BERG,Crown Berger,24.75,56,38.5,39.5,39.25,38.75,0.5,1.27%,"11,800",-,,
2007-03-08,BERG,Crown Berger,24.75,56,40,40,40,39.25,0.75,1.88%,"1,900",-,,
2007-03-09,BERG,Crown Berger,24.75,56,38,42,39.5,40,-0.5,1.27%,"5,400",-,,
2007-03-12,BERG,Crown Berger,24.75,56,39.5,40,39.75,39.5,0.25,0.63%,"3,800",-,,
2007-03-13,BERG,Crown Berger,24.75,56,40,40,40,39.75,0.25,0.63%,"4,000",-,,
2007-03-14,BERG,Crown Berger,24.75,56,40,40,40,40,-,-,"3,200",-,,
2007-03-15,BERG,Crown Berger,24.75,56,39.5,39.5,39.5,40,-0.5,1.27%,200,-,,
2007-03-16,BERG,Crown Berger,24.75,56,38,39.5,38.5,39.5,-1,2.60%,"4,000",-,,
2007-03-19,BERG,Crown Berger,24.75,56,38,39.5,38.25,38.5,-0.25,0.65%,"1,600",-,,
2007-03-21,BERG,Crown Berger,24.75,56,38,38,38,38.25,-0.25,0.66%,"1,700",-,,
2007-03-22,BERG,Crown Berger,24.75,56,36,36,36,38,-2,5.56%,"1,000",-,,
2007-03-23,BERG,Crown Berger,24.75,56,34.5,34.5,34.5,36,-1.5,4.35%,"2,300",-,,
2007-03-26,BERG,Crown Berger,24.75,56,32,34.5,32.5,34.5,-2,6.15%,"1,500",-,,
2007-03-27,BERG,Crown Berger,24.75,56,32,32,32,32.5,-0.5,1.56%,"4,000",-,,
2007-03-28,BERG,Crown Berger,24.75,56,32.25,34.5,33.5,32,1.5,4.48%,"8,700",-,,
2007-03-29,BERG,Crown Berger,24.75,56,33.75,35,34.25,33.5,0.75,2.19%,"7,700",-,,
2007-03-30,BERG,Crown Berger,24.75,56,35,38,37.75,34.25,3.5,9.27%,"3,600",-,,
2007-04-02,BERG,Crown Berger,24.75,56,40,41,40.25,37.75,2.5,6.21%,500,-,,
2007-04-03,BERG,Crown Berger,24.75,56,40,41,40.25,40.25,-,-,"10,800",-,,
2007-04-04,BERG,Crown Berger,24.75,56,40.25,41,40.5,40.25,0.25,0.62%,"4,600",-,,
2007-04-05,BERG,Crown Berger,24.75,56,40.25,40.25,40.25,40.5,-0.25,0.62%,"2,000",-,,
2007-04-10,BERG,Crown Berger,24.75,56,41,43,41.75,40.25,1.5,3.59%,"1,800",-,,
2007-04-11,BERG,Crown Berger,24.75,56,41,42,41.75,41.75,-,-,"5,800",-,,
2007-04-12,BERG,Crown Berger,24.75,56,40.25,41,40.75,41.75,-1,2.45%,"3,200",-,,
2007-04-16,BERG,Crown Berger,24.75,56,38.25,40,39.5,40.75,-1.25,3.16%,"1,100",-,,
2007-04-18,BERG,Crown Berger,24.75,56,36.5,36.5,36.5,39.5,-3,8.22%,"1,000",-,,
