Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2018-12-03,BKG,BK Group Plc,16.4,28,33,33,33,-,33,-,"50,000",-,,
2018-12-04,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-05,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-06,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-07,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-10,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-11,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-13,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-14,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-17,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-18,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-19,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-20,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-21,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-24,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-27,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-28,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2018-12-31,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-02,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-03,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-04,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-07,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-08,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-09,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-10,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-11,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-14,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-15,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-16,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-17,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-18,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-21,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-22,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-23,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-24,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-25,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-28,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-29,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-30,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-01-31,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-02-01,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-02-04,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
2019-02-05,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-,,
