Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2009-02-02,BOC,B.O.C Kenya,90,130,160,160,160,-,160,100.00%,0,-,,
2009-02-03,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-05,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-06,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-09,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-10,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-11,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-12,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-13,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-16,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-17,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-18,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-19,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-20,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-23,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-24,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-25,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-26,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-02-27,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-02,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-03,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-04,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-05,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-06,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-09,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-10,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-11,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-12,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-13,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-16,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-17,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-18,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-19,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-20,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-23,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-24,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-25,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-26,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-27,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-30,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-03-31,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-01,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-02,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-02,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-03,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-06,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-07,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-08,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-09,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-14,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-15,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-16,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-17,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-20,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-21,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-22,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-23,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-24,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-27,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-28,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-29,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-04-30,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-04,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-05,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-06,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-07,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-08,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-11,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-12,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-13,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-14,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-15,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-18,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-19,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-20,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-21,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-22,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-25,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-26,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-27,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-28,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-05-29,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-06-02,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-06-03,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-06-04,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
2009-06-05,BOC,B.O.C Kenya,90,130,160,160,160,160,-,-,0,-,,
