Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2011-09-08,BRIT,British-American Investments,4.1,9.6,6,9,8.45,19.8,-11.35,134.32%,"1,350,000",-,,
2011-09-09,BRIT,British-American Investments,4.1,9.6,7.65,8.4,8,8.45,-0.45,5.63%,"1,440,000",-,,
2011-09-12,BRIT,British-American Investments,4.1,9.6,7.2,7.65,7.45,8,-0.55,7.38%,"289,100",-,,
2011-09-13,BRIT,British-American Investments,4.1,9.6,6.75,7.15,7,7.45,-0.45,6.43%,"153,200",-,,
2011-09-14,BRIT,British-American Investments,4.1,9.6,6.3,7,6.35,7,-0.65,10.24%,"220,100",-,,
2011-09-15,BRIT,British-American Investments,4.1,9.6,5.75,6.3,5.8,6.35,-0.55,9.48%,"117,000",-,,
2011-09-16,BRIT,British-American Investments,4.1,9.6,5.25,5.75,5.35,5.8,-0.45,8.41%,"520,800",-,,
2011-09-19,BRIT,British-American Investments,4.1,9.6,5.3,5.6,5.45,5.35,0.1,1.83%,"560,100",-,,
2011-09-20,BRIT,British-American Investments,4.1,9.6,5.6,5.85,5.75,5.45,0.3,5.22%,"589,500",-,,
2011-09-21,BRIT,British-American Investments,4.1,9.6,5.7,6.3,5.95,5.75,0.2,3.36%,"398,200",-,,
2011-09-22,BRIT,British-American Investments,4.1,9.6,6.25,6.5,6.45,5.95,0.5,7.75%,"121,700",-,,
2011-09-23,BRIT,British-American Investments,4.1,9.6,6.4,6.95,6.6,6.45,0.15,2.27%,"211,600",-,,
2011-09-26,BRIT,British-American Investments,4.1,9.6,6.65,7,6.9,6.6,0.3,4.35%,"268,800",-,,
2011-09-27,BRIT,British-American Investments,4.1,9.6,6.25,7,6.7,6.9,-0.2,2.99%,"240,000",-,,
2011-09-28,BRIT,British-American Investments,4.1,9.6,6.25,6.6,6.35,6.7,-0.35,5.51%,"110,800",-,,
2011-09-29,BRIT,British-American Investments,4.1,9.6,6,6.95,6.2,6.35,-0.15,2.42%,"207,700",-,,
2011-09-30,BRIT,British-American Investments,4.1,9.6,5.95,6.6,6.05,6.2,-0.15,2.48%,"114,900",-,,
2011-10-03,BRIT,British-American Investments,4.1,9.6,5.65,6.2,5.85,6.05,-0.2,3.42%,"59,800",-,,
2011-10-04,BRIT,British-American Investments,4.1,9.6,5.6,6.2,5.9,5.85,0.05,0.85%,"96,200",-,,
2011-10-05,BRIT,British-American Investments,4.1,9.6,6.05,6.3,6.15,5.9,0.25,4.07%,"48,500",-,,
2011-10-06,BRIT,British-American Investments,4.1,9.6,6,6.5,6.2,6.15,0.05,0.81%,"82,600",-,,
2011-10-07,BRIT,British-American Investments,4.1,9.6,5.8,6.6,6.2,6.2,-,-,"96,500",-,,
2011-10-10,BRIT,British-American Investments,4.1,9.6,5.7,6,5.8,6.2,-0.4,6.90%,"121,100",-,,
2011-10-11,BRIT,British-American Investments,4.1,9.6,5.8,6,5.9,5.8,0.1,1.69%,"43,000",-,,
2011-10-12,BRIT,British-American Investments,4.1,9.6,5.7,6,5.85,5.9,-0.05,0.85%,"133,400",-,,
2011-10-13,BRIT,British-American Investments,4.1,9.6,5.7,6,5.75,5.85,-0.1,1.74%,"115,700",-,,
2011-10-14,BRIT,British-American Investments,4.1,9.6,5.6,6,5.7,5.75,-0.05,0.88%,"86,500",-,,
2011-10-17,BRIT,British-American Investments,4.1,9.6,5.45,6,5.55,5.7,-0.15,2.70%,"71,200",-,,
2011-10-18,BRIT,British-American Investments,4.1,9.6,5.5,5.9,5.65,5.55,0.1,1.77%,"117,300",-,,
2011-10-19,BRIT,British-American Investments,4.1,9.6,5.65,6,5.8,5.65,0.15,2.59%,"157,700",-,,
2011-10-21,BRIT,British-American Investments,4.1,9.6,5.6,5.95,5.75,5.8,-0.05,0.87%,"80,100",-,,
2011-10-24,BRIT,British-American Investments,4.1,9.6,5.6,5.85,5.65,5.75,-0.1,1.77%,"86,300",-,,
2011-10-25,BRIT,British-American Investments,4.1,9.6,5.65,6.05,5.7,5.65,0.05,0.88%,"125,600",-,,
2011-10-26,BRIT,British-American Investments,4.1,9.6,5.6,5.75,5.65,5.7,-0.05,0.88%,"65,100",-,,
2011-10-27,BRIT,British-American Investments,4.1,9.6,5.5,5.7,5.6,5.65,-0.05,0.89%,"196,500",-,,
2011-10-28,BRIT,British-American Investments,4.1,9.6,5.5,5.8,5.7,5.6,0.1,1.75%,"261,100",-,,
2011-10-31,BRIT,British-American Investments,4.1,9.6,5.5,5.8,5.7,5.7,-,-,"102,300",-,,
2011-11-01,BRIT,British-American Investments,4.1,9.6,5.65,6,5.7,5.7,-,-,"286,000",-,,
2011-11-02,BRIT,British-American Investments,4.1,9.6,5.65,5.9,5.65,5.7,-0.05,0.88%,"185,900",-,,
2011-11-03,BRIT,British-American Investments,4.1,9.6,5.6,5.95,5.7,5.65,0.05,0.88%,"44,300",-,,
2011-11-04,BRIT,British-American Investments,4.1,9.6,5.55,6.05,5.6,5.7,-0.1,1.79%,"271,300",-,,
2011-11-07,BRIT,British-American Investments,4.1,9.6,5.4,5.7,5.55,5.6,-0.05,0.90%,"364,300",-,,
2011-11-09,BRIT,British-American Investments,4.1,9.6,5.45,5.9,5.5,5.55,-0.05,0.91%,"224,600",-,,
2011-11-10,BRIT,British-American Investments,4.1,9.6,5.45,5.65,5.5,5.5,-,-,"187,300",-,,
2011-11-11,BRIT,British-American Investments,4.1,9.6,5.15,5.6,5.3,5.5,-0.2,3.77%,"97,000",-,,
2011-11-14,BRIT,British-American Investments,4.1,9.6,5.15,5.5,5.15,5.3,-0.15,2.91%,"167,600",-,,
2011-11-15,BRIT,British-American Investments,4.1,9.6,5,5.35,5.15,5.15,-,-,"474,800",-,,
2011-11-16,BRIT,British-American Investments,4.1,9.6,5,5.25,5.1,5.15,-0.05,0.98%,"42,200",-,,
2011-11-17,BRIT,British-American Investments,4.1,9.6,5.15,5.3,5.2,5.1,0.1,1.92%,"204,500",-,,
2011-11-18,BRIT,British-American Investments,4.1,9.6,5.1,5.7,5.3,5.2,0.1,1.89%,"107,200",-,,
2011-11-21,BRIT,British-American Investments,4.1,9.6,5.2,5.5,5.4,5.3,0.1,1.85%,"81,100",-,,
2011-11-22,BRIT,British-American Investments,4.1,9.6,5.15,5.5,5.25,5.4,-0.15,2.86%,"101,600",-,,
2011-11-23,BRIT,British-American Investments,4.1,9.6,5,5.3,5.05,5.25,-0.2,3.96%,"77,600",-,,
2011-11-24,BRIT,British-American Investments,4.1,9.6,5,5.15,5,5.05,-0.05,1.00%,"135,500",-,,
2011-11-25,BRIT,British-American Investments,4.1,9.6,5,5.1,5,5,-,-,"133,100",-,,
2011-11-28,BRIT,British-American Investments,4.1,9.6,4.95,5,4.95,5,-0.05,1.01%,"102,000",-,,
2011-11-29,BRIT,British-American Investments,4.1,9.6,4.8,5,4.95,4.95,-,-,"84,900",-,,
2011-11-30,BRIT,British-American Investments,4.1,9.6,4.8,5.1,4.85,4.95,-0.1,2.06%,"74,000",-,,
2011-12-01,BRIT,British-American Investments,4.1,9.6,4.6,4.85,4.75,4.85,-0.1,2.11%,"44,800",-,,
2011-12-02,BRIT,British-American Investments,4.1,9.6,4.75,4.8,4.75,4.75,-,-,"78,000",-,,
2011-12-05,BRIT,British-American Investments,4.1,9.6,4.6,4.95,4.65,4.75,-0.1,2.15%,"127,300",-,,
2011-12-06,BRIT,British-American Investments,4.1,9.6,4.4,4.7,4.5,4.65,-0.15,3.33%,"180,800",-,,
2011-12-07,BRIT,British-American Investments,4.1,9.6,4.05,4.6,4.25,4.5,-0.25,5.88%,"131,100",-,,
2011-12-08,BRIT,British-American Investments,4.1,9.6,4.05,4.3,4.1,4.25,-0.15,3.66%,"138,000",-,,
2011-12-09,BRIT,British-American Investments,4.1,9.6,4.15,4.4,4.2,4.1,0.1,2.38%,"140,900",-,,
2011-12-13,BRIT,British-American Investments,4.1,9.6,4.1,4.6,4.2,4.2,-,-,"108,800",-,,
2011-12-14,BRIT,British-American Investments,4.1,9.6,4.3,4.55,4.4,4.2,0.2,4.55%,"45,400",-,,
2011-12-15,BRIT,British-American Investments,4.1,9.6,4.3,4.55,4.4,4.4,-,-,"125,400",-,,
2011-12-16,BRIT,British-American Investments,4.1,9.6,4.5,4.7,4.55,4.4,0.15,3.30%,"135,000",-,,
2011-12-19,BRIT,British-American Investments,4.1,9.6,4.7,5,4.7,4.55,0.15,3.19%,"36,200",-,,
2011-12-20,BRIT,British-American Investments,4.1,9.6,4.7,4.95,4.75,4.7,0.05,1.05%,"45,800",-,,
2011-12-21,BRIT,British-American Investments,4.1,9.6,4.8,5,4.85,4.75,0.1,2.06%,"50,600",-,,
2011-12-22,BRIT,British-American Investments,4.1,9.6,4.8,5,4.9,4.85,0.05,1.02%,"85,800",-,,
2011-12-23,BRIT,British-American Investments,4.1,9.6,5,5.1,5,4.9,0.1,2.00%,"20,400",-,,
2011-12-27,BRIT,British-American Investments,4.1,9.6,4.75,5,4.95,5,-0.05,1.01%,"38,400",-,,
2011-12-28,BRIT,British-American Investments,4.1,9.6,4.75,5,4.85,4.95,-0.1,2.06%,"102,800",-,,
2011-12-29,BRIT,British-American Investments,4.1,9.6,4.75,5.3,5.2,4.85,0.35,6.73%,"405,500",-,,
2011-12-30,BRIT,British-American Investments,4.1,9.6,4.75,5.7,5.6,5.2,0.4,7.14%,"856,900",-,,
2012-01-03,BRIT,British-American Investments,3.9,9.5,5.05,5.7,5.55,5.6,-0.05,0.90%,"516,300",-,,
2012-01-04,BRIT,British-American Investments,3.9,9.5,5,5.7,5.1,5.55,-0.45,8.82%,"75,900",-,,
2012-01-05,BRIT,British-American Investments,3.9,9.5,5,5.4,5.15,5.1,0.05,0.97%,"547,800",-,,
2012-01-06,BRIT,British-American Investments,3.9,9.5,4.9,5.7,5,5.15,-0.15,3.00%,"81,400",-,,
2012-01-09,BRIT,British-American Investments,3.9,9.5,4.95,5.5,4.95,5,-0.05,1.01%,"155,000",-,,
2012-01-10,BRIT,British-American Investments,3.9,9.5,5,5.05,5,4.95,0.05,1.00%,"122,200",-,,
2012-01-11,BRIT,British-American Investments,3.9,9.5,4.55,5,4.8,5,-0.2,4.17%,"76,800",-,,
2012-01-12,BRIT,British-American Investments,3.9,9.5,4.55,4.75,4.55,4.8,-0.25,5.49%,"98,900",-,,
2012-01-13,BRIT,British-American Investments,3.9,9.5,4.55,4.75,4.6,4.55,0.05,1.09%,"61,600",-,,
2012-01-16,BRIT,British-American Investments,3.9,9.5,4.4,4.6,4.5,4.6,-0.1,2.22%,"164,200",-,,
2012-01-17,BRIT,British-American Investments,3.9,9.5,4.4,4.55,4.5,4.5,-,-,"55,700",-,,
2012-01-18,BRIT,British-American Investments,3.9,9.5,4.45,4.6,4.5,4.5,-,-,"132,900",-,,
2012-01-19,BRIT,British-American Investments,3.9,9.5,4.5,4.6,4.55,4.5,0.05,1.10%,"46,300",-,,
2012-01-20,BRIT,British-American Investments,3.9,9.5,4.55,4.85,4.7,4.55,0.15,3.19%,"44,000",-,,
2012-01-23,BRIT,British-American Investments,3.9,9.5,4.6,4.75,4.65,4.7,-0.05,1.08%,"116,700",-,,
2012-01-24,BRIT,British-American Investments,3.9,9.5,4.5,4.75,4.55,4.65,-0.1,2.20%,"71,600",-,,
2012-01-25,BRIT,British-American Investments,3.9,9.5,4.5,4.7,4.6,4.55,0.05,1.09%,"40,000",-,,
2012-01-26,BRIT,British-American Investments,3.9,9.5,4.55,4.7,4.6,4.6,-,-,"82,600",-,,
2012-01-27,BRIT,British-American Investments,3.9,9.5,4.6,4.85,4.65,4.6,0.05,1.08%,"26,400",-,,
2012-01-30,BRIT,British-American Investments,3.9,9.5,4.6,4.9,4.7,4.65,0.05,1.06%,"98,200",-,,
2012-01-31,BRIT,British-American Investments,3.9,9.5,4.55,4.85,4.65,4.7,-0.05,1.08%,"26,000",-,,
2012-02-01,BRIT,British-American Investments,3.9,9.5,4.55,4.7,4.6,4.65,-0.05,1.09%,"59,200",-,,
2012-02-02,BRIT,British-American Investments,3.9,9.5,4.5,4.65,4.55,4.6,-0.05,1.10%,"59,000",-,,
2012-02-03,BRIT,British-American Investments,3.9,9.5,4.4,4.7,4.5,4.55,-0.05,1.11%,"157,400",-,,
2012-02-06,BRIT,British-American Investments,4.1,9.6,4.2,4.7,4.55,4.5,0.05,1.10%,"139,100",-,,
2012-02-07,BRIT,British-American Investments,4.1,9.6,4.2,4.6,4.45,4.55,-0.1,2.25%,"50,600",-,,
2012-02-08,BRIT,British-American Investments,4.1,9.6,4.1,4.5,4.3,4.45,-0.15,3.49%,"50,700",-,,
2012-02-09,BRIT,British-American Investments,4.1,9.6,4.1,4.5,4.1,4.3,-0.2,4.88%,"165,500",-,,
2012-02-10,BRIT,British-American Investments,4.1,9.6,3.85,4.4,4.05,4.1,-0.05,1.23%,"234,900",-,,
2012-02-13,BRIT,British-American Investments,4.1,9.6,3.95,4.05,3.95,4.05,-0.1,2.53%,"283,800",-,,
2012-02-14,BRIT,British-American Investments,4.1,9.6,3.9,4,3.95,3.95,-,-,"78,600",-,,
2012-02-15,BRIT,British-American Investments,4.1,9.6,3.9,4,3.95,3.95,-,-,"208,900",-,,
2012-02-16,BRIT,British-American Investments,4.1,9.6,3.9,4,3.9,3.95,-0.05,1.28%,"105,400",-,,
2012-02-17,BRIT,British-American Investments,4.1,9.6,3.9,4,3.9,3.9,-,-,"319,600",-,,
2012-02-20,BRIT,British-American Investments,4.1,9.6,3.85,3.95,3.9,3.9,-,-,"216,800",-,,
2012-02-21,BRIT,British-American Investments,4.1,9.6,3.8,3.95,3.8,3.9,-0.1,2.63%,"492,100",-,,
2012-02-22,BRIT,British-American Investments,4.1,9.6,3.8,4,3.95,3.8,0.15,3.80%,"149,700",-,,
2012-02-23,BRIT,British-American Investments,4.1,9.6,3.9,4,3.95,3.95,-,-,"116,700",-,,
2012-02-24,BRIT,British-American Investments,4.1,9.6,3.95,4,3.95,3.95,-,-,"74,200",-,,
