Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,CABL,E.A.Cables,9.55,17.5,48,52.5,49.5,48.25,1.25,2.53%,"140,700",39.6,,
2007-01-03,CABL,E.A.Cables,9.55,17.5,48,50,49.5,49.5,-,-,"120,600",39.6,,
2007-01-04,CABL,E.A.Cables,9.55,17.5,46,50,49.5,49.5,-,-,"192,800",39.6,,
2007-01-05,CABL,E.A.Cables,9.55,17.5,49.5,52.5,50,49.5,0.5,1.00%,"140,300",40,,
2007-01-08,CABL,E.A.Cables,9.55,17.5,46,54,49.25,50,-0.75,1.52%,"247,800",39.4,,
2007-01-09,CABL,E.A.Cables,9.55,17.5,46,50,48.5,49.25,-0.75,1.55%,"231,700",38.8,,
2007-01-10,CABL,E.A.Cables,9.55,17.5,49,52.5,49.5,48.5,1,2.02%,"91,000",39.6,,
2007-01-11,CABL,E.A.Cables,9.55,17.5,48.5,53,50,49.5,0.5,1.00%,"257,500",40,,
2007-01-12,CABL,E.A.Cables,9.55,17.5,50,54,51.5,50,1.5,2.91%,"86,800",41.2,,
2007-01-15,CABL,E.A.Cables,9.55,17.5,50,56,51.5,51.5,-,-,"232,700",41.2,,
2007-01-16,CABL,E.A.Cables,9.55,17.5,50,54.5,51,51.5,-0.5,0.98%,"181,500",40.8,,
2007-01-17,CABL,E.A.Cables,9.55,17.5,50,54,51,51,-,-,"111,500",40.8,,
2007-01-18,CABL,E.A.Cables,9.55,17.5,48,52,49.75,51,-1.25,2.51%,"118,500",39.8,,
2007-01-19,CABL,E.A.Cables,9.55,17.5,46,50,49.5,49.75,-0.25,0.51%,"40,900",39.6,,
2007-01-22,CABL,E.A.Cables,9.55,17.5,47,52,48.75,49.5,-0.75,1.54%,"76,300",39,,
2007-01-23,CABL,E.A.Cables,9.55,17.5,46,49,48.25,48.75,-0.5,1.04%,"46,300",38.6,,
2007-01-24,CABL,E.A.Cables,9.55,17.5,46,50,48.5,48.25,0.25,0.52%,"73,700",38.8,,
2007-01-25,CABL,E.A.Cables,9.55,17.5,46,50,48.5,48.5,-,-,"56,600",38.8,,
2007-01-26,CABL,E.A.Cables,9.55,17.5,44,51,47.75,48.5,-0.75,1.57%,"228,200",38.2,,
2007-01-29,CABL,E.A.Cables,9.55,17.5,46,53,50.5,47.75,2.75,5.45%,"67,900",40.4,,
2007-01-30,CABL,E.A.Cables,9.55,17.5,45,53,48.25,50.5,-2.25,4.66%,"87,000",38.6,,
2007-01-31,CABL,E.A.Cables,9.55,17.5,45,48,47.5,48.25,-0.75,1.58%,"61,100",38,,
2007-02-01,CABL,E.A.Cables,9.55,17.5,45,50,49.25,47.5,1.75,3.55%,"188,800",39.4,,
2007-02-02,CABL,E.A.Cables,9.55,17.5,45.25,50,48,49.25,-1.25,2.60%,"65,300",38.4,,
2007-02-05,CABL,E.A.Cables,9.55,17.5,46.25,52,48.75,48,0.75,1.54%,"193,000",39,,
2007-02-06,CABL,E.A.Cables,9.55,17.5,44.5,49,47.75,48.75,-1,2.09%,"68,100",38.2,,
2007-02-07,CABL,E.A.Cables,9.55,17.5,43,49,45,47.75,-2.75,6.11%,"141,900",36,,
2007-02-08,CABL,E.A.Cables,9.55,17.5,42.5,47,45.5,45,0.5,1.10%,"105,200",36.4,,
2007-02-09,CABL,E.A.Cables,9.55,17.5,45,47,45.25,45.5,-0.25,0.55%,"65,900",36.2,,
2007-02-12,CABL,E.A.Cables,9.55,17.5,43,47,45.75,45.25,0.5,1.09%,"76,500",36.6,,
2007-02-13,CABL,E.A.Cables,9.55,17.5,43,49.75,46.5,45.75,0.75,1.61%,"298,300",37.2,,
2007-02-14,CABL,E.A.Cables,9.55,17.5,45,49.75,47,46.5,0.5,1.06%,"154,200",37.6,,
2007-02-15,CABL,E.A.Cables,9.55,17.5,47,49,48,47,1,2.08%,"129,400",38.4,,
2007-02-16,CABL,E.A.Cables,9.55,17.5,45.25,52,48.25,48,0.25,0.52%,"362,900",38.6,,
2007-02-19,CABL,E.A.Cables,9.55,17.5,45.5,52,50,48.25,1.75,3.50%,"286,500",40,,
2007-02-20,CABL,E.A.Cables,9.55,17.5,45,50,48,50,-2,4.17%,"106,000",38.4,,
2007-02-21,CABL,E.A.Cables,9.55,17.5,46,51,47,48,-1,2.13%,"147,800",37.6,,
2007-02-22,CABL,E.A.Cables,9.55,17.5,45,47,46.5,47,-0.5,1.08%,"129,100",37.2,,
2007-02-23,CABL,E.A.Cables,9.55,17.5,42,46,44.75,46.5,-1.75,3.91%,"146,700",35.8,,
2007-02-26,CABL,E.A.Cables,9.55,17.5,42,47,44,44.75,-0.75,1.70%,"167,000",35.2,,
2007-02-27,CABL,E.A.Cables,9.55,17.5,40,45,43.25,44,-0.75,1.73%,"31,100",34.6,,
2007-02-28,CABL,E.A.Cables,9.55,17.5,39,45,42,43.25,-1.25,2.98%,"64,500",33.6,,
2007-03-01,CABL,E.A.Cables,9.55,17.5,36,41,37.5,42,-4.5,12.00%,"70,800",30,,
2007-03-02,CABL,E.A.Cables,9.55,17.5,33.5,37,35.25,37.5,-2.25,6.38%,"34,700",28.2,,
2007-03-05,CABL,E.A.Cables,9.55,17.5,34,38,36,35.25,0.75,2.08%,"32,800",28.8,,
2007-03-06,CABL,E.A.Cables,9.55,17.5,35,38.75,36.75,36,0.75,2.04%,"40,200",29.4,,
2007-03-07,CABL,E.A.Cables,9.55,17.5,37,40,38.75,36.75,2,5.16%,"60,300",31,,
2007-03-08,CABL,E.A.Cables,9.55,17.5,38,42.75,40.5,38.75,1.75,4.32%,"48,800",32.4,,
2007-03-09,CABL,E.A.Cables,9.55,17.5,38,43,41.75,40.5,1.25,2.99%,"61,000",33.4,,
2007-03-12,CABL,E.A.Cables,9.55,17.5,38,42,39,41.75,-2.75,7.05%,"194,700",31.2,,
2007-03-13,CABL,E.A.Cables,9.55,17.5,37,41,39.5,39,0.5,1.27%,"135,100",31.6,,
2007-03-14,CABL,E.A.Cables,9.55,17.5,38,40.75,40,39.5,0.5,1.25%,"52,000",32,,
2007-03-15,CABL,E.A.Cables,9.55,17.5,37.5,43,40.25,40,0.25,0.62%,"110,300",32.2,,
2007-03-16,CABL,E.A.Cables,9.55,17.5,37.25,41.75,40,40.25,-0.25,0.63%,"112,200",32,,
2007-03-19,CABL,E.A.Cables,9.55,17.5,36,41,39,40,-1,2.56%,"80,300",31.2,,
2007-03-20,CABL,E.A.Cables,9.55,17.5,36,40,37.5,39,-1.5,4.00%,"83,800",30,,
2007-03-21,CABL,E.A.Cables,9.55,17.5,35,38,35.5,37.5,-2,5.63%,"74,900",28.4,,
2007-03-22,CABL,E.A.Cables,9.55,17.5,32.5,36,34.5,35.5,-1,2.90%,"76,600",27.6,,
2007-03-23,CABL,E.A.Cables,9.55,17.5,30,36,33.5,34.5,-1,2.99%,"32,400",26.8,,
2007-03-26,CABL,E.A.Cables,9.55,17.5,31.25,33,32.5,33.5,-1,3.08%,"29,400",26,,
2007-03-27,CABL,E.A.Cables,9.55,17.5,32,35.25,33.25,32.5,0.75,2.26%,"64,100",26.6,,
2007-03-28,CABL,E.A.Cables,9.55,17.5,34,36,35.25,33.25,2,5.67%,"359,000",28.2,,
2007-03-29,CABL,E.A.Cables,9.55,17.5,37,39,38.25,35.25,3,7.84%,"23,200",30.6,,
2007-03-30,CABL,E.A.Cables,9.55,17.5,37.75,41.5,40.5,38.25,2.25,5.56%,"67,100",32.4,,
2007-04-02,CABL,E.A.Cables,9.55,17.5,39.25,44,41.25,40.5,0.75,1.82%,"77,600",33,,
