Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2009-02-02,CARB,Carbacid Investments,88.5,140,137,137,137,-,137,100.00%,0,45.67,,
2009-02-03,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-05,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-06,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-09,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-10,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-11,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-12,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-13,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-16,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-17,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-18,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-19,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-20,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-23,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-24,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-25,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-26,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-02-27,CARB,Carbacid Investments,88.5,140,137,137,137,137,-,-,0,45.67,,
2009-03-02,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-03,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-04,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-05,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-06,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-09,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-10,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-11,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-12,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
2009-03-13,CARB,Carbacid Investments,88.5,140,137,137,137,137,-,-,0,45.67,,
2009-03-16,CARB,Carbacid Investments,90,140,137,137,137,137,-,-,0,45.67,,
