Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2012-01-03,CFCI,Liberty Kenya Holdings,6.35,10,6.5,7,6.55,7.3,-0.75,11.45%,"2,800",-,,
2012-01-04,CFCI,Liberty Kenya Holdings,6.35,10,6.5,7.2,7,6.55,0.45,6.43%,"2,900",-,,
2012-01-05,CFCI,Liberty Kenya Holdings,6.35,10,7,7.4,7.1,7,0.1,1.41%,"6,000",-,,
2012-01-06,CFCI,Liberty Kenya Holdings,6.35,10,7.2,7.4,7.3,7.1,0.2,2.74%,900,-,,
2012-01-09,CFCI,Liberty Kenya Holdings,6.35,10,7.2,7.3,7.2,7.3,-0.1,1.39%,"26,400",-,,
2012-01-10,CFCI,Liberty Kenya Holdings,6.35,10,7.25,7.7,7.35,7.2,0.15,2.04%,"4,400",-,,
2012-01-11,CFCI,Liberty Kenya Holdings,6.35,10,7.3,7.4,7.35,7.35,-,-,"6,000",-,,
2012-01-12,CFCI,Liberty Kenya Holdings,6.35,10,7.35,7.4,7.35,7.35,-,-,"16,800",-,,
2012-01-13,CFCI,Liberty Kenya Holdings,6.35,10,7.35,7.4,7.35,7.35,-,-,"4,200",-,,
2012-01-16,CFCI,Liberty Kenya Holdings,6.35,10,7.35,7.4,7.35,7.35,-,-,"5,200",-,,
2012-01-17,CFCI,Liberty Kenya Holdings,6.35,10,7.45,7.45,7.45,7.35,0.1,1.34%,"2,400",-,,
2012-01-18,CFCI,Liberty Kenya Holdings,6.35,10,7.3,7.5,7.4,7.45,-0.05,0.68%,"20,300",-,,
2012-01-19,CFCI,Liberty Kenya Holdings,6.35,10,7.5,7.5,7.5,7.4,0.1,1.33%,"10,000",-,,
2012-01-20,CFCI,Liberty Kenya Holdings,6.35,10,7.3,7.5,7.45,7.5,-0.05,0.67%,"7,000",-,,
2012-01-23,CFCI,Liberty Kenya Holdings,6.35,10,7.3,7.5,7.45,7.45,-,-,700,-,,
2012-01-24,CFCI,Liberty Kenya Holdings,6.35,10,7.45,7.7,7.55,7.45,0.1,1.32%,"4,400",-,,
2012-01-25,CFCI,Liberty Kenya Holdings,6.35,10,7.6,7.6,7.6,7.55,0.05,0.66%,"1,400",-,,
2012-01-26,CFCI,Liberty Kenya Holdings,6.35,10,7.6,7.7,7.6,7.6,-,-,"3,200",-,,
2012-01-27,CFCI,Liberty Kenya Holdings,6.35,10,7.6,7.9,7.85,7.6,0.25,3.18%,"4,000",-,,
2012-01-30,CFCI,Liberty Kenya Holdings,6.35,10,7.65,7.85,7.7,7.85,-0.15,1.95%,"104,800",-,,
2012-01-31,CFCI,Liberty Kenya Holdings,6.35,10,7.7,7.7,7.7,7.7,-,-,"5,800",-,,
2012-02-01,CFCI,Liberty Kenya Holdings,6.35,10,7.7,7.7,7.7,7.7,-,-,0,-,,
2012-02-02,CFCI,Liberty Kenya Holdings,6.35,10,7.7,7.7,7.7,7.7,-,-,"6,000",-,,
2012-02-03,CFCI,Liberty Kenya Holdings,6.35,10,7.7,7.7,7.7,7.7,-,-,"1,000",-,,
2012-02-06,CFCI,Liberty Kenya Holdings,6.35,11.45,7.7,7.85,7.7,7.7,-,-,"7,900",-,,
2012-02-07,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.7,7.65,7.7,-0.05,0.65%,"6,100",-,,
2012-02-08,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.7,7.65,7.65,-,-,"10,700",-,,
2012-02-09,CFCI,Liberty Kenya Holdings,6.35,11.45,7.65,7.7,7.65,7.65,-,-,"7,300",-,,
2012-02-10,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.6,7.6,7.65,-0.05,0.66%,"1,000",-,,
2012-02-13,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.7,7.5,7.6,-0.1,1.33%,"1,100",-,,
2012-02-14,CFCI,Liberty Kenya Holdings,6.35,11.45,6.75,7,6.95,7.5,-0.55,7.91%,900,-,,
2012-02-15,CFCI,Liberty Kenya Holdings,6.35,11.45,7,7,7,6.95,0.05,0.71%,"2,000",-,,
2012-02-16,CFCI,Liberty Kenya Holdings,6.35,11.45,7,7,7,7,-,-,"38,000",-,,
2012-02-17,CFCI,Liberty Kenya Holdings,6.35,11.45,7,7.55,7,7,-,-,"33,600",-,,
2012-02-20,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,6.35,6.35,7,-0.65,10.24%,900,-,,
2012-02-21,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,6.5,6.35,6.35,-,-,"2,400",-,,
2012-02-22,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,6.4,6.35,6.35,-,-,"11,700",-,,
2012-02-23,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,6.5,6.45,6.35,0.1,1.55%,"3,600",-,,
2012-02-24,CFCI,Liberty Kenya Holdings,6.35,11.45,6.3,6.4,6.3,6.45,-0.15,2.38%,"23,100",-,,
2012-02-27,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,6.4,6.35,6.3,0.05,0.79%,"2,400",-,,
2012-02-28,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,6.35,6.35,6.35,-,-,"5,800",-,,
2012-02-29,CFCI,Liberty Kenya Holdings,6.35,11.45,6.35,7.5,7.1,6.35,0.75,10.56%,"3,600",-,,
2012-03-01,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.55,7.5,7.1,0.4,5.33%,"156,100",-,,
2012-03-02,CFCI,Liberty Kenya Holdings,6.35,11.45,7,7.5,7.05,7.5,-0.45,6.38%,"70,700",-,,
2012-03-05,CFCI,Liberty Kenya Holdings,6.35,11.45,7.3,7.4,7.35,7.05,0.3,4.08%,"8,700",-,,
2012-03-06,CFCI,Liberty Kenya Holdings,6.35,11.45,7.2,7.4,7.3,7.35,-0.05,0.68%,"5,100",-,,
2012-03-07,CFCI,Liberty Kenya Holdings,6.35,11.45,7.35,7.5,7.35,7.3,0.05,0.68%,"10,900",-,,
2012-03-08,CFCI,Liberty Kenya Holdings,6.35,11.45,7.2,7.5,7.25,7.35,-0.1,1.38%,"18,500",-,,
2012-03-09,CFCI,Liberty Kenya Holdings,6.35,11.45,7.25,7.25,7.25,7.25,-,-,0,-,,
2012-03-12,CFCI,Liberty Kenya Holdings,6.35,11.45,7.25,7.25,7.25,7.25,-,-,0,-,,
2012-03-13,CFCI,Liberty Kenya Holdings,6.35,11.45,7.35,7.9,7.55,7.25,0.3,3.97%,"3,900",-,,
2012-03-14,CFCI,Liberty Kenya Holdings,6.35,11.45,7.9,7.9,7.9,7.55,0.35,4.43%,100,-,,
2012-03-15,CFCI,Liberty Kenya Holdings,6.35,11.45,7.35,8.1,8,7.9,0.1,1.25%,"11,100",-,,
2012-03-16,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.5,7.5,8,-0.5,6.67%,"3,100",-,,
2012-03-19,CFCI,Liberty Kenya Holdings,6.35,11.45,7.25,7.9,7.5,7.5,-,-,"9,000",-,,
2012-03-20,CFCI,Liberty Kenya Holdings,6.35,11.45,7.8,7.8,7.8,7.5,0.3,3.85%,"2,700",-,,
2012-03-21,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.5,7.5,7.8,-0.3,4.00%,"1,700",-,,
2012-03-22,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.9,7.5,7.5,-,-,"7,800",-,,
2012-03-23,CFCI,Liberty Kenya Holdings,6.35,11.45,7.2,7.2,7.2,7.5,-0.3,4.17%,200,-,,
2012-03-26,CFCI,Liberty Kenya Holdings,6.35,11.45,7.2,7.8,7.55,7.2,0.35,4.64%,400,-,,
2012-03-27,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.8,7.7,7.55,0.15,1.95%,"26,600",-,,
2012-03-28,CFCI,Liberty Kenya Holdings,6.35,11.45,7.7,7.7,7.7,7.7,-,-,800,-,,
2012-03-29,CFCI,Liberty Kenya Holdings,6.35,11.45,7.7,7.75,7.7,7.7,-,-,"16,600",-,,
2012-03-30,CFCI,Liberty Kenya Holdings,6.35,11.45,7.1,7.7,7.65,7.7,-0.05,0.65%,"15,200",-,,
2012-04-02,CFCI,Liberty Kenya Holdings,6.35,11.45,7.7,7.7,7.7,7.65,0.05,0.65%,"11,000",-,,
2012-04-03,CFCI,Liberty Kenya Holdings,6.35,11.45,7.8,7.8,7.8,7.7,0.1,1.28%,"7,500",-,,
2012-04-04,CFCI,Liberty Kenya Holdings,6.35,11.45,7.85,8,7.85,7.8,0.05,0.64%,"18,400",-,,
2012-04-05,CFCI,Liberty Kenya Holdings,6.35,11.45,7.85,7.95,7.85,7.85,-,-,"129,300",-,,
2012-04-10,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.85,7.65,7.85,-0.2,2.61%,"4,800",-,,
2012-04-11,CFCI,Liberty Kenya Holdings,6.35,11.45,7.85,7.95,7.85,7.65,0.2,2.55%,"2,400",-,,
2012-04-12,CFCI,Liberty Kenya Holdings,6.35,11.45,7.85,7.9,7.85,7.85,-,-,"13,200",-,,
2012-04-13,CFCI,Liberty Kenya Holdings,6.35,11.45,7.65,7.9,7.8,7.85,-0.05,0.64%,"1,200",-,,
2012-04-16,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.85,7.6,7.8,-0.2,2.63%,"4,600",-,,
2012-04-17,CFCI,Liberty Kenya Holdings,6.35,11.45,7,7.6,7,7.6,-0.6,8.57%,"2,100",-,,
2012-04-18,CFCI,Liberty Kenya Holdings,6.35,11.45,7,7.6,7.05,7,0.05,0.71%,"12,800",-,,
2012-04-19,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.6,7.6,7.05,0.55,7.24%,"10,000",-,,
2012-04-20,CFCI,Liberty Kenya Holdings,6.35,11.45,7.35,7.6,7.35,7.6,-0.25,3.40%,"2,500",-,,
2012-04-23,CFCI,Liberty Kenya Holdings,6.35,11.45,7.4,7.6,7.55,7.35,0.2,2.65%,"8,200",-,,
2012-04-25,CFCI,Liberty Kenya Holdings,6.35,11.45,7.55,7.8,7.75,7.55,0.2,2.58%,"10,700",-,,
2012-04-26,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.7,7.65,7.75,-0.1,1.31%,"38,200",-,,
2012-04-27,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.75,7.7,7.65,0.05,0.65%,"19,200",-,,
2012-04-30,CFCI,Liberty Kenya Holdings,6.35,11.45,7.6,7.75,7.7,7.7,-,-,"16,900",-,,
2012-05-02,CFCI,Liberty Kenya Holdings,6.35,11.45,8,8,8,7.7,0.3,3.75%,500,-,,
2012-05-03,CFCI,Liberty Kenya Holdings,6.35,11.45,7.55,8,7.85,8,-0.15,1.91%,"1,800",-,,
2012-05-04,CFCI,Liberty Kenya Holdings,6.35,11.45,7.55,7.9,7.7,7.85,-0.15,1.95%,"12,400",-,,
2012-05-07,CFCI,Liberty Kenya Holdings,6.35,11.45,8,8,8,7.7,0.3,3.75%,700,-,,
2012-05-08,CFCI,Liberty Kenya Holdings,6.35,11.45,7.85,7.85,7.85,8,-0.15,1.91%,"1,200",-,,
2012-05-09,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.5,7.5,7.85,-0.35,4.67%,400,-,,
2012-05-10,CFCI,Liberty Kenya Holdings,6.35,11.45,7.3,7.75,7.3,7.5,-0.2,2.74%,"12,400",-,,
2012-05-11,CFCI,Liberty Kenya Holdings,6.35,11.45,7.4,7.8,7.65,7.3,0.35,4.58%,"1,700",-,,
2012-05-14,CFCI,Liberty Kenya Holdings,6.35,11.45,7.8,8,7.9,7.65,0.25,3.16%,"13,900",-,,
2012-05-15,CFCI,Liberty Kenya Holdings,6.35,11.45,7.45,7.85,7.7,7.9,-0.2,2.60%,"6,400",-,,
2012-05-16,CFCI,Liberty Kenya Holdings,6.35,11.45,7.7,8,7.9,7.7,0.2,2.53%,"42,900",-,,
2012-05-17,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,7.8,7.65,7.9,-0.25,3.27%,"21,200",-,,
2012-05-18,CFCI,Liberty Kenya Holdings,6.35,11.45,7.8,8,7.95,7.65,0.3,3.77%,"3,600",-,,
2012-05-21,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,8,7.6,7.95,-0.35,4.61%,"46,500",-,,
2012-05-22,CFCI,Liberty Kenya Holdings,6.35,11.45,7.5,8,7.7,7.6,0.1,1.30%,"2,900",-,,
2012-05-23,CFCI,Liberty Kenya Holdings,6.35,11.45,7.8,8,7.8,7.7,0.1,1.28%,"46,500",-,,
