Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,C&G,Car and General (K),21,29,50,50,50,50,-,-,"66,700",33.33,,
2007-01-03,C&G,Car and General (K),21,29,50,55,54.5,50,4.5,8.26%,"11,100",36.33,,
2007-01-04,C&G,Car and General (K),21,29,55,55,55,54.5,0.5,0.91%,"4,900",36.67,,
2007-01-05,C&G,Car and General (K),21,29,55,60,59,55,4,6.78%,"29,900",39.33,,
2007-01-08,C&G,Car and General (K),21,29,55,62,57,59,-2,3.51%,"67,200",38,,
2007-01-09,C&G,Car and General (K),21,29,55,60,58.5,57,1.5,2.56%,"19,500",39,,
2007-01-10,C&G,Car and General (K),21,29,56,61,59,58.5,0.5,0.85%,"51,200",39.33,,
2007-01-11,C&G,Car and General (K),21,29,55,61,58,59,-1,1.72%,"30,000",38.67,,
2007-01-12,C&G,Car and General (K),21,29,60,60,60,58,2,3.33%,"6,500",40,,
2007-01-15,C&G,Car and General (K),21,29,58,60,58,60,-2,3.45%,"21,400",38.67,,
2007-01-16,C&G,Car and General (K),21,29,57,60,57,58,-1,1.75%,"15,900",38,,
2007-01-17,C&G,Car and General (K),21,29,52,60,56,57,-1,1.79%,"8,100",37.33,,
2007-01-18,C&G,Car and General (K),21,29,58,60,58.5,56,2.5,4.27%,"2,700",39,,
2007-01-19,C&G,Car and General (K),21,29,58,58,58,58.5,-0.5,0.86%,"1,000",38.67,,
2007-01-22,C&G,Car and General (K),21,29,58,59,58.5,58,0.5,0.85%,"25,500",39,,
2007-01-23,C&G,Car and General (K),21,29,58.5,60,59.5,58.5,1,1.68%,"152,700",39.67,,
2007-01-24,C&G,Car and General (K),21,29,58,61,58.5,59.5,-1,1.71%,"39,000",39,,
2007-01-25,C&G,Car and General (K),21,29,59,59,59,58.5,0.5,0.85%,"103,300",39.33,,
2007-01-26,C&G,Car and General (K),21,29,56,59,56.5,59,-2.5,4.42%,"14,600",37.67,,
2007-01-29,C&G,Car and General (K),21,29,59,59,59,56.5,2.5,4.24%,"3,000",39.33,,
2007-01-31,C&G,Car and General (K),21,29,59,59,59,59,-,-,500,39.33,,
2007-02-01,C&G,Car and General (K),21,29,56,59,57.5,59,-1.5,2.61%,"2,500",38.33,,
2007-02-02,C&G,Car and General (K),21,29,56,56,56,57.5,-1.5,2.68%,"5,000",37.33,,
2007-02-05,C&G,Car and General (K),21,29,59,60,59,56,3,5.08%,"2,100",39.33,,
2007-02-06,C&G,Car and General (K),21,29,59.5,59.5,59.5,59,0.5,0.84%,"1,000",39.67,,
2007-02-07,C&G,Car and General (K),21,29,58,60,59,59.5,-0.5,0.85%,200,39.33,,
2007-02-08,C&G,Car and General (K),21,29,55,56,55.5,59,-3.5,6.31%,400,37,,
2007-02-09,C&G,Car and General (K),21,29,55,55,55,55.5,-0.5,0.91%,"3,000",36.67,,
2007-02-13,C&G,Car and General (K),21,29,50,50,50,55,-5,10.00%,200,33.33,,
2007-02-14,C&G,Car and General (K),21,29,53,55,53,50,3,5.66%,"5,900",35.33,,
2007-02-15,C&G,Car and General (K),21,29,53,53,53,53,-,-,"2,000",35.33,,
2007-02-16,C&G,Car and General (K),21,29,54,54,54,53,1,1.85%,"2,000",36,,
2007-02-19,C&G,Car and General (K),21,29,53,54,53.5,54,-0.5,0.93%,200,35.67,,
2007-02-20,C&G,Car and General (K),21,29,53,53,53,53.5,-0.5,0.94%,"1,700",35.33,,
2007-02-22,C&G,Car and General (K),21,29,50,54,50,53,-3,6.00%,"9,200",33.33,,
2007-02-23,C&G,Car and General (K),21,29,50,50,50,50,-,-,"5,000",33.33,,
2007-02-26,C&G,Car and General (K),21,29,48,53,48.75,50,-1.25,2.56%,600,32.5,,
2007-02-28,C&G,Car and General (K),21,29,45,46,45.75,48.75,-3,6.56%,"1,100",30.5,,
2007-03-01,C&G,Car and General (K),21,29,43,47,45,45.75,-0.75,1.67%,200,30,,
2007-03-02,C&G,Car and General (K),21,29,39,39.25,39,45,-6,15.38%,"2,200",26,,
2007-03-05,C&G,Car and General (K),21,29,37,37,37,39,-2,5.41%,"3,500",24.67,,
2007-03-08,C&G,Car and General (K),21,29,36,37,36,37,-1,2.78%,"5,000",24,,
2007-03-09,C&G,Car and General (K),21,29,35,36,35.75,36,-0.25,0.70%,"11,000",23.83,,
2007-03-12,C&G,Car and General (K),21,29,35,35,35,35.75,-0.75,2.14%,"20,000",23.33,,
2007-03-13,C&G,Car and General (K),21,29,37.25,37.25,37.25,35,2.25,6.04%,100,24.83,,
2007-03-14,C&G,Car and General (K),21,29,38,38,38,37.25,0.75,1.97%,"1,000",25.33,,
2007-03-19,C&G,Car and General (K),21,29,38,38,38,38,-,-,800,25.33,,
2007-03-20,C&G,Car and General (K),21,29,38,38,38,38,-,-,"2,000",25.33,,
2007-03-22,C&G,Car and General (K),21,29,37,37.25,37,38,-1,2.70%,500,24.67,,
2007-03-26,C&G,Car and General (K),21,29,36,38,37.25,37,0.25,0.67%,"2,900",24.83,,
2007-03-28,C&G,Car and General (K),21,29,38,38,38,37.25,0.75,1.97%,"2,600",25.33,,
2007-03-30,C&G,Car and General (K),21,29,38,38,38,38,-,-,"2,000",25.33,,
2007-04-03,C&G,Car and General (K),21,29,38,41,39.5,38,1.5,3.80%,"1,800",26.33,,
2007-04-04,C&G,Car and General (K),21,29,40,41.75,40.5,39.5,1,2.47%,"24,200",27,,
2007-04-05,C&G,Car and General (K),21,29,41,41,41,40.5,0.5,1.22%,"5,700",27.33,,
2007-04-10,C&G,Car and General (K),21,29,42,42,42,41,1,2.38%,"1,000",28,,
2007-04-11,C&G,Car and General (K),21,29,38,42,39,42,-3,7.69%,"7,000",26,,
2007-04-13,C&G,Car and General (K),21,29,41,42.75,42.5,39,3.5,8.24%,800,28.33,,
2007-04-16,C&G,Car and General (K),21,29,40.5,43,40.5,42.5,-2,4.94%,"1,100",27,,
2007-04-17,C&G,Car and General (K),21,29,40.5,40.5,40.5,40.5,-,-,600,27,,
2007-04-18,C&G,Car and General (K),21,29,38,38,38,40.5,-2.5,6.58%,"1,000",25.33,,
2007-04-19,C&G,Car and General (K),21,29,38,38,38,38,-,-,"1,800",25.33,,
2007-04-20,C&G,Car and General (K),21,29,35,35,35,38,-3,8.57%,"2,800",23.33,,
2007-05-02,C&G,Car and General (K),21,29,35,35,35,35,-,-,"3,200",23.33,,
2007-05-08,C&G,Car and General (K),21,29,35,35,35,35,-,-,100,23.33,,
2007-05-11,C&G,Car and General (K),21,29,35.25,35.25,35.25,35,0.25,0.71%,300,23.5,,
2007-05-16,C&G,Car and General (K),21,29,36,36,36,35.25,0.75,2.08%,"1,300",24,,
2007-05-17,C&G,Car and General (K),21,29,37,37,37,36,1,2.70%,"71,600",24.67,,
2007-05-18,C&G,Car and General (K),21,29,40,40,40,37,3,7.50%,"4,100",26.67,,
2007-05-21,C&G,Car and General (K),21,29,40,43,42.5,40,2.5,5.88%,"3,300",28.33,,
2007-05-22,C&G,Car and General (K),21,29,45,45.5,45.25,42.5,2.75,6.08%,"4,100",30.17,,
2007-05-23,C&G,Car and General (K),21,29,45,45,45,45.25,-0.25,0.56%,200,30,,
2007-05-24,C&G,Car and General (K),21,29,45,48,46.5,45,1.5,3.23%,"5,000",31,,
