Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-03,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-04,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-07,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-08,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-09,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-10,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20,,
2013-01-11,CGEN,Car and General (K) Ltd,20,26,24.25,24.25,24.25,24,0.25,1.04%,100,20.21,,
2013-01-14,CGEN,Car and General (K) Ltd,20,26,25.25,25.25,25.25,24.25,1,4.12%,200,21.04,,
2013-01-15,CGEN,Car and General (K) Ltd,20,26,25,26,25,25.25,-0.25,0.99%,"4,900",20.83,,
2013-01-16,CGEN,Car and General (K) Ltd,20,26,24.25,25,24.25,25,-0.75,3.00%,"1,400",20.21,,
2013-01-17,CGEN,Car and General (K) Ltd,20,26,24.25,24.25,24.25,24.25,-,-,-,20.21,,
2013-01-18,CGEN,Car and General (K) Ltd,20,26,25,25,25,24.25,0.75,3.09%,400,20.83,,
2013-01-21,CGEN,Car and General (K) Ltd,20,26,25,25,25,25,-,-,500,20.83,,
2013-01-22,CGEN,Car and General (K) Ltd,20,26,25.5,25.5,25.5,25,0.5,2.00%,300,21.25,,
2013-01-23,CGEN,Car and General (K) Ltd,20,26,25.5,25.5,25.5,25.5,-,-,-,21.25,,
2013-01-24,CGEN,Car and General (K) Ltd,20,26,25.5,25.5,25.5,25.5,-,-,200,21.25,,
2013-01-25,CGEN,Car and General (K) Ltd,20,26,25.5,25.5,25.5,25.5,-,-,-,21.25,,
2013-01-28,CGEN,Car and General (K) Ltd,20,26,24,25,24,25.5,-1.5,5.88%,"12,500",20,,
