Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2012-01-03,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,20.75,-16.8,425.32%,"1,570,000",-,,
2012-01-04,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-05,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-06,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-09,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-10,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-11,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-12,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-13,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-16,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-17,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-18,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-19,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-20,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-23,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-24,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-25,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-26,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-27,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
2012-01-30,CIC,CIC Insurance Group,3.05,7,3.9,4,3.95,3.95,-,-,"1,570,000",-,,
