Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-10,CITY,City Trust,220,500,80,80,80,86,-6,7.50%,"2,500",72.73,,
2007-01-11,CITY,City Trust,220,500,78,88,82,80,2,2.44%,"5,400",74.55,,
2007-01-12,CITY,City Trust,220,500,80,80,80,82,-2,2.50%,500,72.73,,
2007-01-15,CITY,City Trust,220,500,80,80,80,80,-,-,"5,000",72.73,,
2007-01-18,CITY,City Trust,220,500,80,80,80,80,-,-,200,72.73,,
2007-01-19,CITY,City Trust,220,500,80,80,80,80,-,-,200,72.73,,
2007-01-23,CITY,City Trust,220,500,83,83,83,80,3,3.61%,400,75.45,,
2007-01-24,CITY,City Trust,220,500,83,83,83,83,-,-,100,75.45,,
2007-01-29,CITY,City Trust,220,500,80,83,81.5,83,-1.5,1.84%,500,74.09,,
2007-02-05,CITY,City Trust,220,500,80,80,80,81.5,-1.5,1.88%,"1,200",72.73,,
2007-02-06,CITY,City Trust,220,500,80,80,80,80,-,-,100,72.73,,
2007-02-08,CITY,City Trust,220,500,80,80,80,80,-,-,100,72.73,,
2007-02-12,CITY,City Trust,220,500,77,77,77,80,-3,3.90%,200,70,,
2007-02-13,CITY,City Trust,220,500,78.5,80,79.5,77,2.5,3.14%,"3,800",72.27,,
2007-02-14,CITY,City Trust,220,500,80,80,80,79.5,0.5,0.63%,500,72.73,,
2007-02-15,CITY,City Trust,220,500,80,80,80,80,-,-,"1,000",72.73,,
2007-02-22,CITY,City Trust,220,500,80,80,80,80,-,-,"1,000",72.73,,
2007-02-27,CITY,City Trust,220,500,78,80,79.5,80,-0.5,0.63%,"4,000",72.27,,
2007-03-02,CITY,City Trust,220,500,79.5,79.5,79.5,79.5,-,-,"3,000",72.27,,
2007-03-06,CITY,City Trust,220,500,79.5,79.5,79.5,79.5,-,-,300,72.27,,
2007-03-08,CITY,City Trust,220,500,80,80,80,79.5,0.5,0.63%,400,72.73,,
2007-03-13,CITY,City Trust,220,500,80,80,80,80,-,-,"1,000",72.73,,
2007-03-14,CITY,City Trust,220,500,80,80,80,80,-,-,"1,000",72.73,,
2007-03-26,CITY,City Trust,220,500,75,80,78.5,80,-1.5,1.91%,"1,800",71.36,,
2007-03-27,CITY,City Trust,220,500,80,80,80,78.5,1.5,1.88%,"3,000",72.73,,
2007-03-28,CITY,City Trust,220,500,82,82,82,80,2,2.44%,100,74.55,,
2007-04-04,CITY,City Trust,220,500,82,85,83,82,1,1.20%,300,75.45,,
2007-04-12,CITY,City Trust,220,500,90,90,90,83,7,7.78%,"1,000",81.82,,
2007-04-13,CITY,City Trust,220,500,90.5,90.5,90.5,90,0.5,0.55%,"1,100",82.27,,
2007-04-16,CITY,City Trust,220,500,90.5,90.5,90.5,90.5,-,-,"5,000",82.27,,
2007-04-17,CITY,City Trust,220,500,95,95,95,90.5,4.5,4.74%,"5,000",86.36,,
2007-04-18,CITY,City Trust,220,500,99,99,99,95,4,4.04%,"2,000",90,,
2007-04-19,CITY,City Trust,220,500,97,97,97,99,-2,2.06%,400,88.18,,
2007-04-20,CITY,City Trust,220,500,99,99,99,97,2,2.02%,100,90,,
2007-04-24,CITY,City Trust,220,500,100,105,103,99,4,3.88%,"4,500",93.64,,
2007-04-25,CITY,City Trust,220,500,105,105,105,103,2,1.90%,"1,500",95.45,,
2007-04-27,CITY,City Trust,220,500,105,115,107,105,2,1.87%,"6,500",97.27,,
