Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,CMC,CMC Holdings,13.5,13.5,173,193,188,173,15,7.98%,"36,200",15.67,,
2007-01-03,CMC,CMC Holdings,13.5,13.5,188,204,200,188,12,6.00%,"181,700",16.67,,
2007-01-04,CMC,CMC Holdings,13.5,13.5,200,223,221,200,21,9.50%,"225,000",18.42,,
2007-01-05,CMC,CMC Holdings,13.5,13.5,220,233,224,221,3,1.34%,"166,600",18.67,,
2007-01-08,CMC,CMC Holdings,13.5,13.5,226,248,235,224,11,4.68%,"115,200",19.58,,
2007-01-09,CMC,CMC Holdings,13.5,13.5,230,261,249,235,14,5.62%,"158,900",20.75,,
2007-01-10,CMC,CMC Holdings,13.5,13.5,250,270,263,249,14,5.32%,"260,900",21.92,,
2007-01-11,CMC,CMC Holdings,13.5,13.5,255,290,278,263,15,5.40%,"225,000",23.17,,
2007-01-12,CMC,CMC Holdings,13.5,13.5,185,298,255,278,-23,9.02%,"231,400",21.25,,
2007-01-15,CMC,CMC Holdings,13.5,13.5,202,225,209,255,-46,22.01%,"109,600",17.42,,
2007-01-16,CMC,CMC Holdings,13.5,13.5,200,210,204,209,-5,2.45%,"97,900",17,,
2007-01-17,CMC,CMC Holdings,13.5,13.5,195,204,200,204,-4,2.00%,"200,700",16.67,,
2007-01-18,CMC,CMC Holdings,13.5,13.5,195,210,200,200,-,-,"53,300",16.67,,
2007-01-19,CMC,CMC Holdings,13.5,13.5,190,200,197,200,-3,1.52%,"75,100",16.42,,
2007-01-22,CMC,CMC Holdings,13.5,13.5,180,195,189,197,-8,4.23%,"44,400",15.75,,
2007-01-23,CMC,CMC Holdings,13.5,13.5,180,195,189,189,-,-,"70,700",15.75,,
2007-01-24,CMC,CMC Holdings,13.5,13.5,184,196,191,189,2,1.05%,"69,700",15.92,,
2007-01-25,CMC,CMC Holdings,13.5,13.5,180,190,187,191,-4,2.14%,"67,100",15.58,,
2007-01-26,CMC,CMC Holdings,13.5,13.5,180,188,184,187,-3,1.63%,"37,700",15.33,,
2007-01-29,CMC,CMC Holdings,13.5,13.5,185,190,188,184,4,2.13%,"42,600",15.67,,
2007-01-30,CMC,CMC Holdings,13.5,13.5,180,185,184,188,-4,2.17%,"109,500",15.33,,
2007-01-31,CMC,CMC Holdings,13.5,13.5,180,185,182,184,-2,1.10%,"165,900",15.17,,
2007-02-01,CMC,CMC Holdings,13.5,13.5,151,183,175,182,-7,4.00%,"41,400",14.58,,
