Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2008-11-13,COOP,Co-operative Bank of Kenya,10.15,18,9.5,9.5,9.5,169,-159.5,1678.95%,0,,,7.92
2008-12-22,COOP,Co-operative Bank of Kenya,10.15,18,9.5,13.5,10.45,9.5,0.95,9.09%,"869,500",,,8.71
2008-12-23,COOP,Co-operative Bank of Kenya,10.15,18,9.45,11.25,10.5,10.45,0.05,0.48%,"1,130,000",,,8.75
2008-12-24,COOP,Co-operative Bank of Kenya,10.15,18,9.5,11.45,10.1,10.5,-0.4,3.96%,"1,000,000",,,8.42
2008-12-29,COOP,Co-operative Bank of Kenya,10.15,18,9.1,11.1,10.15,10.1,0.05,0.49%,"392,200",,,8.46
2008-12-30,COOP,Co-operative Bank of Kenya,10.15,18,9.2,11.1,10.4,10.15,0.25,2.40%,"655,400",,,8.67
2008-12-31,COOP,Co-operative Bank of Kenya,10.15,18,9.4,11.4,10.6,10.4,0.2,1.89%,"1,850,000",,,8.83
2009-01-02,COOP,Co-operative Bank of Kenya,10.15,18,9.55,10.5,10,10.6,-0.6,6.00%,"456,800",8.33,,
2009-01-05,COOP,Co-operative Bank of Kenya,10.15,18,9.55,10.5,10,10,-,-,"434,400",8.33,,
2009-01-06,COOP,Co-operative Bank of Kenya,10.15,18,9.5,10,9.85,10,-0.15,1.52%,"387,000",8.21,,
2009-01-07,COOP,Co-operative Bank of Kenya,10.15,18,9,10.25,9.85,9.85,-,-,"573,800",8.21,,
2009-01-08,COOP,Co-operative Bank of Kenya,10.15,18,8.9,10,9.55,9.85,-0.3,3.14%,"366,300",7.96,,
2009-01-09,COOP,Co-operative Bank of Kenya,10.15,18,8.6,10.05,9.5,9.55,-0.05,0.53%,"1,020,000",7.92,,
2009-01-12,COOP,Co-operative Bank of Kenya,10.15,18,8.95,10.05,9.55,9.5,0.05,0.52%,"663,400",7.96,,
2009-01-13,COOP,Co-operative Bank of Kenya,10.15,18,8.6,10,9.55,9.55,-,-,"669,400",7.96,,
2009-01-14,COOP,Co-operative Bank of Kenya,10.15,18,9,9.6,9.5,9.55,-0.05,0.53%,"420,300",7.92,,
2009-01-15,COOP,Co-operative Bank of Kenya,10.15,18,9.15,9.65,9.45,9.5,-0.05,0.53%,"534,800",7.88,,
2009-01-16,COOP,Co-operative Bank of Kenya,10.15,18,8.9,9.65,9.3,9.45,-0.15,1.61%,"425,100",7.75,,
2009-01-19,COOP,Co-operative Bank of Kenya,10.15,18,8.8,9.3,9.05,9.3,-0.25,2.76%,"101,900",7.54,,
