Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,CRWN,Crown Paints Kenya Plc,45,87,42.5,42.5,42.5,42.5,-,-,-,14.17,,
2013-01-03,CRWN,Crown Paints Kenya Plc,45,85,41.25,42,41.75,42.5,-0.75,1.76%,"38,400",13.92,,
2013-01-04,CRWN,Crown Paints Kenya Plc,45,85,41.75,41.75,41.75,41.75,-,-,-,13.92,,
2013-01-07,CRWN,Crown Paints Kenya Plc,45,85,41.75,41.75,41.75,41.75,-,-,"3,000",13.92,,
2013-01-08,CRWN,Crown Paints Kenya Plc,45,85,42,42,42,41.75,0.25,0.60%,400,14,,
2013-01-09,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42,0.5,1.19%,700,14.17,,
2013-01-10,CRWN,Crown Paints Kenya Plc,45,85,43,43,43,42.5,0.5,1.18%,"1,500",14.33,,
2013-01-11,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,43,-0.5,1.16%,"5,800",14.17,,
2013-01-14,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,-,14.17,,
2013-01-15,CRWN,Crown Paints Kenya Plc,45,85,42,42,42,42.5,-0.5,1.18%,100,14,,
2013-01-16,CRWN,Crown Paints Kenya Plc,45,85,42.5,43,42.5,42,0.5,1.19%,"44,900",14.17,,
2013-01-17,CRWN,Crown Paints Kenya Plc,45,87,42.5,42.5,42.5,42.5,-,-,-,14.17,,
2013-01-18,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,"3,500",14.17,,
2013-01-21,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.75,42.5,42.5,-,-,"10,300",14.17,,
2013-01-22,CRWN,Crown Paints Kenya Plc,45,85,42.5,43,42.5,42.5,-,-,"17,700",14.17,,
2013-01-23,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,-,14.17,,
2013-01-24,CRWN,Crown Paints Kenya Plc,45,87,42.5,42.5,42.5,42.5,-,-,800,14.17,,
2013-01-25,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,"1,000",14.17,,
2013-01-28,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,500,14.17,,
2013-01-29,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,-,14.17,,
2013-01-30,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,200,14.17,,
2013-01-31,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,100,14.17,,
2013-02-01,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,700,14.17,,
2013-02-04,CRWN,Crown Paints Kenya Plc,45,85,42.5,42.5,42.5,42.5,-,-,-,14.17,,
