Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,CTUM,Centum Investment Company Plc,19.6,33.5,12.2,12.4,12.2,12.35,-0.15,1.21%,"11,200",-,,
2013-01-03,CTUM,Centum Investment Company Plc,19.6,33.5,12.05,12.4,12.2,12.2,-,-,"27,800",-,,
2013-01-04,CTUM,Centum Investment Company Plc,19.6,33.5,12.05,12.6,12.55,12.2,0.35,2.87%,"53,900",-,,
2013-01-07,CTUM,Centum Investment Company Plc,19.6,33.5,12.4,12.55,12.45,12.55,-0.1,0.80%,"42,600",-,,
2013-01-08,CTUM,Centum Investment Company Plc,19.6,33.5,12.3,12.5,12.45,12.45,-,-,"48,200",-,,
2013-01-09,CTUM,Centum Investment Company Plc,19.6,33.5,12.4,12.65,12.5,12.45,0.05,0.40%,"127,400",-,,
2013-01-10,CTUM,Centum Investment Company Plc,19.6,33.5,12.35,12.5,12.4,12.5,-0.1,0.80%,"43,400",-,,
2013-01-11,CTUM,Centum Investment Company Plc,19.6,33.5,12.2,12.4,12.25,12.4,-0.15,1.21%,"13,700",-,,
2013-01-14,CTUM,Centum Investment Company Plc,19.6,33.5,12.3,12.6,12.4,12.25,0.15,1.22%,"626,000",-,,
2013-01-15,CTUM,Centum Investment Company Plc,19.6,33.5,12.4,12.65,12.6,12.4,0.2,1.61%,"39,200",-,,
2013-01-16,CTUM,Centum Investment Company Plc,19.6,33.5,12.7,13.45,13,12.6,0.4,3.17%,"86,600",-,,
2013-01-17,CTUM,Centum Investment Company Plc,19.6,33.5,13.35,14.3,13.75,13,0.75,5.77%,"291,000",-,,
2013-01-18,CTUM,Centum Investment Company Plc,19.6,33.5,12.9,13.8,13.45,13.75,-0.3,2.18%,"138,100",-,,
2013-01-21,CTUM,Centum Investment Company Plc,19.6,33.5,12.7,12.95,12.85,13.45,-0.6,4.46%,"43,300",-,,
2013-01-22,CTUM,Centum Investment Company Plc,19.6,33.5,12.7,13,12.95,12.85,0.1,0.78%,"263,100",-,,
2013-01-23,CTUM,Centum Investment Company Plc,19.6,33.5,12.8,13,12.95,12.95,-,-,"1,158,000",-,,
2013-01-24,CTUM,Centum Investment Company Plc,19.6,33.5,12.9,13,12.95,12.95,-,-,"320,200",-,,
2013-01-25,CTUM,Centum Investment Company Plc,19.6,33.5,12.85,13,12.9,12.95,-0.05,0.39%,"20,100",-,,
2013-01-28,CTUM,Centum Investment Company Plc,19.6,33.5,13,13.4,13.15,12.9,0.25,1.94%,"832,900",-,,
2013-01-29,CTUM,Centum Investment Company Plc,19.6,33.5,13.05,13.45,13.3,13.15,0.15,1.14%,"586,500",-,,
2013-01-30,CTUM,Centum Investment Company Plc,19.6,33.5,13.05,13.15,13.05,13.3,-0.25,1.88%,"13,500",-,,
