Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,DTK,Diamond Trust Bank Kenya,88,164,72,79,77.5,72,5.5,7.10%,"59,700",64.58,,
2007-01-03,DTK,Diamond Trust Bank Kenya,88,164,76,80,76,77.5,-1.5,1.97%,"58,100",63.33,,
2007-01-04,DTK,Diamond Trust Bank Kenya,88,164,77,84,79.5,76,3.5,4.40%,"213,900",66.25,,
2007-01-05,DTK,Diamond Trust Bank Kenya,88,164,80,86,83.5,79.5,4,4.79%,"35,800",69.58,,
2007-01-08,DTK,Diamond Trust Bank Kenya,88,164,82,93.5,89.5,83.5,6,6.70%,"165,400",74.58,,
2007-01-09,DTK,Diamond Trust Bank Kenya,88,164,86,95,90.5,89.5,1,1.10%,"127,700",75.42,,
2007-01-10,DTK,Diamond Trust Bank Kenya,88,164,85,95,89.5,90.5,-1,1.12%,"82,100",74.58,,
2007-01-11,DTK,Diamond Trust Bank Kenya,88,164,79,88,83.5,89.5,-6,7.19%,"100,800",69.58,,
2007-01-12,DTK,Diamond Trust Bank Kenya,88,164,80,85,83,83.5,-0.5,0.60%,"35,500",69.17,,
2007-01-15,DTK,Diamond Trust Bank Kenya,88,164,80,84,83,83,-,-,"22,500",69.17,,
2007-01-16,DTK,Diamond Trust Bank Kenya,88,164,80,84,82,83,-1,1.22%,"27,100",68.33,,
2007-01-17,DTK,Diamond Trust Bank Kenya,88,164,78,83,79,82,-3,3.80%,"69,700",65.83,,
2007-01-18,DTK,Diamond Trust Bank Kenya,88,164,77,85,80,79,1,1.25%,"213,400",66.67,,
2007-01-19,DTK,Diamond Trust Bank Kenya,88,164,77,84,79.5,80,-0.5,0.63%,"201,200",66.25,,
2007-01-22,DTK,Diamond Trust Bank Kenya,88,164,78,84,79.5,79.5,-,-,"52,700",66.25,,
2007-01-23,DTK,Diamond Trust Bank Kenya,88,164,80,84,80.5,79.5,1,1.24%,"19,600",67.08,,
2007-01-24,DTK,Diamond Trust Bank Kenya,88,164,78,83,79,80.5,-1.5,1.90%,"144,300",65.83,,
2007-01-25,DTK,Diamond Trust Bank Kenya,88,164,79,85,81,79,2,2.47%,"220,500",67.5,,
2007-01-26,DTK,Diamond Trust Bank Kenya,88,164,80,85,83.5,81,2.5,2.99%,"70,000",69.58,,
2007-01-29,DTK,Diamond Trust Bank Kenya,88,164,79,84,80.5,83.5,-3,3.73%,"37,900",67.08,,
2007-01-30,DTK,Diamond Trust Bank Kenya,88,164,78,83,79.5,80.5,-1,1.26%,"173,700",66.25,,
2007-01-31,DTK,Diamond Trust Bank Kenya,88,164,74.5,80,77.5,79.5,-2,2.58%,"74,100",64.58,,
2007-02-01,DTK,Diamond Trust Bank Kenya,88,164,75,84,79,77.5,1.5,1.90%,"164,600",65.83,,
2007-02-02,DTK,Diamond Trust Bank Kenya,88,164,74,80,77.5,79,-1.5,1.94%,"39,000",64.58,,
2007-02-05,DTK,Diamond Trust Bank Kenya,88,164,74.5,78,75.5,77.5,-2,2.65%,"104,800",62.92,,
