Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,EABL,East African Breweries,200,325,138,140,139,139,-,-,"28,100",115.83,,
2007-01-03,EABL,East African Breweries,200,325,139,144,139,139,-,-,"15,400",115.83,,
2007-01-04,EABL,East African Breweries,200,325,140,145,140,139,1,0.71%,"47,500",116.67,,
2007-01-05,EABL,East African Breweries,200,325,140,145,140,140,-,-,"24,500",116.67,,
2007-01-08,EABL,East African Breweries,200,325,140,145,143,140,3,2.10%,"131,900",119.17,,
2007-01-09,EABL,East African Breweries,200,325,142,150,142,143,-1,0.70%,"88,000",118.33,,
2007-01-10,EABL,East African Breweries,200,325,142,155,149,142,7,4.70%,"157,500",124.17,,
2007-01-11,EABL,East African Breweries,200,325,146,151,149,149,-,-,"66,400",124.17,,
2007-01-12,EABL,East African Breweries,200,325,139,149,148,149,-1,0.68%,"80,400",123.33,,
2007-01-15,EABL,East African Breweries,200,325,146,148,147,148,-1,0.68%,"248,700",122.5,,
2007-01-16,EABL,East African Breweries,200,325,139,149,147,147,-,-,"474,900",122.5,,
2007-01-17,EABL,East African Breweries,200,325,140,149,144,147,-3,2.08%,"126,500",120,,
2007-01-18,EABL,East African Breweries,200,325,142,149,145,144,1,0.69%,"190,400",120.83,,
2007-01-19,EABL,East African Breweries,200,325,140,150,147,145,2,1.36%,"52,500",122.5,,
2007-01-22,EABL,East African Breweries,200,325,145,149,147,147,-,-,"82,600",122.5,,
2007-01-23,EABL,East African Breweries,200,325,142,149,147,147,-,-,"29,300",122.5,,
2007-01-24,EABL,East African Breweries,200,325,145,151,148,147,1,0.68%,"234,700",123.33,,
2007-01-25,EABL,East African Breweries,200,325,145,149,148,148,-,-,"164,400",123.33,,
2007-01-26,EABL,East African Breweries,200,325,145,149,146,148,-2,1.37%,"129,700",121.67,,
2007-01-29,EABL,East African Breweries,200,325,141,153,148,146,2,1.35%,"217,800",123.33,,
2007-01-30,EABL,East African Breweries,200,325,144,153,148,148,-,-,"209,400",123.33,,
2007-01-31,EABL,East African Breweries,200,325,145,150,148,148,-,-,"85,700",123.33,,
2007-02-01,EABL,East African Breweries,200,325,143,150,148,148,-,-,"101,000",123.33,,
2007-02-02,EABL,East African Breweries,200,325,143,149,148,148,-,-,"159,200",123.33,,
2007-02-05,EABL,East African Breweries,200,325,145,150,148,148,-,-,"134,900",123.33,,
2007-02-06,EABL,East African Breweries,200,325,149,155,153,148,5,3.27%,"101,600",127.5,,
2007-02-07,EABL,East African Breweries,200,325,148,158,152,153,-1,0.66%,"103,900",126.67,,
2007-02-08,EABL,East African Breweries,200,325,152,158,156,152,4,2.56%,"79,200",130,,
2007-02-09,EABL,East African Breweries,200,325,150,158,155,156,-1,0.65%,"76,800",129.17,,
2007-02-12,EABL,East African Breweries,200,325,152,159,157,155,2,1.27%,"127,700",130.83,,
2007-02-13,EABL,East African Breweries,200,325,155,157,156,157,-1,0.64%,"12,900",130,,
2007-02-14,EABL,East African Breweries,200,325,155,159,155,156,-1,0.65%,"226,100",129.17,,
2007-02-15,EABL,East African Breweries,200,325,155,157,156,155,1,0.64%,"69,000",130,,
2007-02-16,EABL,East African Breweries,200,325,150,155,152,156,-4,2.63%,"6,300",126.67,,
2007-02-19,EABL,East African Breweries,200,325,148,157,154,152,2,1.30%,"134,900",128.33,,
2007-02-20,EABL,East African Breweries,200,325,152,156,155,154,1,0.65%,"89,600",129.17,,
2007-02-21,EABL,East African Breweries,200,325,154,157,155,155,-,-,"503,200",129.17,,
2007-02-22,EABL,East African Breweries,200,325,142,155,154,155,-1,0.65%,"280,400",128.33,,
2007-02-23,EABL,East African Breweries,200,325,130,150,145,154,-9,6.21%,"81,400",120.83,,
2007-02-26,EABL,East African Breweries,200,325,142,157,151,145,6,3.97%,"108,000",125.83,,
2007-02-27,EABL,East African Breweries,200,325,145,150,147,151,-4,2.72%,"69,800",122.5,,
2007-02-28,EABL,East African Breweries,200,325,140,146,144,147,-3,2.08%,"219,000",120,,
2007-03-01,EABL,East African Breweries,200,325,135,150,144,144,-,-,"317,600",120,,
2007-03-02,EABL,East African Breweries,200,325,133,145,141,144,-3,2.13%,"70,000",117.5,,
2007-03-05,EABL,East African Breweries,200,325,137,150,140,141,-1,0.71%,"50,200",116.67,,
2007-03-06,EABL,East African Breweries,200,325,138,150,142,140,2,1.41%,"72,700",118.33,,
2007-03-07,EABL,East African Breweries,200,325,140,148,144,142,2,1.39%,"17,600",120,,
2007-03-08,EABL,East African Breweries,200,325,144,145,144,144,-,-,"106,000",120,,
2007-03-09,EABL,East African Breweries,200,325,142,146,143,144,-1,0.70%,"226,700",119.17,,
2007-03-12,EABL,East African Breweries,200,325,138,145,142,143,-1,0.70%,"182,500",118.33,,
2007-03-13,EABL,East African Breweries,200,325,140,145,143,142,1,0.70%,"686,800",119.17,,
2007-03-14,EABL,East African Breweries,200,325,140,144,143,143,-,-,"156,000",119.17,,
2007-03-15,EABL,East African Breweries,200,325,138,145,141,143,-2,1.42%,"103,800",117.5,,
2007-03-16,EABL,East African Breweries,200,325,138,144,142,141,1,0.70%,"309,400",118.33,,
2007-03-19,EABL,East African Breweries,200,325,140,146,144,142,2,1.39%,"508,600",120,,
2007-03-20,EABL,East African Breweries,200,325,140,140,140,144,-4,2.86%,"106,500",116.67,,
2007-03-21,EABL,East African Breweries,200,325,135,140,138,140,-2,1.45%,"99,300",115,,
2007-03-22,EABL,East African Breweries,200,325,130,136,131,138,-7,5.34%,"41,400",109.17,,
2007-03-23,EABL,East African Breweries,200,325,127,130,128,131,-3,2.34%,"145,600",106.67,,
2007-03-26,EABL,East African Breweries,200,325,126,130,128,128,-,-,"62,800",106.67,,
2007-03-27,EABL,East African Breweries,200,325,130,140,139,128,11,7.91%,"92,000",115.83,,
2007-03-28,EABL,East African Breweries,200,325,130,143,139,139,-,-,"243,800",115.83,,
2007-03-29,EABL,East African Breweries,200,325,135,142,141,139,2,1.42%,"1,430,000",117.5,,
2007-03-30,EABL,East African Breweries,200,325,140,145,140,141,-1,0.71%,"51,100",116.67,,
2007-04-02,EABL,East African Breweries,200,325,138,141,140,140,-,-,"28,200",116.67,,
2007-04-03,EABL,East African Breweries,200,325,135,142,140,140,-,-,"153,500",116.67,,
2007-04-04,EABL,East African Breweries,200,325,135,141,138,140,-2,1.45%,"39,900",115,,
2007-04-05,EABL,East African Breweries,200,325,135,140,139,138,1,0.72%,"29,900",115.83,,
2007-04-10,EABL,East African Breweries,200,325,138,143,141,139,2,1.42%,"17,800",117.5,,
2007-04-11,EABL,East African Breweries,200,325,140,145,143,141,2,1.40%,"16,700",119.17,,
2007-04-12,EABL,East African Breweries,200,325,140,145,144,143,1,0.69%,"87,000",120,,
2007-04-13,EABL,East African Breweries,200,325,142,147,145,144,1,0.69%,"200,800",120.83,,
2007-04-16,EABL,East African Breweries,200,325,143,148,146,145,1,0.68%,"39,200",121.67,,
2007-04-17,EABL,East African Breweries,200,325,144,150,147,146,1,0.68%,"41,200",122.5,,
2007-04-18,EABL,East African Breweries,200,325,142,149,147,147,-,-,"16,800",122.5,,
2007-04-19,EABL,East African Breweries,200,325,145,148,146,147,-1,0.68%,"42,400",121.67,,
2007-04-20,EABL,East African Breweries,200,325,145,148,146,146,-,-,"375,700",121.67,,
2007-04-23,EABL,East African Breweries,200,325,145,148,146,146,-,-,"22,300",121.67,,
2007-04-24,EABL,East African Breweries,200,325,142,147,146,146,-,-,"792,300",121.67,,
2007-04-25,EABL,East African Breweries,200,325,140,149,146,146,-,-,"33,000",121.67,,
2007-04-26,EABL,East African Breweries,200,325,146,150,147,146,1,0.68%,"131,100",122.5,,
2007-04-27,EABL,East African Breweries,200,325,142,148,146,147,-1,0.68%,"84,100",121.67,,
2007-04-30,EABL,East African Breweries,200,325,140,146,145,146,-1,0.69%,"50,200",120.83,,
2007-05-02,EABL,East African Breweries,200,325,142,146,145,145,-,-,"69,800",120.83,,
2007-05-03,EABL,East African Breweries,200,325,140,146,145,145,-,-,"131,700",120.83,,
2007-05-04,EABL,East African Breweries,200,325,142,155,146,145,1,0.68%,"150,600",121.67,,
2007-05-07,EABL,East African Breweries,200,325,144,146,144,146,-2,1.39%,"17,100",120,,
2007-05-08,EABL,East African Breweries,200,325,142,147,145,144,1,0.69%,"1,100,000",120.83,,
2007-05-09,EABL,East African Breweries,200,325,143,147,145,145,-,-,"26,800",120.83,,
2007-05-10,EABL,East African Breweries,200,325,144,147,144,145,-1,0.69%,"470,700",120,,
2007-05-11,EABL,East African Breweries,200,325,145,147,145,144,1,0.69%,"97,800",120.83,,
2007-05-14,EABL,East African Breweries,200,325,144,146,145,145,-,-,"480,700",120.83,,
2007-05-15,EABL,East African Breweries,200,325,144,148,144,145,-1,0.69%,"1,330,000",120,,
2007-05-16,EABL,East African Breweries,200,325,142,146,144,144,-,-,"150,500",120,,
2007-05-17,EABL,East African Breweries,200,325,143,145,143,144,-1,0.70%,"1,230,000",119.17,,
2007-05-18,EABL,East African Breweries,200,325,143,144,143,143,-,-,"40,900",119.17,,
2007-05-21,EABL,East African Breweries,200,325,143,147,144,143,1,0.69%,"194,000",120,,
2007-05-22,EABL,East African Breweries,200,325,142,149,144,144,-,-,"187,300",120,,
2007-05-23,EABL,East African Breweries,200,325,143,145,144,144,-,-,"123,500",120,,
2007-05-24,EABL,East African Breweries,200,325,142,144,143,144,-1,0.70%,"55,100",119.17,,
2007-05-25,EABL,East African Breweries,200,325,135,145,141,143,-2,1.42%,"17,400",117.5,,
2007-05-28,EABL,East African Breweries,200,325,138,144,143,141,2,1.40%,"657,600",119.17,,
2007-05-29,EABL,East African Breweries,200,325,138,144,143,143,-,-,"748,100",119.17,,
2007-05-30,EABL,East African Breweries,200,325,142,145,144,143,1,0.69%,"337,400",120,,
2007-05-31,EABL,East African Breweries,200,325,144,145,144,144,-,-,"1,190,000",120,,
2007-06-04,EABL,East African Breweries,200,325,143,145,144,144,-,-,"14,600",120,,
2007-06-05,EABL,East African Breweries,200,325,144,146,145,144,1,0.69%,"37,500",120.83,,
2007-06-06,EABL,East African Breweries,200,325,144,146,144,145,-1,0.69%,"35,400",120,,
2007-06-07,EABL,East African Breweries,200,325,142,145,144,144,-,-,"82,100",120,,
2007-06-08,EABL,East African Breweries,200,325,142,145,144,144,-,-,"243,500",120,,
2007-06-11,EABL,East African Breweries,200,325,144,150,146,144,2,1.37%,"72,300",121.67,,
2007-06-12,EABL,East African Breweries,200,325,140,147,145,146,-1,0.69%,"69,000",120.83,,
2007-06-13,EABL,East African Breweries,200,325,140,147,145,145,-,-,"128,200",120.83,,
2007-06-14,EABL,East African Breweries,200,325,144,147,145,145,-,-,"20,300",120.83,,
2007-06-15,EABL,East African Breweries,200,325,144,146,145,145,-,-,"131,800",120.83,,
2007-06-18,EABL,East African Breweries,200,325,146,150,146,145,1,0.68%,"12,000",121.67,,
2007-06-19,EABL,East African Breweries,200,325,145,150,146,146,-,-,"62,400",121.67,,
2007-06-20,EABL,East African Breweries,200,325,145,148,147,146,1,0.68%,"8,800",122.5,,
2007-06-21,EABL,East African Breweries,200,325,148,150,149,147,2,1.34%,"45,500",124.17,,
2007-06-22,EABL,East African Breweries,200,325,147,150,149,149,-,-,"17,600",124.17,,
2007-06-25,EABL,East African Breweries,200,325,149,150,149,149,-,-,"13,000",124.17,,
2007-06-26,EABL,East African Breweries,200,325,147,155,151,149,2,1.32%,"221,300",125.83,,
2007-06-27,EABL,East African Breweries,200,325,148,155,150,151,-1,0.67%,"13,200",125,,
2007-06-28,EABL,East African Breweries,200,325,150,155,154,150,4,2.60%,"270,500",128.33,,
2007-06-29,EABL,East African Breweries,200,325,150,156,154,154,-,-,"83,300",128.33,,
2007-07-02,EABL,East African Breweries,200,325,152,155,153,154,-1,0.65%,"37,700",127.5,,
2007-07-03,EABL,East African Breweries,200,325,152,155,153,153,-,-,"115,600",127.5,,
2007-07-04,EABL,East African Breweries,200,325,146,153,152,153,-1,0.66%,"49,400",126.67,,
2007-07-05,EABL,East African Breweries,200,325,145,155,153,152,1,0.65%,"72,800",127.5,,
2007-07-06,EABL,East African Breweries,200,325,145,156,152,153,-1,0.66%,"38,700",126.67,,
2007-07-09,EABL,East African Breweries,200,325,150,154,152,152,-,-,"38,600",126.67,,
2007-07-10,EABL,East African Breweries,200,325,149,153,150,152,-2,1.33%,"20,800",125,,
2007-07-11,EABL,East African Breweries,200,325,150,155,151,150,1,0.66%,"33,200",125.83,,
2007-07-12,EABL,East African Breweries,200,325,150,152,151,151,-,-,"401,500",125.83,,
2007-07-13,EABL,East African Breweries,200,325,142,157,149,151,-2,1.34%,"57,600",124.17,,
2007-07-16,EABL,East African Breweries,200,325,148,151,150,149,1,0.67%,"230,600",125,,
2007-07-17,EABL,East African Breweries,200,325,148,156,152,150,2,1.32%,"50,600",126.67,,
2007-07-18,EABL,East African Breweries,200,325,148,153,150,152,-2,1.33%,"4,200",125,,
2007-07-19,EABL,East African Breweries,200,325,150,151,150,150,-,-,"96,000",125,,
2007-07-20,EABL,East African Breweries,200,325,150,152,151,150,1,0.66%,"14,800",125.83,,
2007-07-23,EABL,East African Breweries,200,325,150,156,155,151,4,2.58%,"56,500",129.17,,
