Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,EGAD,Eaagads,22,57,52,52,52,52,-,-,300,26,,
2007-01-03,EGAD,Eaagads,22,57,52,52,52,52,-,-,"1,000",26,,
2007-01-04,EGAD,Eaagads,22,57,52,52,52,52,-,-,"14,100",26,,
2007-01-05,EGAD,Eaagads,22,57,52,52,52,52,-,-,"1,900",26,,
2007-01-09,EGAD,Eaagads,22,57,53,53,53,52,1,1.89%,200,26.5,,
2007-01-11,EGAD,Eaagads,22,57,53,53,53,53,-,-,100,26.5,,
2007-01-12,EGAD,Eaagads,22,57,55,57,56,53,3,5.36%,"17,300",28,,
2007-01-16,EGAD,Eaagads,22,57,57,58,57,56,1,1.75%,600,28.5,,
2007-01-17,EGAD,Eaagads,22,57,60,60,60,57,3,5.00%,"5,000",30,,
2007-01-19,EGAD,Eaagads,22,57,60,61,60.5,60,0.5,0.83%,"3,700",30.25,,
2007-01-22,EGAD,Eaagads,22,57,62,62,62,60.5,1.5,2.42%,200,31,,
2007-01-23,EGAD,Eaagads,22,57,66,66,66,62,4,6.06%,300,33,,
2007-01-26,EGAD,Eaagads,22,57,66,66,66,66,-,-,100,33,,
2007-01-29,EGAD,Eaagads,22,57,66,66,66,66,-,-,"1,000",33,,
2007-01-31,EGAD,Eaagads,22,57,66,66,66,66,-,-,100,33,,
2007-02-01,EGAD,Eaagads,22,57,66,66,66,66,-,-,200,33,,
2007-02-09,EGAD,Eaagads,22,57,66,66,66,66,-,-,"1,000",33,,
2007-02-23,EGAD,Eaagads,22,57,67,67,67,66,1,1.49%,100,33.5,,
2007-04-23,EGAD,Eaagads,22,57,60.5,60.5,60.5,67,-6.5,10.74%,500,30.25,,
2007-04-25,EGAD,Eaagads,22,57,54.5,54.5,54.5,60.5,-6,11.01%,100,27.25,,
2007-04-26,EGAD,Eaagads,22,57,52,52,52,54.5,-2.5,4.81%,200,26,,
2007-04-27,EGAD,Eaagads,22,57,47,47,47,52,-5,10.64%,"1,900",23.5,,
2007-04-30,EGAD,Eaagads,22,57,43,43,43,47,-4,9.30%,"5,300",21.5,,
2007-05-02,EGAD,Eaagads,22,57,40,52,46,43,3,6.52%,"2,400",23,,
2007-05-03,EGAD,Eaagads,22,57,50,50,50,46,4,8.00%,500,25,,
2007-05-04,EGAD,Eaagads,22,57,50,50,50,50,-,-,500,25,,
2007-05-15,EGAD,Eaagads,22,57,50,50,50,50,-,-,"20,000",25,,
2007-05-22,EGAD,Eaagads,22,57,50,50,50,50,-,-,"2,500",25,,
2007-05-24,EGAD,Eaagads,22,57,50,50,50,50,-,-,"2,200",25,,
2007-05-29,EGAD,Eaagads,22,57,50,50,50,50,-,-,100,25,,
2007-05-31,EGAD,Eaagads,22,57,50,50,50,50,-,-,200,25,,
2007-06-14,EGAD,Eaagads,22,57,50,50,50,50,-,-,200,25,,
2007-06-18,EGAD,Eaagads,22,57,50,50,50,50,-,-,500,25,,
