Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,EQTY,Equity Bank,19.5,36.5,140,145,141,138,3,2.13%,"7,500",4.7,,
2007-01-03,EQTY,Equity Bank,19.55,36.5,140,150,144,141,3,2.08%,"13,300",4.8,,
2007-01-04,EQTY,Equity Bank,19.5,36.5,146,157,154,144,10,6.49%,"28,800",5.13,,
2007-01-05,EQTY,Equity Bank,19.55,36.5,155,170,167,154,13,7.78%,"53,100",5.57,,
2007-01-08,EQTY,Equity Bank,19.55,36.5,170,185,179,167,12,6.70%,"93,000",5.97,,
2007-01-09,EQTY,Equity Bank,19.55,36.5,185,202,199,179,20,10.05%,"97,600",6.63,,
2007-01-10,EQTY,Equity Bank,19.55,36.5,210,222,221,199,22,9.95%,"218,300",7.37,,
2007-01-11,EQTY,Equity Bank,19.55,36.5,219,244,237,221,16,6.75%,"281,200",7.9,,
2007-01-12,EQTY,Equity Bank,19.55,36.5,203,220,213,237,-24,11.27%,"44,900",7.1,,
2007-01-15,EQTY,Equity Bank,19.55,36.5,190,202,198,213,-15,7.58%,"108,900",6.6,,
2007-01-16,EQTY,Equity Bank,19.55,36.5,178,190,188,198,-10,5.32%,"47,700",6.27,,
2007-01-17,EQTY,Equity Bank,19.55,36.5,170,200,184,188,-4,2.17%,"133,500",6.13,,
2007-01-18,EQTY,Equity Bank,19.5,36.5,190,206,200,184,16,8.00%,"165,900",6.67,,
2007-01-19,EQTY,Equity Bank,19.55,36.5,206,226,215,200,15,6.98%,"132,700",7.17,,
2007-01-22,EQTY,Equity Bank,19.55,36.5,208,225,214,215,-1,0.47%,"119,600",7.13,,
2007-01-23,EQTY,Equity Bank,19.55,36.5,200,215,211,214,-3,1.42%,"57,500",7.03,,
2007-01-24,EQTY,Equity Bank,19.55,36.5,192,210,205,211,-6,2.93%,"123,500",6.83,,
2007-01-25,EQTY,Equity Bank,19.55,36.5,195,210,207,205,2,0.97%,"116,200",6.9,,
2007-01-26,EQTY,Equity Bank,19.55,36.5,208,220,210,207,3,1.43%,"303,500",7,,
2007-01-29,EQTY,Equity Bank,19.55,36.5,216,233,223,210,13,5.83%,"87,500",7.43,,
2007-01-30,EQTY,Equity Bank,19.55,36.5,215,224,217,223,-6,2.76%,"117,600",7.23,,
2007-01-31,EQTY,Equity Bank,19.55,36.5,205,230,213,217,-4,1.88%,"157,500",7.1,,
2007-02-01,EQTY,Equity Bank,19.5,36.5,200,215,203,213,-10,4.93%,"134,100",6.77,,
2007-02-02,EQTY,Equity Bank,19.5,36.5,190,205,200,203,-3,1.50%,"64,300",6.67,,
2007-02-05,EQTY,Equity Bank,19.55,36.5,195,207,202,200,2,0.99%,"191,200",6.73,,
2007-02-06,EQTY,Equity Bank,19.55,36.5,202,220,215,202,13,6.05%,"155,100",7.17,,
2007-02-07,EQTY,Equity Bank,19.55,36.5,214,225,218,215,3,1.38%,"224,900",7.27,,
2007-02-08,EQTY,Equity Bank,19.55,36.5,220,230,225,218,7,3.11%,"196,500",7.5,,
2007-02-09,EQTY,Equity Bank,19.55,36.5,227,240,231,225,6,2.60%,"102,200",7.7,,
2007-02-12,EQTY,Equity Bank,19.55,36.5,240,254,246,231,15,6.10%,"559,800",8.2,,
2007-02-13,EQTY,Equity Bank,19.55,36.5,225,275,247,246,1,0.40%,"213,500",8.23,,
2007-02-14,EQTY,Equity Bank,19.55,36.5,220,245,229,247,-18,7.86%,"98,400",7.63,,
2007-02-15,EQTY,Equity Bank,19.55,36.5,220,229,224,229,-5,2.23%,"94,500",7.47,,
2007-02-16,EQTY,Equity Bank,19.55,36.5,222,235,226,224,2,0.88%,"88,300",7.53,,
2007-02-19,EQTY,Equity Bank,19.55,36.5,230,238,234,226,8,3.42%,"158,400",7.8,,
2007-02-20,EQTY,Equity Bank,19.55,36.5,225,240,235,234,1,0.43%,"136,700",7.83,,
2007-02-21,EQTY,Equity Bank,19.55,36.5,230,240,235,235,-,-,"142,500",7.83,,
2007-02-22,EQTY,Equity Bank,19.55,36.5,225,236,231,235,-4,1.73%,"152,800",7.7,,
2007-02-23,EQTY,Equity Bank,19.55,36.5,220,230,225,231,-6,2.67%,"68,500",7.5,,
2007-02-26,EQTY,Equity Bank,19.55,36.5,219,230,222,225,-3,1.35%,"65,100",7.4,,
2007-02-27,EQTY,Equity Bank,19.5,36.5,218,220,219,222,-3,1.37%,"69,200",7.3,,
2007-02-28,EQTY,Equity Bank,19.5,36.5,210,220,217,219,-2,0.92%,"154,800",7.23,,
2007-03-01,EQTY,Equity Bank,19.5,36.5,205,220,211,217,-6,2.84%,"40,300",7.03,,
2007-03-02,EQTY,Equity Bank,19.55,36.5,218,225,220,211,9,4.09%,"67,400",7.33,,
2007-03-05,EQTY,Equity Bank,19.5,36.5,220,230,229,220,9,3.93%,"42,900",7.63,,
2007-03-06,EQTY,Equity Bank,19.55,36.5,229,240,231,229,2,0.87%,"47,500",7.7,,
2007-03-07,EQTY,Equity Bank,19.55,36.5,220,240,233,231,2,0.86%,"81,600",7.77,,
2007-03-08,EQTY,Equity Bank,19.55,36.5,230,239,234,233,1,0.43%,"36,000",7.8,,
2007-03-09,EQTY,Equity Bank,19.55,36.5,230,239,233,234,-1,0.43%,"50,700",7.77,,
2007-03-12,EQTY,Equity Bank,19.55,36.5,230,237,235,233,2,0.85%,"33,500",7.83,,
2007-03-13,EQTY,Equity Bank,19.55,36.5,233,239,237,235,2,0.84%,"39,500",7.9,,
2007-03-14,EQTY,Equity Bank,19.55,36.5,238,245,240,237,3,1.25%,"110,700",8,,
2007-03-15,EQTY,Equity Bank,19.5,36.5,235,241,239,240,-1,0.42%,"90,100",7.97,,
2007-03-16,EQTY,Equity Bank,19.55,36.5,233,238,237,239,-2,0.84%,"55,600",7.9,,
