Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,EVRD,Eveready East Africa,1.4,3,17,18.5,17.6,18.05,-0.45,2.56%,"437,200",-,,
2007-01-03,EVRD,Eveready East Africa,1.5,3.7,16,18.9,17.15,17.6,-0.45,2.62%,"495,100",-,,
2007-01-04,EVRD,Eveready East Africa,1.4,3.2,16,18,17.2,17.15,0.05,0.29%,"567,000",-,,
2007-01-05,EVRD,Eveready East Africa,1.5,3.7,15.85,17.3,16.6,17.2,-0.6,3.61%,"404,100",-,,
2007-01-08,EVRD,Eveready East Africa,1.5,3.7,15.7,17,16.55,16.6,-0.05,0.30%,"615,400",-,,
2007-01-09,EVRD,Eveready East Africa,1.5,3.7,15,16.15,15.95,16.55,-0.6,3.76%,"352,000",-,,
2007-01-10,EVRD,Eveready East Africa,1.5,3.7,14.5,16,15.1,15.95,-0.85,5.63%,"765,600",-,,
2007-01-11,EVRD,Eveready East Africa,1.5,3.7,14.25,15.5,14.9,15.1,-0.2,1.34%,"444,900",-,,
2007-01-12,EVRD,Eveready East Africa,1.5,3.7,15,16.3,15.55,14.9,0.65,4.18%,"693,900",-,,
2007-01-15,EVRD,Eveready East Africa,1.5,3.7,15.2,16.5,15.9,15.55,0.35,2.20%,"571,000",-,,
2007-01-16,EVRD,Eveready East Africa,1.5,3.7,15.25,16,15.55,15.9,-0.35,2.25%,"235,800",-,,
2007-01-17,EVRD,Eveready East Africa,1.5,3.7,15.2,16,15.8,15.55,0.25,1.58%,"314,000",-,,
2007-01-18,EVRD,Eveready East Africa,1.4,2.8,15,16,15.6,15.8,-0.2,1.28%,"448,000",-,,
2007-01-19,EVRD,Eveready East Africa,1.5,3.7,15,16.15,15.15,15.6,-0.45,2.97%,"439,900",-,,
2007-01-22,EVRD,Eveready East Africa,1.5,3.7,15,15.5,15.2,15.15,0.05,0.33%,"296,500",-,,
2007-01-23,EVRD,Eveready East Africa,1.5,3.7,14.1,15,14.8,15.2,-0.4,2.70%,"232,300",-,,
2007-01-24,EVRD,Eveready East Africa,1.5,3.7,14,15,14.75,14.8,-0.05,0.34%,"208,900",-,,
2007-01-25,EVRD,Eveready East Africa,1.5,3.7,14.2,15,14.75,14.75,-,-,"318,600",-,,
2007-01-26,EVRD,Eveready East Africa,1.5,3.7,14,15,14.4,14.75,-0.35,2.43%,"171,700",-,,
2007-01-29,EVRD,Eveready East Africa,1.5,3.7,13.5,14.5,14.2,14.4,-0.2,1.41%,"186,600",-,,
2007-01-30,EVRD,Eveready East Africa,1.5,3.7,13.5,14.05,13.9,14.2,-0.3,2.16%,"188,300",-,,
2007-01-31,EVRD,Eveready East Africa,1.5,3.7,13,13.85,13.5,13.9,-0.4,2.96%,"355,500",-,,
2007-02-01,EVRD,Eveready East Africa,1.4,3,12.5,13.85,12.9,13.5,-0.6,4.65%,"412,200",-,,
2007-02-02,EVRD,Eveready East Africa,1.4,2.8,12,13,12.7,12.9,-0.2,1.57%,"218,400",-,,
