Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2015-05-09,FAHR,Stanlib Fahari Income-REIT,5.5,10,10.45,11,10.9,10.45,0.45,4.31%,"34,600",-,,
2015-11-27,FAHR,Stanlib Fahari Income-REIT,5.5,10,23.75,23.75,23.75,277,-253.25,91.43%,200,-,,
2015-11-30,FAHR,Stanlib Fahari Income-REIT,5.5,10,21.5,21.5,21.5,23.75,-2.25,9.47%,100,-,,
2015-12-01,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.35,22,21.5,21.5,-,-,"64,000",-,,
2015-12-02,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21.5,20.75,21.5,-0.75,3.49%,"17,000",-,,
2015-12-03,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,22,20.5,20.75,-0.25,1.20%,"243,000",-,,
2015-12-04,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,22,21.25,20.5,0.75,3.66%,"120,600",-,,
2015-12-07,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,22,21,21.25,-0.25,1.18%,"77,600",-,,
2015-12-08,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21.25,20.75,21,-0.25,1.19%,"28,800",-,,
2015-12-09,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21.5,20.75,20.75,-,-,"102,700",-,,
2015-12-10,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.75,21,20.75,20.75,-,-,"4,000",-,,
2015-12-11,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,20.75,20.5,20.75,-0.25,1.20%,"47,500",-,,
2015-12-14,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.25,20.5,-0.25,1.22%,"40,400",-,,
2015-12-15,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.25,20.25,-,-,"31,000",-,,
2015-12-16,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.25,20.25,-,-,"216,200",-,,
2015-12-17,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.5,20.25,0.25,1.23%,"24,200",-,,
2015-12-18,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21,20.75,20.5,0.25,1.22%,"21,100",-,,
2015-12-21,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21,20.75,20.75,-,-,"11,700",-,,
2015-12-22,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.75,20.75,-,-,"35,200",-,,
2015-12-23,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21,20.75,20.75,-,-,"53,400",-,,
2015-12-24,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.25,22,21,20.75,0.25,1.20%,"63,500",-,,
2015-12-28,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,22.25,21.75,21,0.75,3.57%,"59,500",-,,
2015-12-29,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,22.5,21,21.75,-0.75,3.45%,"11,600",-,,
2015-12-30,FAHR,Stanlib Fahari Income-REIT,5.5,10,21.75,22.5,22.25,21,1.25,5.95%,"30,300",-,,
2015-12-31,FAHR,Stanlib Fahari Income-REIT,5.5,10,22,22.25,22,22.25,-0.25,1.12%,"2,500",-,,
2016-01-04,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,22,21.75,22,-0.25,1.14%,"31,700",-,,
2016-01-05,FAHR,Stanlib Fahari Income-REIT,5.5,10,21.5,22,21.75,21.75,-,-,"50,200",-,,
2016-01-06,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,22,21.25,21.75,-0.5,2.30%,"25,600",-,,
2016-01-07,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,21.25,21,21.25,-0.25,1.18%,"26,100",-,,
2016-01-08,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21,20.75,21,-0.25,1.19%,"53,200",-,,
2016-01-11,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.75,21.25,21,20.75,0.25,1.20%,"28,400",-,,
2016-01-12,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,21.25,21,21,-,-,"22,400",-,,
2016-01-13,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.5,21,20.75,21,-0.25,1.19%,"19,200",-,,
2016-01-14,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.25,21,20.75,20.75,-,-,"40,700",-,,
2016-01-15,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.75,21,20.75,20.75,-,-,"21,200",-,,
2016-01-18,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.75,21,20.75,20.75,-,-,"13,900",-,,
2016-01-19,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.5,20.75,-0.25,1.20%,"40,100",-,,
2016-01-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,21,20.75,20.5,0.25,1.22%,"10,900",-,,
2016-01-21,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,20.75,20,20.75,-0.75,3.61%,"30,300",-,,
2016-01-22,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.75,20.75,20.75,20,0.75,3.75%,"4,100",-,,
2016-01-25,FAHR,Stanlib Fahari Income-REIT,5.5,10,20.25,20.75,20.25,20.75,-0.5,2.41%,"1,400",-,,
2016-01-26,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20.25,-0.25,1.23%,"2,900",-,,
2016-01-27,FAHR,Stanlib Fahari Income-REIT,5.5,10,19,20.25,19.95,20,-0.05,0.25%,"49,900",-,,
2016-01-28,FAHR,Stanlib Fahari Income-REIT,5.5,10,19,20,19.95,19.95,-,-,"145,400",-,,
2016-01-29,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20,20,19.95,0.05,0.25%,"52,300",-,,
2016-02-02,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,20.5,20,20,-,-,"33,400",-,,
2016-02-03,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,20.75,20,20,-,-,"26,900",-,,
2016-02-04,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,21,20.25,20,0.25,1.25%,"21,000",-,,
2016-02-05,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.75,20,20.25,-0.25,1.23%,"6,300",-,,
2016-02-08,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,20,19.75,20,-0.25,1.25%,"6,400",-,,
2016-02-09,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.85,20.5,20,19.75,0.25,1.27%,"29,100",-,,
2016-02-10,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20,-,-,"30,500",-,,
2016-02-11,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.5,20,20,-,-,"15,700",-,,
2016-02-12,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20,-,-,"45,200",-,,
2016-02-15,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20,-,-,"24,900",-,,
2016-02-16,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.5,20,20,-,-,"27,500",-,,
2016-02-17,FAHR,Stanlib Fahari Income-REIT,5.5,10,19.5,20.5,20,20,-,-,"48,900",-,,
2016-02-18,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20,20,20,-,-,"351,700",-,,
2016-02-19,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20,-,-,"18,200",-,,
2016-02-22,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20,20,20,-,-,"91,300",-,,
2016-02-23,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20,-,-,"18,700",-,,
2016-02-24,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.5,20,20,-,-,"26,100",-,,
2016-02-25,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.5,20.25,20,0.25,1.25%,"12,900",-,,
2016-02-26,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20.25,-0.25,1.23%,"29,300",-,,
2016-02-29,FAHR,Stanlib Fahari Income-REIT,5.5,10,20,20.25,20,20,-,-,"6,700",-,,
