Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,FIRE,Sameer Africa,3.4,5.95,22.5,26,24.75,24,0.75,3.03%,"54,800",-,,
2007-01-03,FIRE,Sameer Africa,3.4,5.95,23,27,25,24.75,0.25,1.00%,"52,800",-,,
2007-01-04,FIRE,Sameer Africa,3.4,5.95,25.5,28,27.5,25,2.5,9.09%,"531,200",-,,
2007-01-05,FIRE,Sameer Africa,3.4,5.95,27,30.5,30,27.5,2.5,8.33%,"881,200",-,,
2007-01-08,FIRE,Sameer Africa,3.4,5.95,27.25,32,29.75,30,-0.25,0.84%,"141,600",-,,
2007-01-09,FIRE,Sameer Africa,3.4,5.95,27,30,29.5,29.75,-0.25,0.85%,"1,150,000",-,,
2007-01-10,FIRE,Sameer Africa,3.4,5.95,27,30,29,29.5,-0.5,1.72%,"188,500",-,,
2007-01-11,FIRE,Sameer Africa,3.4,5.95,26,29,27.75,29,-1.25,4.50%,"70,900",-,,
2007-01-12,FIRE,Sameer Africa,3.4,5.95,26.75,28,27.5,27.75,-0.25,0.91%,"642,200",-,,
2007-01-15,FIRE,Sameer Africa,3.4,5.95,26,27,26.5,27.5,-1,3.77%,"150,900",-,,
2007-01-16,FIRE,Sameer Africa,3.4,5.95,24.5,29.25,26.5,26.5,-,-,"84,200",-,,
2007-01-17,FIRE,Sameer Africa,3.4,5.95,24,26,25.5,26.5,-1,3.92%,"72,100",-,,
2007-01-18,FIRE,Sameer Africa,3.4,5.95,24,26,25,25.5,-0.5,2.00%,"85,300",-,,
2007-01-19,FIRE,Sameer Africa,3.4,5.95,23,26,24.75,25,-0.25,1.01%,"188,700",-,,
2007-01-22,FIRE,Sameer Africa,3.4,5.95,23,25.5,24.5,24.75,-0.25,1.02%,"88,900",-,,
2007-01-23,FIRE,Sameer Africa,3.4,5.95,22,25.5,24.5,24.5,-,-,"84,100",-,,
2007-01-24,FIRE,Sameer Africa,3.4,5.95,22,25,23.75,24.5,-0.75,3.16%,"289,900",-,,
2007-01-25,FIRE,Sameer Africa,3.4,5.95,23,25,24.75,23.75,1,4.04%,"132,700",-,,
2007-01-26,FIRE,Sameer Africa,3.4,5.95,23,24.5,24.25,24.75,-0.5,2.06%,"98,600",-,,
2007-01-29,FIRE,Sameer Africa,3.4,5.95,23,24,23.75,24.25,-0.5,2.11%,"56,800",-,,
2007-01-30,FIRE,Sameer Africa,3.4,5.95,22,24,22.75,23.75,-1,4.40%,"49,300",-,,
2007-01-31,FIRE,Sameer Africa,3.4,5.95,22,23,22.5,22.75,-0.25,1.11%,"33,300",-,,
2007-02-01,FIRE,Sameer Africa,3.4,5.95,21,23,22.25,22.5,-0.25,1.12%,"48,500",-,,
2007-02-02,FIRE,Sameer Africa,3.4,5.95,20,22,20.75,22.25,-1.5,7.23%,"59,900",-,,
2007-02-05,FIRE,Sameer Africa,3.4,5.95,19,20,19.65,20.75,-1.1,5.60%,"120,000",-,,
2007-02-06,FIRE,Sameer Africa,3.4,5.95,18,20,19.6,19.65,-0.05,0.26%,"27,500",-,,
2007-02-07,FIRE,Sameer Africa,3.4,5.95,19.5,22,21,19.6,1.4,6.67%,"40,500",-,,
2007-02-08,FIRE,Sameer Africa,3.4,5.95,22,22.5,22,21,1,4.55%,"32,300",-,,
2007-02-09,FIRE,Sameer Africa,3.4,5.95,20.75,24,22.25,22,0.25,1.12%,"121,600",-,,
2007-02-12,FIRE,Sameer Africa,3.4,5.95,20,23.5,22.25,22.25,-,-,"148,900",-,,
2007-02-13,FIRE,Sameer Africa,3.4,5.95,20.25,22.5,20.5,22.25,-1.75,8.54%,"206,200",-,,
2007-02-14,FIRE,Sameer Africa,3.4,5.95,19.1,21,20,20.5,-0.5,2.50%,"141,900",-,,
2007-02-15,FIRE,Sameer Africa,3.4,5.95,18,22,18.15,20,-1.85,10.19%,"404,400",-,,
2007-02-16,FIRE,Sameer Africa,3.4,5.95,16.5,18,17.7,18.15,-0.45,2.54%,"25,000",-,,
2007-02-19,FIRE,Sameer Africa,3.4,5.95,12.5,18,13.95,17.7,-3.75,26.88%,"83,600",-,,
2007-02-20,FIRE,Sameer Africa,3.4,5.95,14.3,14.3,14.3,13.95,0.35,2.45%,"49,600",-,,
2007-02-21,FIRE,Sameer Africa,3.4,5.95,15.7,15.7,15.7,14.3,1.4,8.92%,"25,300",-,,
2007-02-22,FIRE,Sameer Africa,3.4,5.95,14.5,17.25,17.2,15.7,1.5,8.72%,"233,400",-,,
2007-02-23,FIRE,Sameer Africa,3.4,5.95,17.5,18.9,18.05,17.2,0.85,4.71%,"128,800",-,,
2007-02-26,FIRE,Sameer Africa,3.4,5.95,18.5,19,18.6,18.05,0.55,2.96%,"25,600",-,,
2007-02-27,FIRE,Sameer Africa,3.4,5.95,17,19,17.8,18.6,-0.8,4.49%,"68,000",-,,
2007-02-28,FIRE,Sameer Africa,3.4,5.95,15.7,17,16.35,17.8,-1.45,8.87%,"57,300",-,,
2007-03-01,FIRE,Sameer Africa,3.4,5.95,15.45,17,16.35,16.35,-,-,"21,000",-,,
2007-03-02,FIRE,Sameer Africa,3.4,5.95,15.1,17,16.35,16.35,-,-,"25,000",-,,
2007-03-05,FIRE,Sameer Africa,3.4,5.95,15.4,16.9,15.5,16.35,-0.85,5.48%,"13,400",-,,
2007-03-06,FIRE,Sameer Africa,3.4,5.95,15.4,17.1,15.95,15.5,0.45,2.82%,"30,300",-,,
2007-03-07,FIRE,Sameer Africa,3.4,5.95,15,16,15.6,15.95,-0.35,2.24%,"21,800",-,,
2007-03-08,FIRE,Sameer Africa,3.4,5.95,14.5,15.8,15.05,15.6,-0.55,3.65%,"94,700",-,,
2007-03-09,FIRE,Sameer Africa,3.4,5.95,15,15.5,15.05,15.05,-,-,"38,800",-,,
