Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,126.46,126.46,126.46,125.75,0.71,0.56%,-,-,,
2013-01-03,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,126.74,126.74,126.74,126.46,0.28,0.22%,-,-,,
2013-01-04,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,128.57,128.57,128.57,126.74,1.83,1.44%,-,-,,
2013-01-07,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,128.09,128.09,128.09,128.57,-0.48,0.37%,-,-,,
2013-01-08,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,131.86,131.86,131.86,128.09,3.77,2.94%,-,-,,
2013-01-09,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,131.61,131.61,131.61,131.86,-0.25,0.19%,-,-,,
2013-01-10,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,132.91,132.91,132.91,131.61,1.3,0.99%,-,-,,
2013-01-11,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,133.64,133.64,133.64,132.91,0.73,0.55%,-,-,,
2013-01-14,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,135.04,135.04,135.04,133.64,1.4,1.05%,-,-,,
2013-01-15,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.9,137.9,137.9,135.04,2.86,2.12%,-,-,,
2013-01-16,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,139.31,139.31,139.31,137.9,1.41,1.02%,-,-,,
2013-01-17,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,136.78,136.78,136.78,139.31,-2.53,1.82%,-,-,,
2013-01-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,136.28,136.28,136.28,136.78,-0.5,0.37%,-,-,,
2013-01-21,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,136.18,136.18,136.18,136.28,-0.1,0.07%,-,-,,
2013-01-22,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,135.94,135.94,135.94,136.18,-0.24,0.18%,-,-,,
2013-01-23,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,134.84,134.84,134.84,135.94,-1.1,0.81%,-,-,,
2013-01-24,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,134.83,134.83,134.83,134.84,-0.01,0.01%,-,-,,
2013-01-25,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,135.38,135.38,135.38,134.83,0.55,0.41%,-,-,,
2013-01-28,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,134.69,134.69,134.69,135.38,-0.69,0.51%,-,-,,
2013-01-29,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,135.15,135.15,135.15,134.69,0.46,0.34%,-,-,,
2013-01-30,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,135.55,135.55,135.55,135.15,0.4,0.30%,-,-,,
2013-01-31,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,136.44,136.44,136.44,135.55,0.89,0.66%,-,-,,
2013-02-01,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.11,137.11,137.11,136.44,0.67,0.49%,-,-,,
2013-02-04,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.24,137.24,137.24,137.11,0.13,0.09%,-,-,,
2013-02-05,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.64,137.64,137.64,137.24,0.4,0.29%,-,-,,
2013-02-06,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,138.39,138.39,138.39,137.64,0.75,0.54%,-,-,,
2013-02-07,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,139.71,139.71,139.71,138.39,1.32,0.95%,-,-,,
2013-02-08,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,141.3,141.3,141.3,139.71,1.59,1.14%,-,-,,
2013-02-11,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,142.84,142.84,142.84,141.3,1.54,1.09%,-,-,,
2013-02-12,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,144.66,144.66,144.66,142.84,1.82,1.27%,-,-,,
2013-02-13,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,143.04,143.04,143.04,144.66,-1.62,1.12%,-,-,,
2013-02-14,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,141.53,141.53,141.53,143.04,-1.51,1.06%,-,-,,
2013-02-15,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,141.36,141.36,141.36,141.53,-0.17,0.12%,-,-,,
2013-02-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.77,137.77,137.77,141.36,-3.59,2.54%,-,-,,
2013-02-19,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,138.59,138.59,138.59,137.77,0.82,0.60%,-,-,,
2013-02-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.16,137.16,137.16,138.59,-1.43,1.03%,-,-,,
2013-02-21,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.09,137.09,137.09,137.16,-0.07,0.05%,-,-,,
2013-02-22,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,136.96,136.96,136.96,137.09,-0.13,0.09%,-,-,,
2013-02-25,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,137.5,137.5,137.5,136.96,0.54,0.39%,-,-,,
2013-02-26,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,138.77,138.77,138.77,137.5,1.27,0.92%,-,-,,
2013-02-27,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,140.27,140.27,140.27,138.77,1.5,1.08%,-,-,,
2013-02-28,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,141.12,141.12,141.12,140.27,0.85,0.61%,-,-,,
2013-03-01,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,141.01,141.01,141.01,141.12,-0.11,0.08%,-,-,,
2013-03-05,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,142.22,142.22,142.22,141.01,1.21,0.86%,-,-,,
2013-03-06,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,143.46,143.46,143.46,142.22,1.24,0.87%,-,-,,
2013-03-07,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,145.35,145.35,145.35,143.46,1.89,1.32%,-,-,,
2013-03-08,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,146.57,146.57,146.57,145.35,1.22,0.84%,-,-,,
2013-03-11,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,153.5,153.5,153.5,146.57,6.93,4.73%,-,-,,
2013-03-12,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.85,157.85,157.85,153.5,4.35,2.83%,-,-,,
2013-03-13,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,155.05,155.05,155.05,157.85,-2.8,1.77%,-,-,,
2013-03-14,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,150.18,150.18,150.18,155.05,-4.87,3.14%,-,-,,
2013-03-15,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,145.64,145.64,145.64,150.18,-4.54,3.02%,-,-,,
2013-03-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,146.19,146.19,146.19,145.64,0.55,0.38%,-,-,,
2013-03-19,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,147.46,147.46,147.46,146.19,1.27,0.87%,-,-,,
2013-03-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,148.09,148.09,148.09,147.46,0.63,0.43%,-,-,,
2013-03-21,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,147.06,147.06,147.06,148.09,-1.03,0.70%,-,-,,
2013-03-22,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,147.13,147.13,147.13,147.06,0.07,0.05%,-,-,,
2013-03-25,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,148.17,148.17,148.17,147.13,1.04,0.71%,-,-,,
2013-03-26,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,150.36,150.36,150.36,148.17,2.19,1.48%,-,-,,
2013-03-27,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,153.78,153.78,153.78,150.36,3.42,2.27%,-,-,,
2013-03-28,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.43,154.43,154.43,153.78,0.65,0.42%,-,-,,
2013-04-02,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,159.25,159.25,159.25,154.43,4.82,3.12%,-,-,,
2013-04-03,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,158.85,158.85,158.85,159.25,-0.4,0.25%,-,-,,
2013-04-04,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.1,157.1,157.1,158.85,-1.75,1.10%,-,-,,
2013-04-05,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.22,157.22,157.22,157.1,0.12,0.08%,-,-,,
2013-04-08,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,156.58,156.58,156.58,157.22,-0.64,0.41%,-,-,,
2013-04-10,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,158.37,158.37,158.37,156.58,1.79,1.14%,-,-,,
2013-04-11,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,158.8,158.8,158.8,158.37,0.43,0.27%,-,-,,
2013-04-12,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,158.26,158.26,158.26,158.8,-0.54,0.34%,-,-,,
2013-04-15,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.94,157.94,157.94,158.26,-0.32,0.20%,-,-,,
2013-04-16,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.1,157.1,157.1,157.94,-0.84,0.53%,-,-,,
2013-04-17,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,156.48,156.48,156.48,157.1,-0.62,0.39%,-,-,,
2013-04-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,156.28,156.28,156.28,156.48,-0.2,0.13%,-,-,,
2013-04-19,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,155.47,155.47,155.47,156.28,-0.81,0.52%,-,-,,
2013-04-22,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.69,154.69,154.69,155.47,-0.78,0.50%,-,-,,
2013-04-23,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.05,154.05,154.05,154.69,-0.64,0.41%,-,-,,
2013-04-24,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.74,154.74,154.74,154.05,0.69,0.45%,-,-,,
2013-04-25,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.24,154.24,154.24,154.74,-0.5,0.32%,-,-,,
2013-04-26,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.05,154.05,154.05,154.24,-0.19,0.12%,-,-,,
2013-04-29,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,154.13,154.13,154.13,154.05,0.08,0.05%,-,-,,
2013-04-30,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,155.27,155.27,155.27,154.13,1.14,0.74%,-,-,,
2013-05-02,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.3,157.3,157.3,155.27,2.03,1.31%,-,-,,
2013-05-03,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.65,157.65,157.65,157.3,0.35,0.22%,-,-,,
2013-05-06,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,158.91,158.91,158.91,157.65,1.26,0.80%,-,-,,
2013-05-07,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,160.04,160.04,160.04,158.91,1.13,0.71%,-,-,,
2013-05-08,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,161.65,161.65,161.65,160.04,1.61,1.01%,-,-,,
2013-05-09,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,162.64,162.64,162.64,161.65,0.99,0.61%,-,-,,
2013-05-10,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,161.57,161.57,161.57,162.64,-1.07,0.66%,-,-,,
2013-05-13,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,161.45,161.45,161.45,161.57,-0.12,0.07%,-,-,,
2013-05-14,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,161.08,161.08,161.08,161.45,-0.37,0.23%,-,-,,
2013-05-15,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,164.36,164.36,164.36,161.08,3.28,2.04%,-,-,,
2013-05-16,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,167.08,167.08,167.08,164.36,2.72,1.65%,-,-,,
2013-05-17,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,167.91,167.91,167.91,167.08,0.83,0.50%,-,-,,
2013-05-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,168.34,168.34,168.34,167.91,0.43,0.26%,-,-,,
2013-05-21,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,169.81,169.81,169.81,168.34,1.47,0.87%,-,-,,
2013-05-22,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,171.59,171.59,171.59,169.81,1.78,1.05%,-,-,,
2013-05-23,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,169.9,169.9,169.9,171.59,-1.69,0.98%,-,-,,
2013-05-24,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,168.07,168.07,168.07,169.9,-1.83,1.08%,-,-,,
2013-05-27,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,167.21,167.21,167.21,168.07,-0.86,0.51%,-,-,,
2013-05-28,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,168.32,168.32,168.32,167.21,1.11,0.66%,-,-,,
2013-05-29,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,167.17,167.17,167.17,168.32,-1.15,0.68%,-,-,,
2013-05-30,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,167.48,167.48,167.48,167.17,0.31,0.19%,-,-,,
2013-05-31,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,166.87,166.87,166.87,167.48,-0.61,0.36%,-,-,,
2013-06-03,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,166.83,166.83,166.83,166.87,-0.04,0.02%,-,-,,
2013-06-04,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,167.02,167.02,167.02,166.83,0.19,0.11%,-,-,,
2013-06-05,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,166.74,166.74,166.74,167.02,-0.28,0.17%,-,-,,
2013-06-06,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,166.42,166.42,166.42,166.74,-0.32,0.19%,-,-,,
2013-06-07,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,165.66,165.66,165.66,166.42,-0.76,0.46%,-,-,,
2013-06-10,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,164.91,164.91,164.91,165.66,-0.75,0.45%,-,-,,
2013-06-11,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,163.63,163.63,163.63,164.91,-1.28,0.78%,-,-,,
2013-06-12,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,162.13,162.13,162.13,163.63,-1.5,0.92%,-,-,,
2013-06-13,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,160.28,160.28,160.28,162.13,-1.85,1.14%,-,-,,
2013-06-14,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,156.62,156.62,156.62,160.28,-3.66,2.28%,-,-,,
2013-06-17,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,153.67,153.67,153.67,156.62,-2.95,1.88%,-,-,,
