Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2014-11-06,FTGH,Flame Tree Group Holdings Ltd,0.76,3,13,14,13.85,60,-46.15,76.92%,"497,500",12.59,,
2014-11-07,FTGH,Flame Tree Group Holdings Ltd,0.76,3,12.5,13.5,13.1,13.85,-0.75,5.42%,"200,700",11.91,,
2014-11-10,FTGH,Flame Tree Group Holdings Ltd,0.76,3,11.8,12.75,11.9,13.1,-1.2,9.16%,"184,600",10.82,,
2014-11-11,FTGH,Flame Tree Group Holdings Ltd,0.76,3,10.75,10.75,10.75,11.9,-1.15,9.66%,"66,500",9.77,,
2014-11-12,FTGH,Flame Tree Group Holdings Ltd,0.76,3,9.7,9.7,9.7,10.75,-1.05,9.77%,"23,500",8.82,,
2014-11-13,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.75,9.3,8.75,9.7,-0.95,9.79%,"216,500",7.95,,
2014-11-14,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.95,8.85,8.75,0.1,1.14%,"2,666,500",8.05,,
2014-11-17,FTGH,Flame Tree Group Holdings Ltd,0.76,3,9,9.3,9,8.85,0.15,1.69%,"44,400",8.18,,
2014-11-18,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.95,9,8.95,9,-0.05,0.56%,"189,700",8.14,,
2014-11-19,FTGH,Flame Tree Group Holdings Ltd,0.76,3,9,9,9,8.95,0.05,0.56%,"39,800",8.18,,
2014-11-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.5,8.95,8.65,9,-0.35,3.89%,"34,300",7.86,,
2014-11-21,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.8,8.8,8.8,8.65,0.15,1.73%,"1,700",8,,
2014-11-24,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.5,8.8,8.6,8.8,-0.2,2.27%,"9,900",7.82,,
2014-11-25,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.1,8.9,8.45,8.6,-0.15,1.74%,"5,800",7.68,,
2014-11-26,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.75,8.8,8.75,8.45,0.3,3.55%,"9,900",7.95,,
2014-11-27,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.7,8.8,8.7,8.75,-0.05,0.57%,"14,100",7.91,,
2014-11-28,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.1,8.9,8.45,8.7,-0.25,2.87%,"9,600",7.68,,
2014-12-01,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.15,8.9,8.3,8.45,-0.15,1.78%,"17,100",7.55,,
2014-12-02,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.8,8.2,8.3,-0.1,1.20%,"67,100",7.45,,
2014-12-03,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.5,8.7,8.6,8.2,0.4,4.88%,300,7.82,,
2014-12-04,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.4,8.7,8.45,8.6,-0.15,1.74%,"2,100",7.68,,
2014-12-05,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.3,8.5,8.45,8.45,-,-,"7,400",7.68,,
2014-12-08,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.3,8.15,8.45,-0.3,3.55%,"22,300",7.41,,
2014-12-09,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.3,8.4,8.3,8.15,0.15,1.84%,"8,600",7.55,,
2014-12-10,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.4,8.1,8.3,-0.2,2.41%,"9,000",7.36,,
2014-12-11,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.1,8.2,8.15,8.1,0.05,0.62%,"34,700",7.41,,
2014-12-15,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.1,8.05,8.15,-0.1,1.23%,"45,700",7.32,,
2014-12-16,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.1,8,8.05,-0.05,0.62%,"26,500",7.27,,
2014-12-17,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.1,8,8,-,-,"136,600",7.27,,
2014-12-18,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.2,8,8,-,-,"7,500",7.27,,
2014-12-19,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8,8,8,-,-,500,7.27,,
2014-12-22,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.1,8,8,-,-,"3,032,300",7.27,,
2014-12-23,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8,8,8,-,-,"69,300",7.27,,
2014-12-24,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8,8.4,8,8,-,-,"432,600",7.27,,
2014-12-29,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.05,8.8,8.1,8,0.1,1.25%,"41,200",7.36,,
2014-12-30,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.2,8.8,8.25,8.1,0.15,1.85%,"10,300",7.5,,
2014-12-31,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.2,8.45,8.2,8.25,-0.05,0.61%,"3,700",7.45,,
2015-01-02,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.25,8.25,8.25,8.2,0.05,0.61%,300,7.5,,
2015-01-05,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.4,8.9,8.6,8.25,0.35,4.24%,"73,100",7.82,,
2015-01-06,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.2,8.95,8.35,8.6,-0.25,2.91%,"87,100",7.59,,
2015-01-07,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.6,8.6,8.6,8.35,0.25,2.99%,100,7.82,,
2015-01-08,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.4,8.6,8.45,8.6,-0.15,1.74%,"5,700",7.68,,
2015-01-09,FTGH,Flame Tree Group Holdings Ltd,0.76,3,8.5,8.5,8.5,8.45,0.05,0.59%,800,7.73,,
