Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2015-05-09,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-03-27,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,250.00","1,250.00","1,250.00",-,"1,250.00",-,900,-,,
2017-03-28,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,250.00","1,250.00","1,250.00","1,250.00",-,-,200,-,,
2017-03-29,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,250.00","1,250.00","1,250.00","1,250.00",-,-,-,-,,
2017-03-30,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,250.00","1,250.00","1,250.00","1,250.00",-,-,-,-,,
2017-03-31,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,250.00","1,250.00","1,250.00","1,250.00",-,-,-,-,,
2017-04-03,GLD,ABSA NewGold ETF,"1,235.00","1,795.00","1,235.00","1,235.00","1,235.00","1,250.00",-15,1.20%,200,-,,
2017-04-04,GLD,ABSA NewGold ETF,"1,235.00","1,795.00","1,253.00","1,253.00","1,253.00","1,235.00",18,1.46%,100,-,,
2017-04-05,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-06,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-07,GLD,ABSA NewGold ETF,"1,235.00","1,805.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-10,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-11,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,100,-,,
2017-04-12,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-13,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-18,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-19,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-20,GLD,ABSA NewGold ETF,"1,235.00","1,800.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-21,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-24,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-25,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-26,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-27,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-04-28,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-05-02,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,253.00","1,253.00","1,253.00","1,253.00",-,-,-,-,,
2017-05-03,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,253.00",-7,0.56%,100,-,,
2017-05-05,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-08,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-10,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-11,GLD,ABSA NewGold ETF,"1,235.00","1,805.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-12,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-15,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-16,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-17,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-18,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-19,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-22,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-23,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-24,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-25,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-26,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-29,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-30,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-05-31,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-02,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-05,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-06,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-07,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-08,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-09,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-12,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-13,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-14,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-15,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-16,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-19,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
2017-06-21,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,246.00","1,246.00","1,246.00","1,246.00",-,-,-,-,,
