Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-07-15,HAFR,Home Afrika Ltd,0.3,0.69,25,25,25,97.75,-72.75,74.42%,"21,400",-,,
2013-07-16,HAFR,Home Afrika Ltd,0.3,0.69,25,25,25,25,-,-,700,-,,
2013-07-17,HAFR,Home Afrika Ltd,0.3,0.69,22.5,25,22.5,25,-2.5,10.00%,"29,400",-,,
2013-07-18,HAFR,Home Afrika Ltd,0.3,0.69,22.5,23,22.75,22.5,0.25,1.11%,"46,100",-,,
2013-07-19,HAFR,Home Afrika Ltd,0.3,0.69,22.5,23,22.5,22.75,-0.25,1.10%,"24,700",-,,
2013-07-22,HAFR,Home Afrika Ltd,0.3,0.69,20.5,22.5,22.25,22.5,-0.25,1.11%,"12,200",-,,
2013-07-23,HAFR,Home Afrika Ltd,0.3,0.69,20.5,22,20.75,22.25,-1.5,6.74%,"29,500",-,,
2013-07-24,HAFR,Home Afrika Ltd,0.3,0.69,18.7,20.5,19,20.75,-1.75,8.43%,"15,200",-,,
2013-07-25,HAFR,Home Afrika Ltd,0.3,0.69,18.75,20,18.75,19,-0.25,1.32%,"40,800",-,,
2013-07-26,HAFR,Home Afrika Ltd,0.3,0.69,19.75,20,19.95,18.75,1.2,6.40%,"14,600",-,,
2013-07-29,HAFR,Home Afrika Ltd,0.3,0.69,20,20.5,20,19.95,0.05,0.25%,"29,800",-,,
2013-07-30,HAFR,Home Afrika Ltd,0.3,0.69,19.75,20,19.9,20,-0.1,0.50%,"21,800",-,,
2013-07-31,HAFR,Home Afrika Ltd,0.3,0.69,18,19.95,19,19.9,-0.9,4.52%,"26,800",-,,
2013-08-01,HAFR,Home Afrika Ltd,0.3,0.69,18,19.95,19.6,19,0.6,3.16%,"2,400",-,,
2013-08-02,HAFR,Home Afrika Ltd,0.3,0.69,19.6,19.95,19.65,19.6,0.05,0.26%,"1,700",-,,
2013-08-05,HAFR,Home Afrika Ltd,0.3,0.69,19,19.85,19.2,19.65,-0.45,2.29%,"3,200",-,,
2013-08-06,HAFR,Home Afrika Ltd,0.3,0.69,18.5,19.9,19,19.2,-0.2,1.04%,"4,500",-,,
2013-08-07,HAFR,Home Afrika Ltd,0.3,0.69,17.1,19.8,17.55,19,-1.45,7.63%,"39,100",-,,
2013-08-08,HAFR,Home Afrika Ltd,0.3,0.69,15.8,17.5,16.05,17.55,-1.5,8.55%,"36,500",-,,
2013-08-12,HAFR,Home Afrika Ltd,0.3,0.69,17.25,17.25,17.25,16.05,1.2,7.48%,"1,100",-,,
2013-08-13,HAFR,Home Afrika Ltd,0.3,0.69,17,17,17,17.25,-0.25,1.45%,"12,600",-,,
2013-08-14,HAFR,Home Afrika Ltd,0.3,0.69,17,17,17,17,-,-,"20,700",-,,
2013-08-15,HAFR,Home Afrika Ltd,0.3,0.69,15.3,17.5,16.4,17,-0.6,3.53%,"65,900",-,,
2013-08-16,HAFR,Home Afrika Ltd,0.3,0.69,14.95,16.9,15.15,16.4,-1.25,7.62%,"18,900",-,,
2013-08-19,HAFR,Home Afrika Ltd,0.3,0.69,14.8,15.1,14.8,15.15,-0.35,2.31%,"2,400",-,,
2013-08-20,HAFR,Home Afrika Ltd,0.3,0.69,14.8,16.25,15.5,14.8,0.7,4.73%,"23,700",-,,
2013-08-21,HAFR,Home Afrika Ltd,0.3,0.69,14,15.85,14.75,15.5,-0.75,4.84%,"83,800",-,,
2013-08-22,HAFR,Home Afrika Ltd,0.3,0.69,13.3,14.75,13.35,14.75,-1.4,9.49%,"110,600",-,,
2013-08-23,HAFR,Home Afrika Ltd,0.3,0.69,13,13.5,13.25,13.35,-0.1,0.75%,"41,000",-,,
2013-08-26,HAFR,Home Afrika Ltd,0.3,0.69,13,13.5,13.25,13.25,-,-,"3,400",-,,
2013-08-27,HAFR,Home Afrika Ltd,0.3,0.69,12,13.25,12.4,13.25,-0.85,6.42%,"14,800",-,,
2013-08-28,HAFR,Home Afrika Ltd,0.3,0.69,12,12.95,12.15,12.4,-0.25,2.02%,"25,500",-,,
2013-08-29,HAFR,Home Afrika Ltd,0.3,0.69,12,12.25,12,12.15,-0.15,1.23%,"28,600",-,,
2013-08-30,HAFR,Home Afrika Ltd,0.3,0.69,12,12.5,12.3,12,0.3,2.50%,"73,500",-,,
2013-09-02,HAFR,Home Afrika Ltd,0.3,0.69,11.2,12.6,11.2,12.3,-1.1,8.94%,"2,535,500",-,,
2013-09-03,HAFR,Home Afrika Ltd,0.3,0.69,11,11.5,11.1,11.2,-0.1,0.89%,"22,100",-,,
2013-09-04,HAFR,Home Afrika Ltd,0.3,0.69,11,11.5,11,11.1,-0.1,0.90%,"24,500",-,,
2013-09-05,HAFR,Home Afrika Ltd,0.3,0.69,9.9,10.5,10.05,11,-0.95,8.64%,"58,100",-,,
2013-09-06,HAFR,Home Afrika Ltd,0.3,0.69,9.95,11,10.25,10.05,0.2,1.99%,"33,900",-,,
2013-09-09,HAFR,Home Afrika Ltd,0.3,0.69,9.95,11,10,10.25,-0.25,2.44%,"101,600",-,,
2013-09-10,HAFR,Home Afrika Ltd,0.3,0.69,10,10.3,10,10,-,-,"121,000",-,,
2013-09-11,HAFR,Home Afrika Ltd,0.3,0.69,9.05,10,9.1,10,-0.9,9.00%,"191,400",-,,
2013-09-12,HAFR,Home Afrika Ltd,0.3,0.69,9,10,9.2,9.1,0.1,1.10%,"37,500",-,,
2013-09-13,HAFR,Home Afrika Ltd,0.3,0.69,8.3,9.5,8.6,9.2,-0.6,6.52%,"194,300",-,,
2013-09-16,HAFR,Home Afrika Ltd,0.3,0.69,8,9,8.75,8.6,0.15,1.74%,"60,900",-,,
2013-09-17,HAFR,Home Afrika Ltd,0.3,0.69,7.9,8.8,8,8.75,-0.75,8.57%,"228,900",-,,
2013-09-18,HAFR,Home Afrika Ltd,0.3,0.69,8,8,8,8,-,-,"9,700",-,,
2013-09-19,HAFR,Home Afrika Ltd,0.3,0.69,7.2,8,7.25,8,-0.75,9.38%,"169,400",-,,
2013-09-20,HAFR,Home Afrika Ltd,0.3,0.69,7,7.6,7.45,7.25,0.2,2.76%,"64,100",-,,
2013-09-23,HAFR,Home Afrika Ltd,0.3,0.69,6.75,7.9,6.95,7.45,-0.5,6.71%,"363,100",-,,
2013-09-24,HAFR,Home Afrika Ltd,0.3,0.69,6.3,7,6.65,6.95,-0.3,4.32%,"173,200",-,,
2013-09-25,HAFR,Home Afrika Ltd,0.3,0.69,6,7,6.3,6.65,-0.35,5.26%,"294,500",-,,
2013-09-26,HAFR,Home Afrika Ltd,0.3,0.69,6,6.45,6.05,6.3,-0.25,3.97%,"98,300",-,,
2013-09-27,HAFR,Home Afrika Ltd,0.3,0.69,6,6.5,6.15,6.05,0.1,1.65%,"486,700",-,,
2013-09-30,HAFR,Home Afrika Ltd,0.3,0.69,6,6.3,6,6.15,-0.15,2.44%,"208,100",-,,
2013-10-02,HAFR,Home Afrika Ltd,0.3,0.69,6,6,6,6,-,-,"315,000",-,,
2013-10-03,HAFR,Home Afrika Ltd,0.3,0.69,6,6.05,6,6,-,-,"374,100",-,,
2013-10-04,HAFR,Home Afrika Ltd,0.3,0.69,6,6.6,6.05,6,0.05,0.83%,"2,352,100",-,,
2013-10-07,HAFR,Home Afrika Ltd,0.3,0.69,6.15,6.65,6.25,6.05,0.2,3.31%,"1,274,600",-,,
2013-10-08,HAFR,Home Afrika Ltd,0.3,0.69,6.85,6.85,6.85,6.25,0.6,9.60%,"287,000",-,,
2013-10-09,HAFR,Home Afrika Ltd,0.3,0.69,7.5,7.5,7.5,6.85,0.65,9.49%,"3,052,200",-,,
2013-10-10,HAFR,Home Afrika Ltd,0.3,0.69,8.25,8.25,8.25,7.5,0.75,10.00%,"2,841,000",-,,
2013-10-11,HAFR,Home Afrika Ltd,0.3,0.69,8.25,9.05,8.65,8.25,0.4,4.85%,"2,507,900",-,,
2013-10-14,HAFR,Home Afrika Ltd,0.3,0.69,8.25,8.95,8.5,8.65,-0.15,1.73%,"1,573,500",-,,
2013-10-15,HAFR,Home Afrika Ltd,0.3,0.69,7.9,8.5,7.95,8.5,-0.55,6.47%,"575,600",-,,
2013-10-16,HAFR,Home Afrika Ltd,0.3,0.69,7.8,8,7.8,7.95,-0.15,1.89%,"186,600",-,,
2013-10-17,HAFR,Home Afrika Ltd,0.3,0.69,7.8,8,7.9,7.8,0.1,1.28%,"632,500",-,,
2013-10-18,HAFR,Home Afrika Ltd,0.3,0.69,7.8,8,7.9,7.9,-,-,"859,200",-,,
2013-10-22,HAFR,Home Afrika Ltd,0.3,0.69,7.8,8,7.9,7.9,-,-,"238,200",-,,
2013-10-23,HAFR,Home Afrika Ltd,0.3,0.69,7.8,8,7.95,7.9,0.05,0.63%,"840,000",-,,
2013-10-24,HAFR,Home Afrika Ltd,0.3,0.69,7.75,8,7.85,7.95,-0.1,1.26%,"408,300",-,,
2013-10-25,HAFR,Home Afrika Ltd,0.3,0.69,7.9,8,7.9,7.85,0.05,0.64%,"119,500",-,,
2013-10-28,HAFR,Home Afrika Ltd,0.3,0.69,7.75,8,7.85,7.9,-0.05,0.63%,"406,900",-,,
2013-10-30,HAFR,Home Afrika Ltd,0.3,0.69,7.75,7.9,7.8,7.85,-0.05,0.64%,"165,200",-,,
2013-10-31,HAFR,Home Afrika Ltd,0.3,0.69,7.05,7.8,7.3,7.8,-0.5,6.41%,"190,100",-,,
2013-11-01,HAFR,Home Afrika Ltd,0.3,0.69,7.3,7.55,7.4,7.3,0.1,1.37%,"130,600",-,,
2013-11-04,HAFR,Home Afrika Ltd,0.3,0.69,7.15,7.7,7.25,7.4,-0.15,2.03%,"106,800",-,,
2013-11-05,HAFR,Home Afrika Ltd,0.3,0.69,7,7.5,7.4,7.25,0.15,2.07%,"118,200",-,,
2013-11-06,HAFR,Home Afrika Ltd,0.3,0.69,7,7.5,7.1,7.4,-0.3,4.05%,"195,900",-,,
2013-11-07,HAFR,Home Afrika Ltd,0.3,0.69,7.3,7.5,7.3,7.1,0.2,2.82%,"40,800",-,,
2013-11-08,HAFR,Home Afrika Ltd,0.3,0.69,7,7.3,7.1,7.3,-0.2,2.74%,"520,800",-,,
2013-11-11,HAFR,Home Afrika Ltd,0.3,0.69,7,7.2,7,7.1,-0.1,1.41%,"347,400",-,,
2013-11-12,HAFR,Home Afrika Ltd,0.3,0.69,6.9,7.4,7.05,7,0.05,0.71%,"404,400",-,,
2013-11-13,HAFR,Home Afrika Ltd,0.3,0.69,6.85,6.95,6.85,7.05,-0.2,2.84%,"236,700",-,,
2013-11-14,HAFR,Home Afrika Ltd,0.3,0.69,6.8,6.95,6.9,6.85,0.05,0.73%,"266,000",-,,
2013-11-15,HAFR,Home Afrika Ltd,0.3,0.69,6.8,6.9,6.85,6.9,-0.05,0.72%,"371,100",-,,
2013-11-18,HAFR,Home Afrika Ltd,0.3,0.69,6.85,6.95,6.85,6.85,-,-,"205,900",-,,
2013-11-19,HAFR,Home Afrika Ltd,0.3,0.69,6.8,6.9,6.8,6.85,-0.05,0.73%,"53,100",-,,
2013-11-20,HAFR,Home Afrika Ltd,0.3,0.69,6.5,6.9,6.6,6.8,-0.2,2.94%,"161,500",-,,
2013-11-21,HAFR,Home Afrika Ltd,0.3,0.69,6.5,6.85,6.6,6.6,-,-,"521,600",-,,
2013-11-22,HAFR,Home Afrika Ltd,0.3,0.69,6.5,6.9,6.55,6.6,-0.05,0.76%,"248,000",-,,
2013-11-25,HAFR,Home Afrika Ltd,0.3,0.69,6.5,6.9,6.65,6.55,0.1,1.53%,"157,500",-,,
2013-11-26,HAFR,Home Afrika Ltd,0.3,0.69,6.5,6.85,6.55,6.65,-0.1,1.50%,"293,800",-,,
2013-11-27,HAFR,Home Afrika Ltd,0.3,0.69,6.5,6.8,6.55,6.55,-,-,"376,800",-,,
2013-11-28,HAFR,Home Afrika Ltd,0.3,0.69,6.4,6.95,6.55,6.55,-,-,"166,200",-,,
2013-11-29,HAFR,Home Afrika Ltd,0.3,0.69,6.55,6.65,6.55,6.55,-,-,"89,800",-,,
