Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,HFCK,Housing Finance,13,26.5,47,50,48.75,48,0.75,1.54%,"86,500",-,,
2007-01-03,HFCK,Housing Finance,13,26.5,43,48,45.5,48.75,-3.25,7.14%,"106,600",-,,
2007-01-04,HFCK,Housing Finance,13,26.5,43,50,46,45.5,0.5,1.09%,"101,000",-,,
2007-01-05,HFCK,Housing Finance,13,26.5,43,47,44,46,-2,4.55%,"174,400",-,,
2007-01-08,HFCK,Housing Finance,13,26.5,43,46,44,44,-,-,"270,000",-,,
2007-01-09,HFCK,Housing Finance,13,26.5,42.75,46,44,44,-,-,"144,700",-,,
2007-01-10,HFCK,Housing Finance,13,26.5,44,46,44.75,44,0.75,1.68%,"151,400",-,,
2007-01-11,HFCK,Housing Finance,13,26.5,43.75,45,44.75,44.75,-,-,"154,000",-,,
2007-01-12,HFCK,Housing Finance,13,26.5,40.25,45,43.5,44.75,-1.25,2.87%,"152,300",-,,
2007-01-15,HFCK,Housing Finance,13,26.5,43.5,45,44.5,43.5,1,2.25%,"136,300",-,,
2007-01-16,HFCK,Housing Finance,13,26.5,40.5,45,43.25,44.5,-1.25,2.89%,"271,900",-,,
2007-01-17,HFCK,Housing Finance,13,26.5,38.75,44,41.75,43.25,-1.5,3.59%,"181,200",-,,
2007-01-18,HFCK,Housing Finance,13,26.5,40,45.25,42.5,41.75,0.75,1.76%,"89,900",-,,
2007-01-19,HFCK,Housing Finance,13,26.5,40,44.5,41.5,42.5,-1,2.41%,"107,500",-,,
2007-01-22,HFCK,Housing Finance,13,26.5,39,44,41.5,41.5,-,-,"89,100",-,,
2007-01-23,HFCK,Housing Finance,13,26.5,41.25,44,42.25,41.5,0.75,1.78%,"69,200",-,,
2007-01-24,HFCK,Housing Finance,13,26.5,40,43,40.5,42.25,-1.75,4.32%,"264,500",-,,
2007-01-25,HFCK,Housing Finance,13,26.5,39,44,40.75,40.5,0.25,0.61%,"117,600",-,,
2007-01-26,HFCK,Housing Finance,13,26.5,38,40.25,39.5,40.75,-1.25,3.16%,"166,700",-,,
2007-01-29,HFCK,Housing Finance,13,26.5,37,40,39.25,39.5,-0.25,0.64%,"149,600",-,,
2007-01-30,HFCK,Housing Finance,13,26.5,35.5,39,37.75,39.25,-1.5,3.97%,"113,100",-,,
2007-01-31,HFCK,Housing Finance,13,26.5,36,41.5,38.75,37.75,1,2.58%,"59,000",-,,
2007-02-01,HFCK,Housing Finance,13,26.5,36,39,38,38.75,-0.75,1.97%,"140,800",-,,
2007-02-02,HFCK,Housing Finance,13,26.5,36.25,40,38.25,38,0.25,0.65%,"47,900",-,,
2007-02-05,HFCK,Housing Finance,13,26.5,36.25,40,38,38.25,-0.25,0.66%,"38,600",-,,
2007-02-06,HFCK,Housing Finance,13,26.5,35,39.25,37.5,38,-0.5,1.33%,"41,800",-,,
2007-02-07,HFCK,Housing Finance,13,26.5,35,38,37.25,37.5,-0.25,0.67%,"81,600",-,,
2007-02-08,HFCK,Housing Finance,13,26.5,36,39,37.25,37.25,-,-,"110,200",-,,
2007-02-09,HFCK,Housing Finance,13,26.5,36,38,37.25,37.25,-,-,"111,000",-,,
2007-02-12,HFCK,Housing Finance,13,26.5,35,38,36.5,37.25,-0.75,2.05%,"61,900",-,,
2007-02-13,HFCK,Housing Finance,13,26.5,35,38,36,36.5,-0.5,1.39%,"60,900",-,,
2007-02-14,HFCK,Housing Finance,13,26.5,35,37,35.75,36,-0.25,0.70%,"44,100",-,,
2007-02-15,HFCK,Housing Finance,13,26.5,33,37,36,35.75,0.25,0.69%,"53,900",-,,
2007-02-16,HFCK,Housing Finance,13,26.5,33,34,33.75,36,-2.25,6.67%,"16,000",-,,
2007-02-19,HFCK,Housing Finance,13,26.5,31,35,33,33.75,-0.75,2.27%,"28,600",-,,
2007-02-20,HFCK,Housing Finance,13,26.5,31,34.5,33,33,-,-,"22,800",-,,
2007-02-21,HFCK,Housing Finance,13,26.5,32,34,33.25,33,0.25,0.75%,"68,100",-,,
2007-02-22,HFCK,Housing Finance,13,26.5,30,35,33.5,33.25,0.25,0.75%,"79,900",-,,
2007-02-23,HFCK,Housing Finance,13,26.5,31.75,33.75,32.5,33.5,-1,3.08%,"30,200",-,,
2007-02-26,HFCK,Housing Finance,13,26.5,31,33,32.5,32.5,-,-,"26,300",-,,
2007-02-27,HFCK,Housing Finance,13,26.5,29.5,33,32,32.5,-0.5,1.56%,"49,600",-,,
2007-02-28,HFCK,Housing Finance,13,26.5,29.5,31,29.75,32,-2.25,7.56%,"62,100",-,,
2007-03-01,HFCK,Housing Finance,13,26.5,27,30,28.25,29.75,-1.5,5.31%,"25,400",-,,
2007-03-02,HFCK,Housing Finance,13,26.5,25,29.5,27,28.25,-1.25,4.63%,"21,500",-,,
2007-03-05,HFCK,Housing Finance,13,26.5,27,30,29,27,2,6.90%,"57,700",-,,
2007-03-06,HFCK,Housing Finance,13,26.5,27,30,28.75,29,-0.25,0.87%,"31,600",-,,
2007-03-07,HFCK,Housing Finance,13,26.5,27,30,29.25,28.75,0.5,1.71%,"19,600",-,,
2007-03-08,HFCK,Housing Finance,13,26.5,27,30,28.25,29.25,-1,3.54%,"61,100",-,,
2007-03-09,HFCK,Housing Finance,13,26.5,27,30,28,28.25,-0.25,0.89%,"53,600",-,,
2007-03-12,HFCK,Housing Finance,13,26.5,27.5,29.5,28,28,-,-,"21,700",-,,
2007-03-13,HFCK,Housing Finance,13,26.5,28,30,29,28,1,3.45%,"28,300",-,,
2007-03-14,HFCK,Housing Finance,13,26.5,27.5,30,28.75,29,-0.25,0.87%,"27,400",-,,
2007-03-15,HFCK,Housing Finance,13,26.5,27,30,28.25,28.75,-0.5,1.77%,"36,300",-,,
2007-03-16,HFCK,Housing Finance,13,26.5,27.5,29,28,28.25,-0.25,0.89%,"137,100",-,,
2007-03-19,HFCK,Housing Finance,13,26.5,27.5,29,28,28,-,-,"29,200",-,,
2007-03-20,HFCK,Housing Finance,13,26.5,26.75,30,28.75,28,0.75,2.61%,"127,900",-,,
2007-03-21,HFCK,Housing Finance,13,26.5,25,28,27.25,28.75,-1.5,5.50%,"55,500",-,,
2007-03-22,HFCK,Housing Finance,13,26.5,24.25,26.75,25.5,27.25,-1.75,6.86%,"31,800",-,,
2007-03-23,HFCK,Housing Finance,13,26.5,23,24,23.75,25.5,-1.75,7.37%,"10,000",-,,
2007-03-26,HFCK,Housing Finance,13,26.5,22,23,22.5,23.75,-1.25,5.56%,"12,600",-,,
2007-03-27,HFCK,Housing Finance,13,26.5,19.8,22,20.25,22.5,-2.25,11.11%,"25,200",-,,
2007-03-28,HFCK,Housing Finance,13,26.5,19.5,20,19.85,20.25,-0.4,2.02%,"13,600",-,,
2007-03-29,HFCK,Housing Finance,13,26.5,21.25,22,21.75,19.85,1.9,8.74%,"24,100",-,,
2007-03-30,HFCK,Housing Finance,13,26.5,24,24,24,21.75,2.25,9.38%,"4,200",-,,
2007-04-02,HFCK,Housing Finance,13,26.5,26.25,26.25,26.25,24,2.25,8.57%,"20,600",-,,
2007-04-03,HFCK,Housing Finance,13,26.5,25,28.75,28.25,26.25,2,7.08%,"50,600",-,,
2007-04-04,HFCK,Housing Finance,13,26.5,25.5,29.75,29,28.25,0.75,2.59%,"60,200",-,,
2007-04-05,HFCK,Housing Finance,13,26.5,25.25,30,29.75,29,0.75,2.52%,"119,900",-,,
2007-04-10,HFCK,Housing Finance,13,26.5,26,29.75,28.5,29.75,-1.25,4.39%,"81,300",-,,
2007-04-11,HFCK,Housing Finance,13,26.5,27,30,28.75,28.5,0.25,0.87%,"64,900",-,,
2007-04-12,HFCK,Housing Finance,13,26.5,26,29,27,28.75,-1.75,6.48%,"98,800",-,,
2007-04-13,HFCK,Housing Finance,13,26.5,26.5,28,27.5,27,0.5,1.82%,"76,700",-,,
2007-04-16,HFCK,Housing Finance,13,26.5,25,28,27.25,27.5,-0.25,0.92%,"40,200",-,,
2007-04-17,HFCK,Housing Finance,13,26.5,24.25,27.5,26.25,27.25,-1,3.81%,"39,900",-,,
2007-04-18,HFCK,Housing Finance,13,26.5,24.5,28.75,25.5,26.25,-0.75,2.94%,"35,400",-,,
2007-04-19,HFCK,Housing Finance,13,26.5,23,26,24.5,25.5,-1,4.08%,"26,100",-,,
2007-04-20,HFCK,Housing Finance,13,26.5,22,25,24,24.5,-0.5,2.08%,"40,100",-,,
2007-04-23,HFCK,Housing Finance,13,26.5,23,25,23.75,24,-0.25,1.05%,"17,600",-,,
2007-04-24,HFCK,Housing Finance,13,26.5,25,26.25,26,23.75,2.25,8.65%,"41,200",-,,
2007-04-25,HFCK,Housing Finance,13,26.5,23.75,27,26.25,26,0.25,0.95%,"111,600",-,,
2007-04-26,HFCK,Housing Finance,13,26.5,24.5,28,27,26.25,0.75,2.78%,"47,400",-,,
