Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,ICDC,Centum Investment,11.05,23.5,325,357,347,323,24,6.92%,"37,200",28.68,,
2007-01-03,ICDC,Centum Investment,11.05,23.5,330,388,370,347,23,6.22%,"56,500",30.58,,
2007-01-04,ICDC,Centum Investment,11.05,23.5,340,370,357,370,-13,3.64%,"244,200",29.5,,
2007-01-05,ICDC,Centum Investment,11.05,23.5,34,39,36.75,357,-320.25,871.43%,"107,000",30.37,,
2007-01-08,ICDC,Centum Investment,11.05,23.5,35,39.5,39,36.75,2.25,5.77%,"213,000",32.23,,
2007-01-09,ICDC,Centum Investment,11.05,23.5,43,43,43,39,4,9.30%,"442,000",35.54,,
2007-01-10,ICDC,Centum Investment,11.05,23.5,41,47.25,44.75,43,1.75,3.91%,"784,700",36.98,,
2007-01-11,ICDC,Centum Investment,11.05,23.5,39.25,46,41.5,44.75,-3.25,7.83%,"805,300",34.3,,
2007-01-12,ICDC,Centum Investment,11.05,23.5,38,45,40.75,41.5,-0.75,1.84%,"897,200",33.68,,
2007-01-15,ICDC,Centum Investment,11.05,23.5,39,42,40.25,40.75,-0.5,1.24%,"311,200",33.26,,
2007-01-16,ICDC,Centum Investment,11.05,23.5,37,41,39.5,40.25,-0.75,1.90%,"246,900",32.64,,
2007-01-17,ICDC,Centum Investment,11.05,23.5,37,41,39.5,39.5,-,-,"174,100",32.64,,
2007-01-18,ICDC,Centum Investment,11.05,23.5,35.5,40,38.5,39.5,-1,2.60%,"224,000",31.82,,
2007-01-19,ICDC,Centum Investment,11.05,23.5,34,39,36.25,38.5,-2.25,6.21%,"246,700",29.96,,
2007-01-22,ICDC,Centum Investment,11.05,23.5,31.5,36,31.75,36.25,-4.5,14.17%,"317,600",26.24,,
2007-01-23,ICDC,Centum Investment,11.05,23.5,28.5,33.75,31,31.75,-0.75,2.42%,"1,370,000",25.62,,
2007-01-24,ICDC,Centum Investment,11.05,23.5,31,36,33.25,31,2.25,6.77%,"1,100,000",27.48,,
2007-01-25,ICDC,Centum Investment,11.05,23.5,30,35,31.5,33.25,-1.75,5.56%,"1,540,000",26.03,,
