Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-06-25,IMH,I & M Holdings Plc,43.1,59.5,93,103,100.75,45,55.75,123.89%,"273,500",50.38,,
2013-06-26,IMH,I & M Holdings Plc,43.1,59.5,99.5,105,100.75,100.75,-,-,"288,200",50.38,,
2013-06-27,IMH,I & M Holdings Plc,43.1,59,100,100,100,100.75,-0.75,0.74%,"75,400",50,,
2013-06-28,IMH,I & M Holdings Plc,43.1,59,95,100,96.25,100,-3.75,3.75%,"69,900",48.13,,
2013-07-01,IMH,I & M Holdings Plc,43.1,59,96,97.5,96.75,96.25,0.5,0.52%,"4,500",48.38,,
2013-07-02,IMH,I & M Holdings Plc,43.1,59,95,96.5,95,96.75,-1.75,1.81%,"35,200",47.5,,
2013-07-03,IMH,I & M Holdings Plc,43.1,59,95,95,95,95,-,-,"130,600",47.5,,
2013-07-04,IMH,I & M Holdings Plc,43.1,59,95,98,97,95,2,2.11%,"37,600",48.5,,
2013-07-05,IMH,I & M Holdings Plc,43.1,59,97,99,97.5,97,0.5,0.52%,"54,800",48.75,,
2013-07-08,IMH,I & M Holdings Plc,43.1,59,98,102,98,97.5,0.5,0.51%,"38,000",49,,
2013-07-09,IMH,I & M Holdings Plc,43.1,59,97,101,98.25,98,0.25,0.26%,"11,300",49.13,,
2013-07-10,IMH,I & M Holdings Plc,43.1,59.5,98,99.5,98,98.25,-0.25,0.25%,"36,700",49,,
2013-07-11,IMH,I & M Holdings Plc,43.1,59,97,99.5,97.75,98,-0.25,0.26%,"30,000",48.88,,
2013-07-12,IMH,I & M Holdings Plc,43.1,59,97,98,97.75,97.75,-,-,"39,000",48.88,,
2013-07-15,IMH,I & M Holdings Plc,43.1,59,96,98,97.25,97.75,-0.5,0.51%,"8,800",48.63,,
2013-07-16,IMH,I & M Holdings Plc,43.1,59,96,97.5,96.75,97.25,-0.5,0.51%,"18,500",48.38,,
2013-07-17,IMH,I & M Holdings Plc,43.1,59,97,97,97,96.75,0.25,0.26%,"5,000",48.5,,
2013-07-18,IMH,I & M Holdings Plc,43.1,59,96.5,100,96.5,97,-0.5,0.52%,"60,300",48.25,,
2013-07-19,IMH,I & M Holdings Plc,43.1,59,96.5,97.5,97,96.5,0.5,0.52%,"8,300",48.5,,
2013-07-22,IMH,I & M Holdings Plc,43.1,59,96.5,97.5,96.75,97,-0.25,0.26%,"10,200",48.38,,
2013-07-23,IMH,I & M Holdings Plc,43.1,59,95,97,95,96.75,-1.75,1.81%,"62,000",47.5,,
2013-07-24,IMH,I & M Holdings Plc,43.1,59,95,96.5,95.75,95,0.75,0.79%,"11,100",47.88,,
2013-07-25,IMH,I & M Holdings Plc,43.1,59,95,96,95,95.75,-0.75,0.78%,"5,400",47.5,,
2013-07-26,IMH,I & M Holdings Plc,43.1,59,95,96,95,95,-,-,"29,900",47.5,,
2013-07-29,IMH,I & M Holdings Plc,43.1,59,95,96,95,95,-,-,"2,400",47.5,,
2013-07-30,IMH,I & M Holdings Plc,43.1,59,95,96,95,95,-,-,"41,900",47.5,,
2013-07-31,IMH,I & M Holdings Plc,43.1,59,95,95,95,95,-,-,"17,400",47.5,,
2013-08-01,IMH,I & M Holdings Plc,43.1,59,93,94,93.25,95,-1.75,1.84%,900,46.63,,
2013-08-02,IMH,I & M Holdings Plc,43.1,59,95,95,95,93.25,1.75,1.88%,"6,900",47.5,,
2013-08-05,IMH,I & M Holdings Plc,43.1,59,93,94,93,95,-2,2.11%,"35,700",46.5,,
2013-08-06,IMH,I & M Holdings Plc,43.1,59,93,93,93,93,-,-,"10,600",46.5,,
2013-08-07,IMH,I & M Holdings Plc,43.1,59,93,93,93,93,-,-,"1,400",46.5,,
2013-08-08,IMH,I & M Holdings Plc,43.1,59,92,92,92,93,-1,1.08%,"45,800",46,,
2013-08-12,IMH,I & M Holdings Plc,43.1,59,91,92,91.5,92,-0.5,0.54%,"1,100",45.75,,
2013-08-13,IMH,I & M Holdings Plc,43.1,59,90,91,90.25,91.5,-1.25,1.37%,"18,900",45.13,,
2013-08-14,IMH,I & M Holdings Plc,43.1,59,90,92,90,90.25,-0.25,0.28%,"8,700",45,,
2013-08-15,IMH,I & M Holdings Plc,43.1,59.5,90,90.5,90.25,90,0.25,0.28%,"22,700",45.13,,
2013-08-16,IMH,I & M Holdings Plc,43.1,59,90,90,90,90.25,-0.25,0.28%,"35,500",45,,
2013-08-19,IMH,I & M Holdings Plc,43.1,59,90,90,90,90,-,-,-,45,,
2013-08-20,IMH,I & M Holdings Plc,43.1,59,88,90,88.75,90,-1.25,1.39%,"85,400",44.38,,
2013-08-21,IMH,I & M Holdings Plc,43.1,59,86,90,88,88.75,-0.75,0.85%,"4,100",44,,
2013-08-22,IMH,I & M Holdings Plc,43.1,59,88,90,89.5,88,1.5,1.70%,"25,100",44.75,,
2013-08-23,IMH,I & M Holdings Plc,43.1,59,88,89,88,89.5,-1.5,1.68%,"7,400",44,,
2013-08-26,IMH,I & M Holdings Plc,43.1,59,88,88,88,88,-,-,"24,500",44,,
2013-08-27,IMH,I & M Holdings Plc,43.1,59,86,89,86,88,-2,2.27%,"134,000",43,,
2013-08-28,IMH,I & M Holdings Plc,43.1,59,85,87,85,86,-1,1.16%,"50,200",42.5,,
2013-08-29,IMH,I & M Holdings Plc,43.1,59,88,89.5,88.75,85,3.75,4.41%,"2,200",44.38,,
2013-08-30,IMH,I & M Holdings Plc,43.1,59,85,90,85,88.75,-3.75,4.23%,"25,500",42.5,,
2013-09-02,IMH,I & M Holdings Plc,43.1,59,85,85,85,85,-,-,"5,000",42.5,,
2013-09-03,IMH,I & M Holdings Plc,43.1,59,85,85,85,85,-,-,"11,100",42.5,,
2013-09-04,IMH,I & M Holdings Plc,43.1,59,85,85,85,85,-,-,100,42.5,,
2013-09-05,IMH,I & M Holdings Plc,43.1,59,85,85.5,85,85,-,-,"127,500",42.5,,
2013-09-06,IMH,I & M Holdings Plc,43.1,59,90,90,90,85,5,5.88%,"3,500",45,,
2013-09-09,IMH,I & M Holdings Plc,43.1,59,90,90,90,90,-,-,"2,000",45,,
2013-09-10,IMH,I & M Holdings Plc,43.1,59,90,93,90,90,-,-,"105,700",45,,
2013-09-11,IMH,I & M Holdings Plc,43.1,59,90,92,90,90,-,-,"348,600",45,,
2013-09-12,IMH,I & M Holdings Plc,43.1,59,90,90.5,90,90,-,-,"23,000",45,,
2013-09-13,IMH,I & M Holdings Plc,43.1,59,90,90,90,90,-,-,-,45,,
2013-09-16,IMH,I & M Holdings Plc,43.1,59,90,90,90,90,-,-,"5,000",45,,
2013-09-17,IMH,I & M Holdings Plc,43.1,59,90,90,90,90,-,-,"500,000",45,,
2013-09-18,IMH,I & M Holdings Plc,43.1,59,90,90,90,90,-,-,-,45,,
2013-09-19,IMH,I & M Holdings Plc,43.1,59,91,92,91.5,90,1.5,1.67%,"14,300",45.75,,
2013-09-20,IMH,I & M Holdings Plc,43.1,59,92,95,92.5,91.5,1,1.09%,"2,400",46.25,,
2013-09-23,IMH,I & M Holdings Plc,43.1,59,92,95,92.25,92.5,-0.25,0.27%,800,46.13,,
2013-09-24,IMH,I & M Holdings Plc,43.1,59,95,95,95,92.25,2.75,2.98%,600,47.5,,
2013-09-25,IMH,I & M Holdings Plc,43.1,59,98,99,98.25,95,3.25,3.42%,"128,600",49.13,,
2013-09-26,IMH,I & M Holdings Plc,43.1,59,100,100,100,98.25,1.75,1.78%,"104,900",50,,
2013-09-27,IMH,I & M Holdings Plc,43.1,59,100,102,102,100,2,2.00%,"220,700",51,,
2013-09-30,IMH,I & M Holdings Plc,43.1,59,101,105,103,102,1,0.98%,"280,100",51.5,,
2013-10-02,IMH,I & M Holdings Plc,43.1,59.5,100,104,100,103,-3,2.91%,"1,234,800",50,,
2013-10-03,IMH,I & M Holdings Plc,43.1,59,100,100,100,100,-,-,"2,900",50,,
2013-10-04,IMH,I & M Holdings Plc,43.1,59,100,103,102,100,2,2.00%,"160,000",51,,
2013-10-07,IMH,I & M Holdings Plc,43.1,59,102,102,102,102,-,-,-,51,,
2013-10-08,IMH,I & M Holdings Plc,43.1,59,102,102,102,102,-,-,400,51,,
2013-10-09,IMH,I & M Holdings Plc,43.1,59,101,104,102,102,-,-,"228,600",51,,
2013-10-10,IMH,I & M Holdings Plc,43.1,59,101,104,101.5,102,-0.5,0.49%,600,50.75,,
2013-10-11,IMH,I & M Holdings Plc,43.1,59,102,102,102,101.5,0.5,0.49%,"75,000",51,,
2013-10-14,IMH,I & M Holdings Plc,43.1,59,102,102,102,102,-,-,"1,000",51,,
2013-10-15,IMH,I & M Holdings Plc,43.1,59,102,102,102,102,-,-,-,51,,
2013-10-16,IMH,I & M Holdings Plc,43.1,59,100,100,100,102,-2,1.96%,200,50,,
2013-10-17,IMH,I & M Holdings Plc,43.1,59,102,103,102.5,100,2.5,2.50%,"1,800",51.25,,
2013-10-18,IMH,I & M Holdings Plc,43.1,59,101,103,102,102.5,-0.5,0.49%,"1,900",51,,
2013-10-22,IMH,I & M Holdings Plc,43.1,59,103,105,104.25,102,2.25,2.21%,"11,600",52.13,,
