Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,JUB,Jubilee Holdings,150,280,323,330,329,322,7,2.13%,700,217.52,,
2007-01-03,JUB,Jubilee Holdings,150,280,327,345,333,329,4,1.20%,"12,700",220.17,,
2007-01-04,JUB,Jubilee Holdings,150,280,320,350,333,333,-,-,"5,900",220.17,,
2007-01-05,JUB,Jubilee Holdings,150,280,320,339,331,333,-2,0.60%,"13,200",218.84,,
2007-01-08,JUB,Jubilee Holdings,150,280,337,340,339,331,8,2.36%,"4,600",224.13,,
2007-01-09,JUB,Jubilee Holdings,150,280,340,360,350,339,11,3.14%,"12,300",231.4,,
2007-01-10,JUB,Jubilee Holdings,150,280,338,360,350,350,-,-,"15,900",231.4,,
2007-01-11,JUB,Jubilee Holdings,150,280,338,360,351,350,1,0.28%,"11,900",232.07,,
2007-01-12,JUB,Jubilee Holdings,150,280,335,360,344,351,-7,2.03%,"69,200",227.44,,
2007-01-15,JUB,Jubilee Holdings,150,280,336,350,341,344,-3,0.88%,"39,000",225.45,,
2007-01-16,JUB,Jubilee Holdings,150,280,310,360,331,341,-10,3.02%,"6,700",218.84,,
2007-01-17,JUB,Jubilee Holdings,150,280,318,320,319,331,-12,3.76%,"2,800",210.91,,
2007-01-18,JUB,Jubilee Holdings,150,280,300,335,318,319,-1,0.31%,"7,300",210.25,,
2007-01-19,JUB,Jubilee Holdings,150,280,300,315,310,318,-8,2.58%,"3,800",204.96,,
2007-01-22,JUB,Jubilee Holdings,150,280,305,310,305,310,-5,1.64%,"4,100",201.65,,
2007-01-23,JUB,Jubilee Holdings,150,280,302,310,306,305,1,0.33%,"7,300",202.31,,
2007-01-24,JUB,Jubilee Holdings,150,280,305,311,309,306,3,0.97%,"2,700",204.3,,
2007-01-25,JUB,Jubilee Holdings,150,280,300,310,305,309,-4,1.31%,"15,300",201.65,,
2007-01-26,JUB,Jubilee Holdings,150,280,300,310,309,305,4,1.29%,"11,000",204.3,,
2007-01-29,JUB,Jubilee Holdings,150,280,290,304,299,309,-10,3.34%,"4,000",197.69,,
2007-01-30,JUB,Jubilee Holdings,150,280,295,300,295,299,-4,1.36%,"12,400",195.04,,
2007-01-31,JUB,Jubilee Holdings,150,280,270,300,297,295,2,0.67%,"22,800",196.36,,
2007-02-01,JUB,Jubilee Holdings,150,280,270,280,274,297,-23,8.39%,"4,800",181.16,,
2007-02-02,JUB,Jubilee Holdings,150,280,245,280,255,274,-19,7.45%,700,168.6,,
2007-02-05,JUB,Jubilee Holdings,150,280,265,291,286,255,31,10.84%,"2,000",189.09,,
2007-02-06,JUB,Jubilee Holdings,150,280,275,300,280,286,-6,2.14%,"2,700",185.12,,
2007-02-07,JUB,Jubilee Holdings,150,280,300,313,301,280,21,6.98%,"15,000",199.01,,
2007-02-08,JUB,Jubilee Holdings,150,280,293,310,305,301,4,1.31%,"7,200",201.65,,
2007-02-09,JUB,Jubilee Holdings,150,280,310,320,312,305,7,2.24%,"6,200",206.28,,
2007-02-12,JUB,Jubilee Holdings,150,280,310,315,313,312,1,0.32%,"4,200",206.94,,
2007-02-13,JUB,Jubilee Holdings,150,280,315,318,315,313,2,0.63%,"8,800",208.26,,
2007-02-14,JUB,Jubilee Holdings,150,280,305,315,310,315,-5,1.61%,"9,500",204.96,,
2007-02-15,JUB,Jubilee Holdings,150,280,310,315,310,310,-,-,"3,400",204.96,,
2007-02-16,JUB,Jubilee Holdings,150,280,300,310,301,310,-9,2.99%,"2,300",199.01,,
2007-02-19,JUB,Jubilee Holdings,150,280,300,300,300,301,-1,0.33%,"3,700",198.35,,
2007-02-20,JUB,Jubilee Holdings,150,280,300,330,308,300,8,2.60%,"5,400",203.64,,
2007-02-21,JUB,Jubilee Holdings,150,280,295,339,323,308,15,4.64%,"9,000",213.55,,
2007-02-22,JUB,Jubilee Holdings,150,280,300,310,306,323,-17,5.56%,"7,400",202.31,,
2007-02-23,JUB,Jubilee Holdings,150,280,300,330,303,306,-3,0.99%,"18,000",200.33,,
2007-02-26,JUB,Jubilee Holdings,150,280,300,310,302,303,-1,0.33%,"10,600",199.67,,
2007-02-27,JUB,Jubilee Holdings,150,280,300,305,300,302,-2,0.67%,"13,900",198.35,,
2007-02-28,JUB,Jubilee Holdings,150,280,272,300,296,300,-4,1.35%,"3,400",195.7,,
2007-03-01,JUB,Jubilee Holdings,150,280,250,255,254,296,-42,16.54%,"2,000",167.93,,
2007-03-02,JUB,Jubilee Holdings,150,280,245,260,249,254,-5,2.01%,"18,700",164.63,,
2007-03-05,JUB,Jubilee Holdings,150,280,255,270,264,249,15,5.68%,"15,300",174.55,,
2007-03-06,JUB,Jubilee Holdings,150,280,260,270,263,264,-1,0.38%,"1,300",173.88,,
2007-03-07,JUB,Jubilee Holdings,150,280,250,261,251,263,-12,4.78%,"10,800",165.95,,
2007-03-08,JUB,Jubilee Holdings,150,280,250,265,258,251,7,2.71%,"4,600",170.58,,
2007-03-09,JUB,Jubilee Holdings,150,280,232,269,245,258,-13,5.31%,"6,900",161.98,,
2007-03-12,JUB,Jubilee Holdings,150,280,242,257,244,245,-1,0.41%,"1,600",161.32,,
2007-03-13,JUB,Jubilee Holdings,150,280,220,250,241,244,-3,1.24%,"4,200",159.34,,
2007-03-14,JUB,Jubilee Holdings,150,280,230,240,235,241,-6,2.55%,"1,800",155.37,,
2007-03-15,JUB,Jubilee Holdings,150,280,216,240,228,235,-7,3.07%,"10,600",150.74,,
2007-03-16,JUB,Jubilee Holdings,150,280,210,220,218,228,-10,4.59%,"5,800",144.13,,
2007-03-19,JUB,Jubilee Holdings,150,280,213,230,213,218,-5,2.35%,"31,900",140.83,,
2007-03-20,JUB,Jubilee Holdings,150,280,213,215,214,213,1,0.47%,"9,400",141.49,,
2007-03-21,JUB,Jubilee Holdings,150,280,193,215,207,214,-7,3.38%,"15,400",136.86,,
2007-03-22,JUB,Jubilee Holdings,150,280,181,212,210,207,3,1.43%,"171,800",138.84,,
2007-03-23,JUB,Jubilee Holdings,150,280,185,200,190,210,-20,10.53%,"16,300",125.62,,
2007-03-26,JUB,Jubilee Holdings,150,280,195,201,200,190,10,5.00%,"7,300",132.23,,
2007-03-27,JUB,Jubilee Holdings,150,280,190,210,199,200,-1,0.50%,"2,800",131.57,,
2007-03-28,JUB,Jubilee Holdings,150,280,215,215,215,199,16,7.44%,"2,000",142.15,,
2007-03-29,JUB,Jubilee Holdings,150,280,220,233,229,215,14,6.11%,"7,100",151.4,,
2007-03-30,JUB,Jubilee Holdings,150,280,214,250,217,229,-12,5.53%,"117,900",143.47,,
2007-04-02,JUB,Jubilee Holdings,150,280,216,232,226,217,9,3.98%,"2,100",149.42,,
