Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KAPC,Kapchorua Tea,111,148,100,100,100,98.5,1.5,1.50%,"7,800",-,,
2007-01-03,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"7,600",-,,
2007-01-04,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"12,600",-,,
2007-01-05,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"1,400",-,,
2007-01-08,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"8,100",-,,
2007-01-09,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"10,800",-,,
2007-01-10,KAPC,Kapchorua Tea,111,148,100,102,100,100,-,-,"60,000",-,,
2007-01-11,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"16,800",-,,
2007-01-12,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"20,800",-,,
2007-01-15,KAPC,Kapchorua Tea,111,148,100,100,100,100,-,-,"42,200",-,,
2007-01-16,KAPC,Kapchorua Tea,111,148,100,105,100,100,-,-,"187,300",-,,
2007-01-17,KAPC,Kapchorua Tea,111,148,110,110,110,100,10,9.09%,"2,500",-,,
2007-01-18,KAPC,Kapchorua Tea,111,148,110,121,111,110,1,0.90%,"73,400",-,,
2007-01-19,KAPC,Kapchorua Tea,111,148,110,120,112,111,1,0.89%,"11,300",-,,
2007-01-23,KAPC,Kapchorua Tea,111,148,122,123,122,112,10,8.20%,"10,100",-,,
2007-01-24,KAPC,Kapchorua Tea,111,148,125,130,125,122,3,2.40%,"9,500",-,,
2007-01-25,KAPC,Kapchorua Tea,111,148,125,135,132,125,7,5.30%,"21,200",-,,
2007-01-26,KAPC,Kapchorua Tea,111,148,131,135,132,132,-,-,"3,600",-,,
2007-01-29,KAPC,Kapchorua Tea,111,148,120,130,124,132,-8,6.45%,"26,100",-,,
2007-01-30,KAPC,Kapchorua Tea,111,148,120,125,122,124,-2,1.64%,"13,600",-,,
2007-01-31,KAPC,Kapchorua Tea,111,148,120,124,121,122,-1,0.83%,"1,200",-,,
2007-02-01,KAPC,Kapchorua Tea,111,148,112,122,116,121,-5,4.31%,"1,300",-,,
2007-02-02,KAPC,Kapchorua Tea,111,148,120,126,123,116,7,5.69%,"7,400",-,,
2007-02-05,KAPC,Kapchorua Tea,111,148,125,125,125,123,2,1.60%,"5,000",-,,
2007-02-06,KAPC,Kapchorua Tea,111,148,120,123,122,125,-3,2.46%,"1,600",-,,
2007-02-07,KAPC,Kapchorua Tea,111,148,120,120,120,122,-2,1.67%,"2,500",-,,
2007-02-08,KAPC,Kapchorua Tea,111,148,122,125,124,120,4,3.23%,"11,400",-,,
2007-02-09,KAPC,Kapchorua Tea,111,148,122,125,124,124,-,-,"24,500",-,,
2007-02-12,KAPC,Kapchorua Tea,111,148,122,125,123,124,-1,0.81%,"1,500",-,,
2007-02-13,KAPC,Kapchorua Tea,111,148,125,125,125,123,2,1.60%,"20,500",-,,
2007-02-14,KAPC,Kapchorua Tea,111,148,120,125,120,125,-5,4.17%,"13,100",-,,
2007-02-16,KAPC,Kapchorua Tea,111,148,120,125,124,120,4,3.23%,"10,100",-,,
2007-02-20,KAPC,Kapchorua Tea,111,148,125,125,125,124,1,0.80%,900,-,,
2007-02-21,KAPC,Kapchorua Tea,111,148,125,125,125,125,-,-,200,-,,
2007-02-22,KAPC,Kapchorua Tea,111,148,125,126,125,125,-,-,"1,200",-,,
2007-02-23,KAPC,Kapchorua Tea,111,148,125,125,125,125,-,-,800,-,,
2007-02-26,KAPC,Kapchorua Tea,111,148,120,123,122,125,-3,2.46%,"3,300",-,,
2007-02-28,KAPC,Kapchorua Tea,111,148,118,118,118,122,-4,3.39%,"1,000",-,,
2007-03-06,KAPC,Kapchorua Tea,111,148,115,115,115,118,-3,2.61%,500,-,,
2007-03-08,KAPC,Kapchorua Tea,111,148,120,125,123,115,8,6.50%,"3,000",-,,
2007-03-12,KAPC,Kapchorua Tea,111,148,115,115,115,123,-8,6.96%,200,-,,
2007-03-13,KAPC,Kapchorua Tea,111,148,113,114,113,115,-2,1.77%,700,-,,
2007-03-14,KAPC,Kapchorua Tea,111,148,114,115,114,113,1,0.88%,"1,300",-,,
2007-03-16,KAPC,Kapchorua Tea,111,148,115,115,115,114,1,0.87%,300,-,,
2007-03-19,KAPC,Kapchorua Tea,111,148,115,115,115,115,-,-,500,-,,
2007-03-21,KAPC,Kapchorua Tea,111,148,115,125,121,115,6,4.96%,600,-,,
2007-03-22,KAPC,Kapchorua Tea,111,148,112,115,113,121,-8,7.08%,200,-,,
2007-03-23,KAPC,Kapchorua Tea,111,148,105,105,105,113,-8,7.62%,100,-,,
2007-03-26,KAPC,Kapchorua Tea,111,148,105,110,105,105,-,-,"2,500",-,,
2007-03-27,KAPC,Kapchorua Tea,111,148,105,105,105,105,-,-,"2,600",-,,
2007-03-28,KAPC,Kapchorua Tea,111,148,112,112,112,105,7,6.25%,"6,500",-,,
2007-04-03,KAPC,Kapchorua Tea,111,148,120,122,120,112,8,6.67%,"4,300",-,,
2007-04-05,KAPC,Kapchorua Tea,111,148,120,124,120,120,-,-,"2,900",-,,
2007-04-12,KAPC,Kapchorua Tea,111,148,120,120,120,120,-,-,500,-,,
2007-04-13,KAPC,Kapchorua Tea,111,148,108,120,116,120,-4,3.45%,"2,300",-,,
2007-04-16,KAPC,Kapchorua Tea,111,148,108,109,108,116,-8,7.41%,"3,000",-,,
2007-04-17,KAPC,Kapchorua Tea,111,148,110,112,110,108,2,1.82%,"2,300",-,,
2007-04-18,KAPC,Kapchorua Tea,111,148,112,115,112,110,2,1.79%,"2,200",-,,
2007-04-19,KAPC,Kapchorua Tea,111,148,115,115,115,112,3,2.61%,100,-,,
2007-04-20,KAPC,Kapchorua Tea,111,148,115,115,115,115,-,-,"2,000",-,,
2007-04-23,KAPC,Kapchorua Tea,111,148,117,117,117,115,2,1.71%,"1,000",-,,
2007-04-24,KAPC,Kapchorua Tea,111,148,120,120,120,117,3,2.50%,500,-,,
2007-04-25,KAPC,Kapchorua Tea,111,148,117,117,117,120,-3,2.56%,100,-,,
2007-04-26,KAPC,Kapchorua Tea,111,148,120,120,120,117,3,2.50%,700,-,,
2007-05-02,KAPC,Kapchorua Tea,111,148,120,120,120,120,-,-,900,-,,
2007-05-03,KAPC,Kapchorua Tea,111,148,117,117,117,120,-3,2.56%,"1,000",-,,
2007-05-11,KAPC,Kapchorua Tea,111,148,115,115,115,117,-2,1.74%,500,-,,
2007-05-14,KAPC,Kapchorua Tea,111,148,117,117,117,115,2,1.71%,100,-,,
2007-05-15,KAPC,Kapchorua Tea,111,148,113,115,114,117,-3,2.63%,"2,600",-,,
2007-05-16,KAPC,Kapchorua Tea,111,148,115,115,115,114,1,0.87%,"1,500",-,,
2007-05-18,KAPC,Kapchorua Tea,111,148,115,115,115,115,-,-,"1,200",-,,
2007-05-21,KAPC,Kapchorua Tea,111,148,115,115,115,115,-,-,300,-,,
2007-05-22,KAPC,Kapchorua Tea,111,148,115,115,115,115,-,-,200,-,,
2007-05-23,KAPC,Kapchorua Tea,111,148,115,116,115,115,-,-,"5,000",-,,
2007-05-24,KAPC,Kapchorua Tea,111,148,115,115,115,115,-,-,100,-,,
2007-05-30,KAPC,Kapchorua Tea,111,148,112,112,112,115,-3,2.68%,"1,000",-,,
2007-06-11,KAPC,Kapchorua Tea,111,148,109,110,109,112,-3,2.75%,"1,800",-,,
2007-06-25,KAPC,Kapchorua Tea,111,148,112,112,112,109,3,2.68%,800,-,,
2007-06-29,KAPC,Kapchorua Tea,111,148,112,112,112,112,-,-,"5,000",-,,
2007-07-02,KAPC,Kapchorua Tea,111,148,106,106,106,112,-6,5.66%,200,-,,
2007-07-04,KAPC,Kapchorua Tea,111,148,106,108,106,106,-,-,"6,400",-,,
2007-07-05,KAPC,Kapchorua Tea,111,148,106,106,106,106,-,-,"3,700",-,,
2007-07-06,KAPC,Kapchorua Tea,111,148,108,108,108,106,2,1.85%,100,-,,
2007-07-09,KAPC,Kapchorua Tea,111,148,107,108,107,108,-1,0.93%,"5,300",-,,
2007-07-10,KAPC,Kapchorua Tea,111,148,108,108,108,107,1,0.93%,"2,500",-,,
2007-07-11,KAPC,Kapchorua Tea,111,148,109,109,109,108,1,0.92%,"2,000",-,,
2007-07-12,KAPC,Kapchorua Tea,111,148,109,109,109,109,-,-,200,-,,
2007-07-13,KAPC,Kapchorua Tea,111,148,100,109,104,109,-5,4.81%,"1,100",-,,
2007-07-16,KAPC,Kapchorua Tea,111,148,105,105,105,104,1,0.95%,"1,000",-,,
2007-07-17,KAPC,Kapchorua Tea,111,148,105,105,105,105,-,-,100,-,,
