Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KCB,Kenya Commercial Bank,21.75,44,220,260,243,238,5,2.06%,"225,900",24.3,,
2007-01-03,KCB,Kenya Commercial Bank,21.75,44,245,275,256,243,13,5.08%,"462,200",25.6,,
2007-01-04,KCB,Kenya Commercial Bank,21.75,44,258,282,268,256,12,4.48%,"326,200",26.8,,
2007-01-05,KCB,Kenya Commercial Bank,21.75,44,261,275,269,268,1,0.37%,"328,500",26.9,,
2007-01-08,KCB,Kenya Commercial Bank,21.75,44,262,275,270,269,1,0.37%,"292,100",27,,
2007-01-09,KCB,Kenya Commercial Bank,21.75,44,260,275,268,270,-2,0.75%,"380,300",26.8,,
2007-01-10,KCB,Kenya Commercial Bank,21.75,44,252,270,260,268,-8,3.08%,"159,200",26,,
2007-01-11,KCB,Kenya Commercial Bank,21.75,44,255,269,260,260,-,-,"105,900",26,,
2007-01-12,KCB,Kenya Commercial Bank,21.75,44,260,280,269,260,9,3.35%,"431,800",26.9,,
2007-01-15,KCB,Kenya Commercial Bank,21.75,44,260,271,267,269,-2,0.75%,"264,600",26.7,,
2007-01-16,KCB,Kenya Commercial Bank,21.75,44,261,271,269,267,2,0.74%,"307,800",26.9,,
2007-01-17,KCB,Kenya Commercial Bank,21.75,44,260,270,265,269,-4,1.51%,"221,200",26.5,,
2007-01-18,KCB,Kenya Commercial Bank,21.75,44,250,266,261,265,-4,1.53%,"175,600",26.1,,
2007-01-19,KCB,Kenya Commercial Bank,21.75,44,255,264,260,261,-1,0.38%,"317,200",26,,
2007-01-22,KCB,Kenya Commercial Bank,21.75,44,246,265,261,260,1,0.38%,"295,400",26.1,,
2007-01-23,KCB,Kenya Commercial Bank,21.75,44,255,265,260,261,-1,0.38%,"180,700",26,,
2007-01-24,KCB,Kenya Commercial Bank,21.75,44,250,260,255,260,-5,1.96%,"115,500",25.5,,
2007-01-25,KCB,Kenya Commercial Bank,21.75,44,240,260,247,255,-8,3.24%,"117,000",24.7,,
2007-01-26,KCB,Kenya Commercial Bank,21.75,44,228,250,235,247,-12,5.11%,"261,900",23.5,,
2007-01-29,KCB,Kenya Commercial Bank,21.75,44,240,252,245,235,10,4.08%,"177,500",24.5,,
2007-01-30,KCB,Kenya Commercial Bank,21.75,44,236,250,242,245,-3,1.24%,"153,800",24.2,,
2007-01-31,KCB,Kenya Commercial Bank,21.75,44,220,240,234,242,-8,3.42%,"136,900",23.4,,
2007-02-01,KCB,Kenya Commercial Bank,21.75,44,220,235,225,234,-9,4.00%,"148,700",22.5,,
2007-02-02,KCB,Kenya Commercial Bank,21.75,44,223,230,226,225,1,0.44%,"233,000",22.6,,
2007-02-05,KCB,Kenya Commercial Bank,21.75,44,220,232,225,226,-1,0.44%,"339,800",22.5,,
2007-02-06,KCB,Kenya Commercial Bank,21.75,44,225,230,227,225,2,0.88%,"125,200",22.7,,
2007-02-07,KCB,Kenya Commercial Bank,21.75,44,225,240,230,227,3,1.30%,"358,000",23,,
2007-02-08,KCB,Kenya Commercial Bank,21.75,44,230,242,238,230,8,3.36%,"72,300",23.8,,
