Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KEGN,KenGen,7.4,16.05,28,32,29.25,29.25,-,-,"840,000",-,,
2007-01-03,KEGN,KenGen,7.7,16.05,27,31.75,28.25,29.25,-1,3.54%,"564,800",-,,
2007-01-04,KEGN,KenGen,7.4,16.05,26,30.25,28.25,28.25,-,-,"1,080,000",-,,
2007-01-05,KEGN,KenGen,7.7,16.05,26,30.75,28.25,28.25,-,-,"1,310,000",-,,
2007-01-08,KEGN,KenGen,7.7,16.05,27,30.5,28.25,28.25,-,-,"775,400",-,,
2007-01-09,KEGN,KenGen,7.7,16.05,26,30.5,27.5,28.25,-0.75,2.73%,"836,400",-,,
2007-01-10,KEGN,KenGen,7.7,16.05,25,29,26.5,27.5,-1,3.77%,"888,300",-,,
2007-01-11,KEGN,KenGen,7.7,16.05,26,29,26.5,26.5,-,-,"798,100",-,,
2007-01-12,KEGN,KenGen,7.7,16.05,26,29,26.5,26.5,-,-,"1,400,000",-,,
2007-01-15,KEGN,KenGen,7.7,16.05,25,29.5,26.75,26.5,0.25,0.93%,"836,900",-,,
2007-01-16,KEGN,KenGen,7.7,16.05,25.5,29.25,26.75,26.75,-,-,"970,700",-,,
2007-01-17,KEGN,KenGen,7.7,16.05,25,28.75,26.5,26.75,-0.25,0.94%,"2,300,000",-,,
2007-01-18,KEGN,KenGen,7.4,16.05,24.5,29.25,26,26.5,-0.5,1.92%,"1,190,000",-,,
2007-01-19,KEGN,KenGen,7.4,16.05,25.25,28.25,26.25,26,0.25,0.95%,"2,310,000",-,,
2007-01-22,KEGN,KenGen,7.7,16.05,26,29.25,26.75,26.25,0.5,1.87%,"1,010,000",-,,
2007-01-23,KEGN,KenGen,7.7,16.05,26.25,28,26.75,26.75,-,-,"987,600",-,,
2007-01-24,KEGN,KenGen,7.7,16.05,25.25,27.5,26.25,26.75,-0.5,1.90%,"1,240,000",-,,
2007-01-25,KEGN,KenGen,7.7,16.05,25,28.5,26.5,26.25,0.25,0.94%,"2,090,000",-,,
2007-01-26,KEGN,KenGen,7.7,16.05,24,29,25.75,26.5,-0.75,2.91%,"1,360,000",-,,
2007-01-29,KEGN,KenGen,7.7,16.05,22.5,25.5,24.5,25.75,-1.25,5.10%,"698,200",-,,
2007-01-30,KEGN,KenGen,7.7,16.05,22,24,23.5,24.5,-1,4.26%,"721,600",-,,
2007-01-31,KEGN,KenGen,7.7,16.05,21,24.5,22.75,23.5,-0.75,3.30%,"1,430,000",-,,
2007-02-01,KEGN,KenGen,7.4,16.05,20,23,21.75,22.75,-1,4.60%,"1,110,000",-,,
2007-02-02,KEGN,KenGen,7.4,16.05,20.75,23.25,21.5,21.75,-0.25,1.16%,"957,600",-,,
2007-02-05,KEGN,KenGen,7.7,16.05,21.25,24,22.25,21.5,0.75,3.37%,"850,200",-,,
2007-02-06,KEGN,KenGen,7.7,16.05,21.5,22.5,22,22.25,-0.25,1.14%,"857,500",-,,
2007-02-07,KEGN,KenGen,7.7,16.05,20.75,23,21.5,22,-0.5,2.33%,"931,900",-,,
2007-02-08,KEGN,KenGen,7.7,16.05,21.25,23.5,22.25,21.5,0.75,3.37%,"1,760,000",-,,
2007-02-09,KEGN,KenGen,7.7,16.05,21.5,24,22.75,22.25,0.5,2.20%,"619,100",-,,
2007-02-12,KEGN,KenGen,7.7,16.05,21,24,22.75,22.75,-,-,"607,700",-,,
2007-02-13,KEGN,KenGen,7.7,16.05,21.25,24.25,23.25,22.75,0.5,2.15%,"849,400",-,,
2007-02-14,KEGN,KenGen,7.7,16.05,21,25.25,22.5,23.25,-0.75,3.33%,"1,690,000",-,,
2007-02-15,KEGN,KenGen,7.7,16.05,21,24.75,23.25,22.5,0.75,3.23%,"958,900",-,,
2007-02-16,KEGN,KenGen,7.7,16.05,21,24.75,23,23.25,-0.25,1.09%,"727,000",-,,
