Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KENO,KenolKobil,9.8,16.95,110,111,110,108,2,1.82%,"2,900",11,,
2007-01-03,KENO,KenolKobil,9.05,16.95,105,110,108,110,-2,1.85%,"7,900",10.8,,
2007-01-04,KENO,KenolKobil,9.05,16.95,108,110,109,108,1,0.92%,"14,700",10.9,,
2007-01-05,KENO,KenolKobil,9.05,16.95,110,111,110,109,1,0.91%,"52,300",11,,
2007-01-08,KENO,KenolKobil,9.05,16.95,110,116,111,110,1,0.90%,"40,400",11.1,,
2007-01-09,KENO,KenolKobil,9.05,16.95,115,120,118,111,7,5.93%,"60,500",11.8,,
2007-01-10,KENO,KenolKobil,9.05,16.95,119,125,120,118,2,1.67%,"107,200",12,,
2007-01-11,KENO,KenolKobil,9.05,16.95,120,130,124,120,4,3.23%,"50,800",12.4,,
2007-01-12,KENO,KenolKobil,9.05,16.95,119,125,123,124,-1,0.81%,"59,200",12.3,,
2007-01-15,KENO,KenolKobil,9.05,16.95,118,125,121,123,-2,1.65%,"9,200",12.1,,
2007-01-16,KENO,KenolKobil,9.05,16.95,115,125,117,121,-4,3.42%,"11,200",11.7,,
2007-01-17,KENO,KenolKobil,9.05,16.95,115,118,115,117,-2,1.74%,"24,100",11.5,,
2007-01-18,KENO,KenolKobil,9.8,16.95,110,115,112,115,-3,2.68%,"16,600",11.2,,
2007-01-19,KENO,KenolKobil,9.05,16.95,110,115,111,112,-1,0.90%,"16,700",11.1,,
2007-01-22,KENO,KenolKobil,9.05,16.95,111,115,112,111,1,0.89%,"4,800",11.2,,
2007-01-23,KENO,KenolKobil,9.05,16.95,110,120,115,112,3,2.61%,"50,500",11.5,,
2007-01-24,KENO,KenolKobil,9.05,16.95,110,117,114,115,-1,0.88%,"32,800",11.4,,
2007-01-25,KENO,KenolKobil,9.05,16.95,110,114,112,114,-2,1.79%,"55,500",11.2,,
2007-01-26,KENO,KenolKobil,9.05,16.95,112,115,113,112,1,0.88%,"15,100",11.3,,
2007-01-29,KENO,KenolKobil,9.05,16.95,113,115,113,113,-,-,"21,300",11.3,,
2007-01-30,KENO,KenolKobil,9.05,16.95,100,110,104,113,-9,8.65%,"16,800",10.4,,
2007-01-31,KENO,KenolKobil,9.05,16.95,97,101,99.5,104,-4.5,4.52%,"34,100",9.95,,
2007-02-01,KENO,KenolKobil,9.8,16.95,97,98,97,99.5,-2.5,2.58%,"9,800",9.7,,
2007-02-02,KENO,KenolKobil,9.8,16.95,95,97,96,97,-1,1.04%,"9,300",9.6,,
2007-02-05,KENO,KenolKobil,9.05,16.95,97.5,100,99.5,96,3.5,3.52%,"18,000",9.95,,
2007-02-06,KENO,KenolKobil,9.05,16.95,100,105,102,99.5,2.5,2.45%,"23,800",10.2,,
2007-02-07,KENO,KenolKobil,9.05,16.95,102,111,108,102,6,5.56%,"23,000",10.8,,
2007-02-08,KENO,KenolKobil,9.05,16.95,110,115,110,108,2,1.82%,"22,500",11,,
2007-02-09,KENO,KenolKobil,9.05,16.95,110,115,112,110,2,1.79%,"29,100",11.2,,
2007-02-12,KENO,KenolKobil,9.05,16.95,112,115,114,112,2,1.75%,"27,900",11.4,,
2007-02-13,KENO,KenolKobil,9.05,16.95,110,115,112,114,-2,1.79%,"30,000",11.2,,
2007-02-14,KENO,KenolKobil,9.05,16.95,112,115,112,112,-,-,"19,900",11.2,,
2007-02-15,KENO,KenolKobil,9.05,16.95,112,114,112,112,-,-,"3,700",11.2,,
2007-02-16,KENO,KenolKobil,9.05,16.95,112,115,112,112,-,-,"26,900",11.2,,
2007-02-19,KENO,KenolKobil,9.05,16.95,112,113,112,112,-,-,"9,400",11.2,,
2007-02-20,KENO,KenolKobil,9.05,16.95,110,112,111,112,-1,0.90%,"12,300",11.1,,
2007-02-21,KENO,KenolKobil,9.05,16.95,110,115,112,111,1,0.89%,"50,100",11.2,,
2007-02-22,KENO,KenolKobil,9.05,16.95,100,112,100,112,-12,12.00%,"341,800",10,,
2007-02-23,KENO,KenolKobil,9.05,16.95,100,110,100,100,-,-,"361,000",10,,
2007-02-26,KENO,KenolKobil,9.05,16.95,100,105,100,100,-,-,"172,000",10,,
2007-02-27,KENO,KenolKobil,9.05,16.95,100,102,100,100,-,-,"91,100",10,,
2007-02-28,KENO,KenolKobil,9.05,16.95,100,105,100,100,-,-,"87,000",10,,
2007-03-01,KENO,KenolKobil,9.8,16.95,100,103,100,100,-,-,"10,100",10,,
2007-03-02,KENO,KenolKobil,9.05,16.95,98,100,99.5,100,-0.5,0.50%,"131,600",9.95,,
2007-03-05,KENO,KenolKobil,9.05,16.95,98,102,99.5,99.5,-,-,"28,800",9.95,,
2007-03-06,KENO,KenolKobil,9.05,16.95,100,100,100,99.5,0.5,0.50%,"36,200",10,,
2007-03-07,KENO,KenolKobil,9.05,16.95,100,100,100,100,-,-,"37,900",10,,
2007-03-08,KENO,KenolKobil,9.05,16.95,100,100,100,100,-,-,"20,800",10,,
2007-03-09,KENO,KenolKobil,9.05,16.95,98,100,99.5,100,-0.5,0.50%,"27,200",9.95,,
2007-03-12,KENO,KenolKobil,9.05,16.95,99,100,99,99.5,-0.5,0.51%,"6,600",9.9,,
2007-03-13,KENO,KenolKobil,9.05,16.95,95,100,99.5,99,0.5,0.50%,"26,600",9.95,,
2007-03-14,KENO,KenolKobil,9.05,16.95,95,100,98.5,99.5,-1,1.02%,"9,300",9.85,,
2007-03-15,KENO,KenolKobil,9.05,16.95,95,95,95,98.5,-3.5,3.68%,"11,700",9.5,,
2007-03-16,KENO,KenolKobil,9.05,16.95,95,95,95,95,-,-,"9,000",9.5,,
2007-03-19,KENO,KenolKobil,9.05,16.95,92,98,94,95,-1,1.06%,"2,300",9.4,,
2007-03-20,KENO,KenolKobil,9.05,16.95,85.5,92,88,94,-6,6.82%,"8,300",8.8,,
2007-03-21,KENO,KenolKobil,9.05,16.95,86,90,88.5,88,0.5,0.56%,"2,300",8.85,,
2007-03-22,KENO,KenolKobil,9.05,16.95,80,85,82,88.5,-6.5,7.93%,"8,700",8.2,,
