Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-07-17,KNRE,Kenya Re-Insurance Corporation,7.4,17.5,9.5,9.5,9.5,107,-97.5,1026.32%,0,-,,
2007-08-27,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14.65,18.5,16,9.5,6.5,40.63%,"13,860,000",-,,
2007-08-28,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14.4,15.6,14.6,16,-1.4,9.59%,"13,200,000",-,,
2007-08-29,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14,15,14.25,14.6,-0.35,2.46%,"14,130,000",-,,
2007-08-30,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14.2,15.65,14.75,14.25,0.5,3.39%,"15,230,000",-,,
2007-08-31,KNRE,Kenya Re-Insurance Corporation,7.3,17.5,15.65,17.5,16.25,14.75,1.5,9.23%,"9,840,000",-,,
2007-09-03,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,15.5,17.5,16.3,16.25,0.05,0.31%,"4,840,000",-,,
2007-09-04,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.55,17.8,17.25,16.3,0.95,5.51%,"4,250,000",-,,
2007-09-05,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.5,18.4,17.75,17.25,0.5,2.82%,"6,140,000",-,,
2007-09-06,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.8,17.95,17.5,17.75,-0.25,1.43%,"8,810,000",-,,
2007-09-07,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,17.65,19.25,18.25,17.5,0.75,4.11%,"9,710,000",-,,
2007-09-10,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,17.95,19,18.2,18.25,-0.05,0.27%,"5,080,000",-,,
2007-09-11,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,17.7,19,18.1,18.2,-0.1,0.55%,"5,720,000",-,,
2007-09-12,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.3,18.25,17.95,18.1,-0.15,0.84%,"9,400,000",-,,
2007-09-13,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.5,19,17.05,17.95,-0.9,5.28%,"3,250,000",-,,
2007-09-14,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.45,17.9,16.8,17.05,-0.25,1.49%,"2,290,000",-,,
2007-09-17,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.5,18.45,16.65,16.8,-0.15,0.90%,"2,090,000",-,,
2007-09-18,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.5,17.5,16.9,16.65,0.25,1.48%,"1,880,000",-,,
2007-09-19,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16,17.8,17,16.9,0.1,0.59%,"5,940,000",-,,
2007-09-20,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,17.3,18,17.6,17,0.6,3.41%,"3,690,000",-,,
2007-09-21,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,17.5,19.35,17.65,17.6,0.05,0.28%,"1,200,000",-,,
2007-09-24,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16.6,17.5,17.2,17.65,-0.45,2.62%,"2,490,000",-,,
2007-09-25,KNRE,Kenya Re-Insurance Corporation,7.4,17.5,16.4,17,16.7,17.2,-0.5,2.99%,"1,730,000",-,,
2007-09-26,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,15.5,16.7,16.4,16.7,-0.3,1.83%,"2,720,000",-,,
2007-09-27,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,15,17,16.1,16.4,-0.3,1.86%,"1,450,000",-,,
2007-09-28,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,15.6,16.85,16.2,16.1,0.1,0.62%,"1,480,000",-,,
2007-10-01,KNRE,Kenya Re-Insurance Corporation,7.3,17.5,16,16.5,16.25,16.2,0.05,0.31%,"586,900",-,,
2007-10-02,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,16,16.5,16.25,16.25,-,-,"1,300,000",-,,
2007-10-03,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14.7,16.5,16.3,16.25,0.05,0.31%,"2,520,000",-,,
2007-10-04,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14.75,16,15.2,16.3,-1.1,7.24%,"1,070,000",-,,
2007-10-05,KNRE,Kenya Re-Insurance Corporation,7.3,17.5,14.5,15.3,14.95,15.2,-0.25,1.67%,"872,200",-,,
2007-10-08,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,13.5,15,14.3,14.95,-0.65,4.55%,"769,300",-,,
2007-10-09,KNRE,Kenya Re-Insurance Corporation,7.3,17.15,13,14.3,13.85,14.3,-0.45,3.25%,"630,900",-,,
2007-10-11,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,13.85,15,14.1,13.85,0.25,1.77%,"918,000",-,,
2007-10-12,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,14.1,15.5,14.9,14.1,0.8,5.37%,"1,320,000",-,,
2007-10-15,KNRE,Kenya Re-Insurance Corporation,7.5,17.5,15.25,16.25,15.7,14.9,0.8,5.10%,"939,700",-,,
