Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KPLC,Kenya Power and Lighting,14,20.75,260,280,270,271,-1,0.37%,"101,000",30,,
2007-01-03,KPLC,Kenya Power and Lighting,14,20.75,270,280,275,270,5,1.82%,"17,800",30.56,,
2007-01-04,KPLC,Kenya Power and Lighting,14,20.75,266,285,279,275,4,1.43%,"195,400",31,,
2007-01-05,KPLC,Kenya Power and Lighting,14,20.75,272,300,291,279,12,4.12%,"136,300",32.33,,
2007-01-08,KPLC,Kenya Power and Lighting,14,20.75,298,320,302,291,11,3.64%,"238,300",33.56,,
2007-01-09,KPLC,Kenya Power and Lighting,14,20.75,309,339,328,302,26,7.93%,"278,400",36.44,,
2007-01-10,KPLC,Kenya Power and Lighting,14,20.75,320,355,341,328,13,3.81%,"282,800",37.89,,
2007-01-11,KPLC,Kenya Power and Lighting,14,20.75,310,360,328,341,-13,3.96%,"205,300",36.44,,
2007-01-12,KPLC,Kenya Power and Lighting,14,20.75,317,330,323,328,-5,1.55%,"113,200",35.89,,
2007-01-15,KPLC,Kenya Power and Lighting,14,20.75,310,332,325,323,2,0.62%,"160,300",36.11,,
2007-01-16,KPLC,Kenya Power and Lighting,14,20.75,310,325,316,325,-9,2.85%,"38,300",35.11,,
2007-01-17,KPLC,Kenya Power and Lighting,14,20.75,285,312,302,316,-14,4.64%,"125,100",33.56,,
2007-01-18,KPLC,Kenya Power and Lighting,14,20.75,284,310,300,302,-2,0.67%,"112,000",33.33,,
2007-01-19,KPLC,Kenya Power and Lighting,14,20.75,305,310,307,300,7,2.28%,"50,600",34.11,,
2007-01-22,KPLC,Kenya Power and Lighting,14,20.75,305,320,310,307,3,0.97%,"27,300",34.44,,
2007-01-23,KPLC,Kenya Power and Lighting,14,20.75,300,310,308,310,-2,0.65%,"140,500",34.22,,
2007-01-24,KPLC,Kenya Power and Lighting,14,20.75,300,305,300,308,-8,2.67%,"54,600",33.33,,
2007-01-25,KPLC,Kenya Power and Lighting,14,20.75,290,300,296,300,-4,1.35%,"85,000",32.89,,
2007-01-26,KPLC,Kenya Power and Lighting,14,20.75,275,300,287,296,-9,3.14%,"40,800",31.89,,
2007-01-29,KPLC,Kenya Power and Lighting,14,20.75,290,298,293,287,6,2.05%,"44,900",32.56,,
2007-01-30,KPLC,Kenya Power and Lighting,14,20.75,270,290,278,293,-15,5.40%,"28,100",30.89,,
2007-01-31,KPLC,Kenya Power and Lighting,14,20.75,275,295,283,278,5,1.77%,"84,400",31.44,,
2007-02-01,KPLC,Kenya Power and Lighting,14,20.75,275,290,284,283,1,0.35%,"98,300",31.56,,
2007-02-02,KPLC,Kenya Power and Lighting,14,20.75,275,286,283,284,-1,0.35%,"137,900",31.44,,
2007-02-05,KPLC,Kenya Power and Lighting,14,20.75,275,286,283,283,-,-,"86,700",31.44,,
2007-02-06,KPLC,Kenya Power and Lighting,14,20.75,276,285,282,283,-1,0.35%,"19,000",31.33,,
2007-02-07,KPLC,Kenya Power and Lighting,14,20.75,270,280,276,282,-6,2.17%,"16,500",30.67,,
2007-02-08,KPLC,Kenya Power and Lighting,14,20.75,269,280,274,276,-2,0.73%,"56,200",30.44,,
2007-02-09,KPLC,Kenya Power and Lighting,14,20.75,275,290,280,274,6,2.14%,"62,100",31.11,,
2007-02-12,KPLC,Kenya Power and Lighting,14,20.75,283,289,285,280,5,1.75%,"58,600",31.67,,
2007-02-13,KPLC,Kenya Power and Lighting,14,20.75,284,289,286,285,1,0.35%,"47,300",31.78,,
2007-02-14,KPLC,Kenya Power and Lighting,14,20.75,275,290,284,286,-2,0.70%,"117,100",31.56,,
2007-02-15,KPLC,Kenya Power and Lighting,14,20.75,270,280,273,284,-11,4.03%,"82,200",30.33,,
2007-02-16,KPLC,Kenya Power and Lighting,14,20.75,270,290,277,273,4,1.44%,"51,700",30.78,,
