Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KQ,Kenya Airways,10.25,17.5,117,122,120,119,1,0.83%,"68,200",-,,
2007-01-03,KQ,Kenya Airways,10.25,17.5,117,122,119,120,-1,0.84%,"147,200",-,,
2007-01-04,KQ,Kenya Airways,10.25,17.5,116,121,119,119,-,-,"278,500",-,,
2007-01-05,KQ,Kenya Airways,10.25,17.5,117,121,119,119,-,-,"242,700",-,,
2007-01-08,KQ,Kenya Airways,10.25,17.5,116,121,119,119,-,-,"260,500",-,,
2007-01-09,KQ,Kenya Airways,10.25,17.5,114,119,117,119,-2,1.71%,"518,400",-,,
2007-01-10,KQ,Kenya Airways,10.25,17.5,111,117,115,117,-2,1.74%,"327,200",-,,
2007-01-11,KQ,Kenya Airways,10.25,17.5,112,116,114,115,-1,0.88%,"287,400",-,,
2007-01-12,KQ,Kenya Airways,10.25,17.5,110,115,110,114,-4,3.64%,"618,300",-,,
2007-01-15,KQ,Kenya Airways,10.25,17.5,110,115,112,110,2,1.79%,"295,700",-,,
2007-01-16,KQ,Kenya Airways,10.25,17.5,110,116,113,112,1,0.88%,"449,800",-,,
2007-01-17,KQ,Kenya Airways,10.25,17.5,112,116,114,113,1,0.88%,"312,200",-,,
2007-01-18,KQ,Kenya Airways,10.25,17.5,113,119,115,114,1,0.87%,"453,800",-,,
2007-01-19,KQ,Kenya Airways,10.25,17.5,112,117,115,115,-,-,"321,200",-,,
2007-01-22,KQ,Kenya Airways,10.25,17.5,111,117,114,115,-1,0.88%,"174,000",-,,
2007-01-23,KQ,Kenya Airways,10.25,17.5,112,116,114,114,-,-,"203,800",-,,
2007-01-24,KQ,Kenya Airways,10.25,17.5,112,115,113,114,-1,0.88%,"197,100",-,,
2007-01-25,KQ,Kenya Airways,10.25,17.5,109,114,112,113,-1,0.89%,"65,100",-,,
2007-01-26,KQ,Kenya Airways,10.25,17.5,106,114,112,112,-,-,"275,200",-,,
2007-01-29,KQ,Kenya Airways,10.25,17.5,110,114,111,112,-1,0.90%,"99,200",-,,
2007-01-30,KQ,Kenya Airways,10.25,17.5,108,115,111,111,-,-,"202,100",-,,
2007-01-31,KQ,Kenya Airways,10.25,17.5,104,112,108,111,-3,2.78%,"154,800",-,,
2007-02-01,KQ,Kenya Airways,10.25,17.5,103,110,108,108,-,-,"221,500",-,,
2007-02-02,KQ,Kenya Airways,10.25,17.5,99.5,109,101,108,-7,6.93%,"129,600",-,,
2007-02-05,KQ,Kenya Airways,10.25,17.5,100,106,101,101,-,-,"90,800",-,,
2007-02-06,KQ,Kenya Airways,10.25,17.5,101,107,105,101,4,3.81%,"104,400",-,,
2007-02-07,KQ,Kenya Airways,10.25,17.5,100,108,102,105,-3,2.94%,"208,100",-,,
2007-02-08,KQ,Kenya Airways,10.25,17.5,101,110,106,102,4,3.77%,"181,300",-,,
2007-02-09,KQ,Kenya Airways,10.25,17.5,108,114,110,106,4,3.64%,"58,400",-,,
2007-02-12,KQ,Kenya Airways,10.25,17.5,109,115,112,110,2,1.79%,"123,900",-,,
2007-02-13,KQ,Kenya Airways,10.25,17.5,109,114,111,112,-1,0.90%,"84,600",-,,
2007-02-14,KQ,Kenya Airways,10.25,17.5,109,115,111,111,-,-,"114,100",-,,
2007-02-15,KQ,Kenya Airways,10.25,17.5,107,115,110,111,-1,0.91%,"141,600",-,,
2007-02-16,KQ,Kenya Airways,10.25,17.5,105,114,110,110,-,-,"219,800",-,,
2007-02-19,KQ,Kenya Airways,10.25,17.5,106,112,110,110,-,-,"191,400",-,,
2007-02-20,KQ,Kenya Airways,10.25,17.5,108,112,110,110,-,-,"500,400",-,,
2007-02-21,KQ,Kenya Airways,10.25,17.5,106,110,108,110,-2,1.85%,"87,300",-,,
2007-02-22,KQ,Kenya Airways,10.25,17.5,103,109,107,108,-1,0.93%,"261,600",-,,
2007-02-23,KQ,Kenya Airways,10.25,17.5,101,106,105,107,-2,1.90%,"269,000",-,,
2007-02-26,KQ,Kenya Airways,10.25,17.5,100,107,103,105,-2,1.94%,"189,800",-,,
2007-02-27,KQ,Kenya Airways,10.25,17.5,100,110,103,103,-,-,"168,200",-,,
2007-02-28,KQ,Kenya Airways,10.25,17.5,96,105,102,103,-1,0.98%,"150,300",-,,
2007-03-01,KQ,Kenya Airways,10.25,17.5,95,105,99.5,102,-2.5,2.51%,"147,200",-,,
2007-03-02,KQ,Kenya Airways,10.25,17.5,91,102,98.5,99.5,-1,1.02%,"349,300",-,,
2007-03-05,KQ,Kenya Airways,10.25,17.5,96,102,99.5,98.5,1,1.01%,"510,000",-,,
2007-03-06,KQ,Kenya Airways,10.25,17.5,95,102,100,99.5,0.5,0.50%,"147,000",-,,
2007-03-07,KQ,Kenya Airways,10.25,17.5,93,100,98,100,-2,2.04%,"119,900",-,,
2007-03-08,KQ,Kenya Airways,10.25,17.5,93,99,95,98,-3,3.16%,"100,700",-,,
2007-03-09,KQ,Kenya Airways,10.25,17.5,92,98,96,95,1,1.04%,"56,700",-,,
