Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,KUKZ,Kakuzi,67.5,89,42.5,45,43.5,42.25,1.25,2.87%,"2,700",-,,
2007-01-03,KUKZ,Kakuzi,67.5,89,39,40,39,43.5,-4.5,11.54%,900,-,,
2007-01-04,KUKZ,Kakuzi,67.5,89,40,42.5,41,39,2,4.88%,"3,200",-,,
2007-01-05,KUKZ,Kakuzi,67.5,89,41,42,41.25,41,0.25,0.61%,"1,200",-,,
2007-01-08,KUKZ,Kakuzi,67.5,89,42,45,42.25,41.25,1,2.37%,"5,600",-,,
2007-01-09,KUKZ,Kakuzi,67.5,89,45,46,45,42.25,2.75,6.11%,"33,500",-,,
2007-01-10,KUKZ,Kakuzi,67.5,89,45,46,45.25,45,0.25,0.55%,"10,900",-,,
2007-01-11,KUKZ,Kakuzi,67.5,89,45,46,45,45.25,-0.25,0.56%,"27,200",-,,
2007-01-12,KUKZ,Kakuzi,67.5,89,45,46,45.75,45,0.75,1.64%,"9,700",-,,
2007-01-15,KUKZ,Kakuzi,67.5,89,45,46,45,45.75,-0.75,1.67%,"7,800",-,,
2007-01-16,KUKZ,Kakuzi,67.5,89,45,47,45.25,45,0.25,0.55%,"27,200",-,,
2007-01-17,KUKZ,Kakuzi,67.5,89,45,46,45,45.25,-0.25,0.56%,"18,900",-,,
2007-01-18,KUKZ,Kakuzi,67.5,89,44,46,44.75,45,-0.25,0.56%,"20,800",-,,
2007-01-19,KUKZ,Kakuzi,67.5,89,44,45,44.5,44.75,-0.25,0.56%,"6,900",-,,
2007-01-22,KUKZ,Kakuzi,67.5,89,44,46,45.75,44.5,1.25,2.73%,"26,500",-,,
2007-01-23,KUKZ,Kakuzi,67.5,89,46,47,46.75,45.75,1,2.14%,"25,900",-,,
2007-01-24,KUKZ,Kakuzi,67.5,89,44,46,44.25,46.75,-2.5,5.65%,"3,700",-,,
2007-01-25,KUKZ,Kakuzi,67.5,89,44,46.5,44,44.25,-0.25,0.57%,"8,800",-,,
2007-01-26,KUKZ,Kakuzi,67.5,89,44,45,44,44,-,-,"23,700",-,,
2007-01-29,KUKZ,Kakuzi,67.5,89,41.5,44,42.25,44,-1.75,4.14%,"7,600",-,,
2007-01-30,KUKZ,Kakuzi,67.5,89,44,44,44,42.25,1.75,3.98%,100,-,,
2007-01-31,KUKZ,Kakuzi,67.5,89,42,44,42.75,44,-1.25,2.92%,"3,200",-,,
2007-02-01,KUKZ,Kakuzi,67.5,89,43,44,43.25,42.75,0.5,1.16%,"2,800",-,,
2007-02-02,KUKZ,Kakuzi,67.5,89,40,44,41,43.25,-2.25,5.49%,"3,600",-,,
2007-02-05,KUKZ,Kakuzi,67.5,89,40,42,40.75,41,-0.25,0.61%,"16,800",-,,
2007-02-06,KUKZ,Kakuzi,67.5,89,40.75,41,40.75,40.75,-,-,200,-,,
2007-02-07,KUKZ,Kakuzi,67.5,89,38,38.5,38,40.75,-2.75,7.24%,600,-,,
2007-02-08,KUKZ,Kakuzi,67.5,89,37.5,37.5,37.5,38,-0.5,1.33%,"9,000",-,,
2007-02-09,KUKZ,Kakuzi,67.5,89,40,41,40,37.5,2.5,6.25%,"13,100",-,,
2007-02-12,KUKZ,Kakuzi,67.5,89,37.5,44,43.25,40,3.25,7.51%,"12,700",-,,
2007-02-13,KUKZ,Kakuzi,67.5,89,41,43,42,43.25,-1.25,2.98%,"2,200",-,,
2007-02-14,KUKZ,Kakuzi,67.5,89,42,43,42.5,42,0.5,1.18%,"1,800",-,,
2007-02-15,KUKZ,Kakuzi,67.5,89,42,43,42.75,42.5,0.25,0.58%,"2,400",-,,
2007-02-16,KUKZ,Kakuzi,67.5,89,43,43,43,42.75,0.25,0.58%,"1,200",-,,
2007-02-19,KUKZ,Kakuzi,67.5,89,43,43,43,43,-,-,"3,000",-,,
2007-02-20,KUKZ,Kakuzi,67.5,89,40,43,41.25,43,-1.75,4.24%,"2,600",-,,
2007-02-21,KUKZ,Kakuzi,67.5,89,42,42,42,41.25,0.75,1.79%,"10,000",-,,
2007-02-23,KUKZ,Kakuzi,67.5,89,42,42,42,42,-,-,100,-,,
2007-02-26,KUKZ,Kakuzi,67.5,89,40,42.5,40,42,-2,5.00%,"3,800",-,,
2007-02-27,KUKZ,Kakuzi,67.5,89,38.5,40,39,40,-1,2.56%,"70,600",-,,
2007-02-28,KUKZ,Kakuzi,67.5,89,39,40,39.25,39,0.25,0.64%,"4,400",-,,
2007-03-01,KUKZ,Kakuzi,67.5,89,39,39,39,39.25,-0.25,0.64%,"20,000",-,,
2007-03-02,KUKZ,Kakuzi,67.5,89,35.5,39,36.25,39,-2.75,7.59%,"27,700",-,,
2007-03-05,KUKZ,Kakuzi,67.5,89,37,38.5,38.25,36.25,2,5.23%,"2,100",-,,
2007-03-06,KUKZ,Kakuzi,67.5,89,39,40,39,38.25,0.75,1.92%,"11,000",-,,
2007-03-07,KUKZ,Kakuzi,67.5,89,39,39,39,39,-,-,100,-,,
2007-03-08,KUKZ,Kakuzi,67.5,89,39,40,39,39,-,-,"37,400",-,,
2007-03-09,KUKZ,Kakuzi,67.5,89,40,41,40.5,39,1.5,3.70%,"1,500",-,,
2007-03-12,KUKZ,Kakuzi,67.5,89,41,41,41,40.5,0.5,1.22%,500,-,,
2007-03-14,KUKZ,Kakuzi,67.5,89,40,42,41.25,41,0.25,0.61%,"2,100",-,,
2007-03-15,KUKZ,Kakuzi,67.5,89,39,40,39,41.25,-2.25,5.77%,"12,500",-,,
2007-03-16,KUKZ,Kakuzi,67.5,89,39,39.5,39,39,-,-,"46,500",-,,
2007-03-20,KUKZ,Kakuzi,67.5,89,39,39,39,39,-,-,"40,700",-,,
2007-03-21,KUKZ,Kakuzi,67.5,89,39,39,39,39,-,-,"4,200",-,,
2007-03-22,KUKZ,Kakuzi,67.5,89,39,39,39,39,-,-,100,-,,
2007-03-26,KUKZ,Kakuzi,67.5,89,35.25,36,35.25,39,-3.75,10.64%,"4,900",-,,
2007-03-27,KUKZ,Kakuzi,67.5,89,36,36,36,35.25,0.75,2.08%,"3,000",-,,
2007-03-28,KUKZ,Kakuzi,67.5,89,35,36,35,36,-1,2.86%,"5,000",-,,
2007-03-30,KUKZ,Kakuzi,67.5,89,36,37,36.25,35,1.25,3.45%,700,-,,
2007-04-04,KUKZ,Kakuzi,67.5,89,37.5,38,37.75,36.25,1.5,3.97%,"4,200",-,,
2007-04-05,KUKZ,Kakuzi,67.5,89,38,38,38,37.75,0.25,0.66%,"2,900",-,,
2007-04-10,KUKZ,Kakuzi,67.5,89,41,41,41,38,3,7.32%,"1,000",-,,
2007-04-11,KUKZ,Kakuzi,67.5,89,40,41,40.25,41,-0.75,1.86%,"3,900",-,,
2007-04-12,KUKZ,Kakuzi,67.5,89,40,44,41.25,40.25,1,2.42%,"6,900",-,,
2007-04-13,KUKZ,Kakuzi,67.5,89,40,41,40,41.25,-1.25,3.13%,"29,300",-,,
