Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,6.75,6.75,6.75,6.7,0.05,0.75%,"4,000",-,,
2013-01-03,LBTY,Liberty Kenya Holdings Ltd,6.8,11,7,7,7,6.75,0.25,3.70%,100,-,,
2013-01-04,LBTY,Liberty Kenya Holdings Ltd,6.8,11,7,7,7,7,-,-,"13,700",-,,
2013-01-07,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.9,7,-0.1,1.43%,"65,600",-,,
2013-01-08,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.75,6.9,6.8,6.9,-0.1,1.45%,"19,300",-,,
2013-01-09,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.8,6.9,6.8,6.8,-,-,"55,300",-,,
2013-01-10,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.8,7,6.95,6.8,0.15,2.21%,"143,100",-,,
2013-01-11,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.95,6.95,-,-,"172,500",-,,
2013-01-14,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,6.95,7,6.95,6.95,-,-,"189,800",-,,
2013-01-15,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.95,6.95,-,-,"221,800",-,,
2013-01-16,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.95,7,6.95,6.95,-,-,"418,600",-,,
2013-01-17,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,6.9,7,6.95,6.95,-,-,"301,200",-,,
2013-01-18,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.9,6.95,-0.05,0.72%,"2,600",-,,
2013-01-21,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.9,6.9,-,-,"4,300",-,,
2013-01-22,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.95,6.9,0.05,0.72%,"229,100",-,,
2013-01-23,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,6.9,7,6.95,6.95,-,-,"4,100",-,,
2013-01-24,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,7,7,7,6.95,0.05,0.72%,"39,300",-,,
2013-01-25,LBTY,Liberty Kenya Holdings Ltd,6.8,11,7,7,7,7,-,-,"60,000",-,,
2013-01-28,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.85,7,6.95,7,-0.05,0.71%,"92,900",-,,
2013-01-29,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.95,7,6.95,6.95,-,-,"471,800",-,,
2013-01-30,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,7,7,7,6.95,0.05,0.72%,"2,000",-,,
2013-01-31,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,7,7,7,7,-,-,"10,500",-,,
2013-02-01,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,6.95,7,6.95,7,-0.05,0.71%,"21,200",-,,
