Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-04,LIMT,Limuru Tea,400,500,350,350,350,350,-,-,100,175,,
2007-03-06,LIMT,Limuru Tea,400,500,400,400,400,350,50,12.50%,100,200,,
2007-03-15,LIMT,Limuru Tea,400,500,400,400,400,400,-,-,500,200,,
2007-03-16,LIMT,Limuru Tea,400,500,400,400,400,400,-,-,100,200,,
2007-03-21,LIMT,Limuru Tea,400,500,400,400,400,400,-,-,100,200,,
2007-03-28,LIMT,Limuru Tea,400,500,400,400,400,400,-,-,100,200,,
2007-07-13,LIMT,Limuru Tea,400,500,375,375,375,400,-25,6.67%,300,187.5,,
2008-03-07,LIMT,Limuru Tea,400,500,338,338,338,375,-37,10.95%,100,,,169
2008-07-15,LIMT,Limuru Tea,400,500,338,338,338,338,-,-,100,,,169
2008-10-07,LIMT,Limuru Tea,400,500,338,338,338,338,-,-,100,,,169
2008-10-15,LIMT,Limuru Tea,400,500,338,338,338,338,-,-,200,,,169
2008-12-04,LIMT,Limuru Tea,400,500,305,305,305,338,-33,10.82%,200,,,152.5
2009-02-02,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-03,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-05,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-06,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-09,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-10,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-11,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-12,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-13,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-16,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-17,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-18,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-19,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-20,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-23,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-24,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-25,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-26,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-02-27,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
2009-03-02,LIMT,Limuru Tea,400,500,305,305,305,305,-,-,0,152.5,,
