Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2012-01-03,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,0,11.2,100.00%,0,-,,
2012-01-04,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-05,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-06,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-09,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-10,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-11,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-12,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-13,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-16,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-17,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-18,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-19,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-20,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-23,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-24,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-25,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-26,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-27,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-30,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-01-31,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-01,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-02,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-03,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-06,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-07,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-08,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-09,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-10,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-13,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-14,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-15,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-16,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-17,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-20,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-21,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-22,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-23,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-24,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-27,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-28,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-02-29,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-01,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-02,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-05,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-06,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-07,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-08,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-09,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-12,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-13,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-14,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-15,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-16,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-19,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-20,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-21,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-22,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-23,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-26,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-27,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-28,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-29,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-03-30,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-02,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-03,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-04,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-05,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-10,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-12,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-13,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-16,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-17,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-18,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-19,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-20,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-23,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-25,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-26,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-27,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-04-30,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-02,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-03,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-04,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-07,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-08,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-09,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-10,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-11,LKL,Longhorn Kenya,8.5,21,11.2,11.2,11.2,11.2,-,-,0,-,,
2012-05-30,LKL,Longhorn Kenya,8.5,21,15,20,16.15,-,16.15,100.00%,"4,200",-,,
2012-05-31,LKL,Longhorn Kenya,8.5,21,17.75,17.75,17.75,16.15,1.6,9.01%,600,-,,
2012-06-04,LKL,Longhorn Kenya,8.5,21,18,19.5,18.25,17.75,0.5,2.74%,600,-,,
2012-06-05,LKL,Longhorn Kenya,8.5,21,18.25,18.25,18.25,18.25,-,-,100,-,,
2012-06-06,LKL,Longhorn Kenya,8.5,21,18,20,18.35,18.25,0.1,0.54%,"2,200",-,,
2012-06-07,LKL,Longhorn Kenya,8.5,21,20,20,20,18.35,1.65,8.25%,600,-,,
2012-06-08,LKL,Longhorn Kenya,8.5,21,18,20,19.25,20,-0.75,3.90%,"2,400",-,,
2012-06-11,LKL,Longhorn Kenya,8.5,21,19.25,21,19.75,19.25,0.5,2.53%,"3,900",-,,
2012-06-12,LKL,Longhorn Kenya,8.5,21,20,20,20,19.75,0.25,1.25%,"2,800",-,,
2012-06-13,LKL,Longhorn Kenya,8.5,21,19.75,20,19.9,20,-0.1,0.50%,"1,400",-,,
2012-06-14,LKL,Longhorn Kenya,8.5,21,19.5,19.5,19.5,19.9,-0.4,2.05%,"1,000",-,,
2012-06-15,LKL,Longhorn Kenya,8.5,21,20,20,20,19.5,0.5,2.50%,100,-,,
2012-06-18,LKL,Longhorn Kenya,8.5,21,19.5,19.5,19.5,20,-0.5,2.56%,"1,100",-,,
2012-06-19,LKL,Longhorn Kenya,8.5,21,19.5,19.5,19.5,19.5,-,-,"1,400",-,,
2012-06-20,LKL,Longhorn Kenya,8.5,21,19.5,19.5,19.5,19.5,-,-,300,-,,
2012-06-21,LKL,Longhorn Kenya,8.5,21,19,19,19,19.5,-0.5,2.63%,"1,300",-,,
2012-06-22,LKL,Longhorn Kenya,8.5,21,18.8,19.5,19.45,19,0.45,2.31%,"30,000",-,,
2012-06-25,LKL,Longhorn Kenya,8.5,21,19.45,19.45,19.45,19.45,-,-,0,-,,
2012-06-26,LKL,Longhorn Kenya,8.5,21,19,19,19,19.45,-0.45,2.37%,800,-,,
2012-06-27,LKL,Longhorn Kenya,8.5,21,19.45,19.45,19.45,19,0.45,2.31%,"12,100",-,,
2012-06-28,LKL,Longhorn Kenya,8.5,21,19.45,19.45,19.45,19.45,-,-,0,-,,
2012-06-29,LKL,Longhorn Kenya,8.5,21,18,20,18.5,19.45,-0.95,5.14%,800,-,,
2012-07-02,LKL,Longhorn Kenya,8.5,21,18,19,18.15,18.5,-0.35,1.93%,"1,300",-,,
2012-07-03,LKL,Longhorn Kenya,8.5,21,18,19,18.4,18.15,0.25,1.36%,"2,000",-,,
2012-07-04,LKL,Longhorn Kenya,8.5,21,18.4,19.35,18.65,18.4,0.25,1.34%,700,-,,
2012-07-05,LKL,Longhorn Kenya,8.5,21,18.5,18.5,18.5,18.65,-0.15,0.81%,100,-,,
2012-07-06,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.5,-0.2,1.09%,600,-,,
2012-07-09,LKL,Longhorn Kenya,8.5,21,18.4,18.4,18.4,18.3,0.1,0.54%,"1,000",-,,
2012-07-10,LKL,Longhorn Kenya,8.5,21,18.4,18.45,18.4,18.4,-,-,"1,100",-,,
2012-07-11,LKL,Longhorn Kenya,8.5,21,18.4,18.45,18.4,18.4,-,-,"1,200",-,,
2012-07-12,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.4,-0.1,0.55%,100,-,,
2012-07-13,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,500,-,,
2012-07-16,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,200,-,,
2012-07-17,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,100,-,,
2012-07-18,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,"1,300",-,,
2012-07-19,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-07-20,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,200,-,,
2012-07-23,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-07-24,LKL,Longhorn Kenya,8.5,21,18,18.55,18.35,18.3,0.05,0.27%,"16,800",-,,
2012-07-25,LKL,Longhorn Kenya,8.5,21,18.35,18.35,18.35,18.35,-,-,0,-,,
2012-07-26,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.35,-0.05,0.27%,100,-,,
2012-07-27,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-07-30,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-07-31,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-08-01,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,200,-,,
2012-08-02,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,200,-,,
2012-08-03,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-08-06,LKL,Longhorn Kenya,8.5,21,18.3,18.3,18.3,18.3,-,-,0,-,,
2012-08-07,LKL,Longhorn Kenya,8.5,21,18.05,18.05,18.05,18.3,-0.25,1.39%,400,-,,
2012-08-08,LKL,Longhorn Kenya,8.5,21,18.05,18.05,18.05,18.05,-,-,0,-,,
2012-08-09,LKL,Longhorn Kenya,8.5,21,18.05,18.05,18.05,18.05,-,-,100,-,,
2012-08-10,LKL,Longhorn Kenya,8.5,21,18.05,18.05,18.05,18.05,-,-,100,-,,
2012-08-13,LKL,Longhorn Kenya,8.5,21,18.05,18.05,18.05,18.05,-,-,0,-,,
2012-08-14,LKL,Longhorn Kenya,8.5,21,18,18,18,18.05,-0.05,0.28%,"1,000",-,,
2012-08-15,LKL,Longhorn Kenya,8.5,21,17.95,17.95,17.95,18,-0.05,0.28%,600,-,,
2012-08-16,LKL,Longhorn Kenya,8.5,21,17.95,17.95,17.95,17.95,-,-,0,-,,
2012-08-17,LKL,Longhorn Kenya,8.5,21,17.95,17.95,17.95,17.95,-,-,0,-,,
2012-08-21,LKL,Longhorn Kenya,8.5,21,17.8,17.95,17.8,17.95,-0.15,0.84%,500,-,,
2012-08-22,LKL,Longhorn Kenya,8.5,21,17.95,17.95,17.95,17.8,0.15,0.84%,700,-,,
2012-08-23,LKL,Longhorn Kenya,8.5,21,17.95,17.95,17.95,17.95,-,-,200,-,,
2012-08-24,LKL,Longhorn Kenya,8.5,21,17.8,17.8,17.8,17.95,-0.15,0.84%,100,-,,
2012-08-27,LKL,Longhorn Kenya,8.5,21,17.8,17.8,17.8,17.8,-,-,0,-,,
