Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-05,MASH,Marshalls (E.A.),12,14.2,37,38,37.75,38,-0.25,0.66%,"20,000",-,,
2007-01-08,MASH,Marshalls (E.A.),12,14.2,38,38,38,37.75,0.25,0.66%,500,-,,
2007-01-09,MASH,Marshalls (E.A.),12,14.2,40,40,40,38,2,5.00%,"1,000",-,,
2007-01-10,MASH,Marshalls (E.A.),12,14.2,38,38,38,40,-2,5.26%,"3,500",-,,
2007-01-11,MASH,Marshalls (E.A.),12,14.2,38,41,39.25,38,1.25,3.18%,"3,700",-,,
2007-01-12,MASH,Marshalls (E.A.),12,14.2,38,38,38,39.25,-1.25,3.29%,"10,000",-,,
2007-01-15,MASH,Marshalls (E.A.),12,14.2,37,38,37.75,38,-0.25,0.66%,"20,300",-,,
2007-01-16,MASH,Marshalls (E.A.),12,14.2,39,39,39,37.75,1.25,3.21%,"1,200",-,,
2007-01-17,MASH,Marshalls (E.A.),12,14.2,38,38,38,39,-1,2.63%,200,-,,
2007-01-18,MASH,Marshalls (E.A.),12,14.2,38,38,38,38,-,-,"1,000",-,,
2007-01-22,MASH,Marshalls (E.A.),12,14.2,37,37,37,38,-1,2.70%,"19,600",-,,
2007-01-29,MASH,Marshalls (E.A.),12,14.2,37,37,37,37,-,-,"10,300",-,,
2007-02-02,MASH,Marshalls (E.A.),12,14.2,37,37,37,37,-,-,800,-,,
2007-02-06,MASH,Marshalls (E.A.),12,14.2,37,37,37,37,-,-,"40,000",-,,
2007-02-08,MASH,Marshalls (E.A.),12,14.2,34,34,34,37,-3,8.82%,200,-,,
2007-02-09,MASH,Marshalls (E.A.),12,14.2,32,32,32,34,-2,6.25%,500,-,,
2007-02-12,MASH,Marshalls (E.A.),12,14.2,35,35,35,32,3,8.57%,100,-,,
2007-02-13,MASH,Marshalls (E.A.),12,14.2,32,32,32,35,-3,9.38%,"1,000",-,,
2007-02-14,MASH,Marshalls (E.A.),12,14.2,32,32,32,32,-,-,500,-,,
2007-02-15,MASH,Marshalls (E.A.),12,14.2,29,29,29,32,-3,10.34%,500,-,,
2007-02-16,MASH,Marshalls (E.A.),12,14.2,29,29,29,29,-,-,"1,100",-,,
2007-03-01,MASH,Marshalls (E.A.),12,14.2,27,27,27,29,-2,7.41%,200,-,,
2007-03-05,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,400,-,,
2007-03-06,MASH,Marshalls (E.A.),12,14.2,25,25,25,27,-2,8.00%,500,-,,
2007-03-12,MASH,Marshalls (E.A.),12,14.2,25,25,25,25,-,-,"1,000",-,,
2007-03-13,MASH,Marshalls (E.A.),12,14.2,25,25,25,25,-,-,400,-,,
2007-03-16,MASH,Marshalls (E.A.),12,14.2,23.75,25,24,25,-1,4.17%,800,-,,
2007-03-19,MASH,Marshalls (E.A.),12,14.2,24,25,24.5,24,0.5,2.04%,800,-,,
2007-04-16,MASH,Marshalls (E.A.),12,14.2,24,25,24.25,24.5,-0.25,1.03%,"9,600",-,,
2007-05-02,MASH,Marshalls (E.A.),12,14.2,24,25,24.75,24.25,0.5,2.02%,"15,100",-,,
2007-05-07,MASH,Marshalls (E.A.),12,14.2,25,25,25,24.75,0.25,1.00%,100,-,,
2007-05-08,MASH,Marshalls (E.A.),12,14.2,25,25,25,25,-,-,"4,000",-,,
2007-05-09,MASH,Marshalls (E.A.),12,14.2,25,25,25,25,-,-,"8,000",-,,
2007-05-10,MASH,Marshalls (E.A.),12,14.2,25,25,25,25,-,-,"3,000",-,,
2007-05-11,MASH,Marshalls (E.A.),12,14.2,25,25,25,25,-,-,900,-,,
2007-05-17,MASH,Marshalls (E.A.),12,14.2,25.5,25.5,25.5,25,0.5,1.96%,"1,000",-,,
2007-05-29,MASH,Marshalls (E.A.),12,14.2,28,28,28,25.5,2.5,8.93%,200,-,,
2007-05-30,MASH,Marshalls (E.A.),12,14.2,30,30.75,30,28,2,6.67%,"9,300",-,,
2007-06-04,MASH,Marshalls (E.A.),12,14.2,33,33,33,30,3,9.09%,500,-,,
2007-06-05,MASH,Marshalls (E.A.),12,14.2,36,36,36,33,3,8.33%,500,-,,
2007-06-06,MASH,Marshalls (E.A.),12,14.2,39.5,39.5,39.5,36,3.5,8.86%,"1,200",-,,
2007-06-07,MASH,Marshalls (E.A.),12,14.2,39.5,43.25,41.75,39.5,2.25,5.39%,"3,100",-,,
2007-06-08,MASH,Marshalls (E.A.),12,14.2,42,46,42.25,41.75,0.5,1.18%,"5,500",-,,
2007-06-11,MASH,Marshalls (E.A.),12,14.2,42,45,43,42.25,0.75,1.74%,"5,300",-,,
2007-06-13,MASH,Marshalls (E.A.),12,14.2,42,42,42,43,-1,2.38%,500,-,,
2007-06-14,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,"1,000",-,,
2007-06-15,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,500,-,,
2007-06-18,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,100,-,,
2007-06-19,MASH,Marshalls (E.A.),12,14.2,40,42,40.25,42,-1.75,4.35%,700,-,,
2007-06-21,MASH,Marshalls (E.A.),12,14.2,38,38,38,40.25,-2.25,5.92%,100,-,,
2007-06-22,MASH,Marshalls (E.A.),12,14.2,38,38,38,38,-,-,400,-,,
2007-06-25,MASH,Marshalls (E.A.),12,14.2,38,38,38,38,-,-,500,-,,
2007-07-04,MASH,Marshalls (E.A.),12,14.2,32,32,32,38,-6,18.75%,100,-,,
2007-07-05,MASH,Marshalls (E.A.),12,14.2,35,35,35,32,3,8.57%,"4,000",-,,
2007-07-06,MASH,Marshalls (E.A.),12,14.2,35.5,35.5,35.5,35,0.5,1.41%,300,-,,
2007-07-09,MASH,Marshalls (E.A.),12,14.2,35.5,37,36.5,35.5,1,2.74%,"2,500",-,,
2007-07-10,MASH,Marshalls (E.A.),12,14.2,36,36,36,36.5,-0.5,1.39%,500,-,,
2007-07-11,MASH,Marshalls (E.A.),12,14.2,35,36,35.75,36,-0.25,0.70%,"2,200",-,,
2007-07-12,MASH,Marshalls (E.A.),12,14.2,35,35.5,35,35.75,-0.75,2.14%,"1,500",-,,
2007-07-13,MASH,Marshalls (E.A.),12,14.2,34,35,34.75,35,-0.25,0.72%,"1,700",-,,
2007-07-16,MASH,Marshalls (E.A.),12,14.2,35,35,35,34.75,0.25,0.71%,900,-,,
2007-07-17,MASH,Marshalls (E.A.),12,14.2,34.75,34.75,34.75,35,-0.25,0.72%,500,-,,
2007-07-18,MASH,Marshalls (E.A.),12,14.2,34.75,34.75,34.75,34.75,-,-,100,-,,
2007-07-20,MASH,Marshalls (E.A.),12,14.2,35,35,35,34.75,0.25,0.71%,100,-,,
2007-07-27,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,100,-,,
2007-08-01,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,600,-,,
2007-08-02,MASH,Marshalls (E.A.),12,14.2,38,38,38,35,3,7.89%,"10,000",-,,
2007-08-03,MASH,Marshalls (E.A.),12,14.2,35,36,35.5,38,-2.5,7.04%,"1,500",-,,
2007-08-06,MASH,Marshalls (E.A.),12,14.2,35,35,35,35.5,-0.5,1.43%,500,-,,
2007-08-07,MASH,Marshalls (E.A.),12,14.2,35.5,35.5,35.5,35,0.5,1.41%,"3,200",-,,
2007-08-09,MASH,Marshalls (E.A.),12,14.2,35.5,35.5,35.5,35.5,-,-,600,-,,
2007-08-10,MASH,Marshalls (E.A.),12,14.2,36,36,36,35.5,0.5,1.39%,200,-,,
2007-08-16,MASH,Marshalls (E.A.),12,14.2,36,36,36,36,-,-,100,-,,
2007-08-21,MASH,Marshalls (E.A.),12,14.2,35,35,35,36,-1,2.86%,100,-,,
2007-08-23,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,100,-,,
2007-08-31,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,900,-,,
2007-09-03,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"1,000",-,,
2007-09-04,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"5,000",-,,
2007-09-05,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"5,000",-,,
2007-09-06,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"5,000",-,,
2007-09-07,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"1,000",-,,
2007-09-10,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"1,400",-,,
2007-09-12,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,400,-,,
2007-09-17,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,200,-,,
2007-09-18,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"1,000",-,,
2007-09-19,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"1,000",-,,
2007-09-20,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"3,800",-,,
2007-09-24,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"1,000",-,,
2007-09-25,MASH,Marshalls (E.A.),12,14.2,34,35,34.75,35,-0.25,0.72%,"24,100",-,,
2007-09-26,MASH,Marshalls (E.A.),12,14.2,35,35,35,34.75,0.25,0.71%,"10,500",-,,
2007-09-28,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"5,000",-,,
2007-10-01,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"6,000",-,,
2007-10-02,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"24,100",-,,
2007-10-04,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"9,500",-,,
2007-10-09,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"10,000",-,,
2007-10-12,MASH,Marshalls (E.A.),12,14.2,35,35,35,35,-,-,"2,000",-,,
2007-10-16,MASH,Marshalls (E.A.),12,14.2,36,36,36,35,1,2.78%,"2,000",-,,
2007-10-17,MASH,Marshalls (E.A.),12,14.2,35,35,35,36,-1,2.86%,800,-,,
2007-10-18,MASH,Marshalls (E.A.),12,14.2,35,36,35.25,35,0.25,0.71%,"3,000",-,,
2007-10-22,MASH,Marshalls (E.A.),12,14.2,35,36,35.75,35.25,0.5,1.40%,"5,000",-,,
2007-10-23,MASH,Marshalls (E.A.),12,14.2,36,36,36,35.75,0.25,0.69%,"5,000",-,,
2007-10-25,MASH,Marshalls (E.A.),12,14.2,36,36,36,36,-,-,"3,300",-,,
2007-10-26,MASH,Marshalls (E.A.),12,14.2,36,36,36,36,-,-,"2,800",-,,
2007-10-29,MASH,Marshalls (E.A.),12,14.2,36.5,36.5,36.5,36,0.5,1.37%,"1,000",-,,
2007-10-30,MASH,Marshalls (E.A.),12,14.2,36,36,36,36.5,-0.5,1.39%,500,-,,
2007-10-31,MASH,Marshalls (E.A.),12,14.2,36.5,36.5,36.5,36,0.5,1.37%,"1,000",-,,
2007-11-02,MASH,Marshalls (E.A.),12,14.2,36,36,36,36.5,-0.5,1.39%,100,-,,
2007-11-06,MASH,Marshalls (E.A.),12,14.2,37,37,37,36,1,2.70%,"1,000",-,,
2007-11-07,MASH,Marshalls (E.A.),12,14.2,37.5,40,37.75,37,0.75,1.99%,"5,300",-,,
2007-11-08,MASH,Marshalls (E.A.),12,14.2,41,41,41,37.75,3.25,7.93%,"1,500",-,,
2007-11-09,MASH,Marshalls (E.A.),12,14.2,43,45,43.75,41,2.75,6.29%,"2,500",-,,
2007-11-12,MASH,Marshalls (E.A.),12,14.2,47,47,47,43.75,3.25,6.91%,"1,000",-,,
2007-11-13,MASH,Marshalls (E.A.),12,14.2,47,47,47,47,-,-,500,-,,
2007-11-14,MASH,Marshalls (E.A.),12,14.2,47,47,47,47,-,-,100,-,,
2007-11-15,MASH,Marshalls (E.A.),12,14.2,43,45,43,47,-4,9.30%,"1,000",-,,
2007-11-16,MASH,Marshalls (E.A.),12,14.2,40,40,40,43,-3,7.50%,100,-,,
2007-11-19,MASH,Marshalls (E.A.),12,14.2,40,40,40,40,-,-,"1,300",-,,
2007-11-21,MASH,Marshalls (E.A.),12,14.2,41,45,43.25,40,3.25,7.51%,"8,400",-,,
2007-11-22,MASH,Marshalls (E.A.),12,14.2,42,42,42,43.25,-1.25,2.98%,200,-,,
2007-11-26,MASH,Marshalls (E.A.),12,14.2,42,44,43.25,42,1.25,2.89%,"8,100",-,,
2007-11-27,MASH,Marshalls (E.A.),12,14.2,42,42,42,43.25,-1.25,2.98%,"1,000",-,,
2007-11-28,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,"3,100",-,,
2007-12-03,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,"1,000",-,,
2007-12-05,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,"1,000",-,,
2007-12-06,MASH,Marshalls (E.A.),12,14.2,42,42,42,42,-,-,"5,000",-,,
2007-12-10,MASH,Marshalls (E.A.),12,14.2,38,39.25,38.5,42,-3.5,9.09%,"6,200",-,,
2007-12-13,MASH,Marshalls (E.A.),12,14.2,39,40,39.5,38.5,1,2.53%,"1,200",-,,
2007-12-18,MASH,Marshalls (E.A.),12,14.2,39.5,39.5,39.5,39.5,-,-,500,-,,
2007-12-24,MASH,Marshalls (E.A.),12,14.2,39,39,39,39.5,-0.5,1.28%,"1,100",-,,
2008-03-06,MASH,Marshalls (E.A.),12,14.2,39,39,39,39,-,-,100,,,-
2008-04-04,MASH,Marshalls (E.A.),12,14.2,39,39,39,39,-,-,"2,000",,,-
2008-04-07,MASH,Marshalls (E.A.),12,14.2,42.5,42.5,42.5,39,3.5,8.24%,"2,000",,,-
2008-04-08,MASH,Marshalls (E.A.),12,14.2,46,46.5,46.25,42.5,3.75,8.11%,600,,,-
2008-04-10,MASH,Marshalls (E.A.),12,14.2,43,43,43,46.25,-3.25,7.56%,100,,,-
2008-04-11,MASH,Marshalls (E.A.),12,14.2,44,44,44,43,1,2.27%,"3,500",,,-
2008-05-02,MASH,Marshalls (E.A.),12,14.2,39.75,39.75,39.75,44,-4.25,10.69%,500,,,-
2008-06-11,MASH,Marshalls (E.A.),12,14.2,36,36,36,39.75,-3.75,10.42%,100,,,-
2008-07-01,MASH,Marshalls (E.A.),12,14.2,32.5,32.5,32.5,36,-3.5,10.77%,800,,,-
2008-07-03,MASH,Marshalls (E.A.),12,14.2,30,30,30,32.5,-2.5,8.33%,400,,,-
2008-07-04,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,"2,500",,,-
2008-07-07,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,"16,900",,,-
2008-07-08,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,"17,500",,,-
2008-07-10,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,900,,,-
2008-07-24,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,100,,,-
2008-07-25,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,900,,,-
2008-08-11,MASH,Marshalls (E.A.),12,14.2,30.5,30.5,30.5,30,0.5,1.64%,200,,,-
2008-09-02,MASH,Marshalls (E.A.),12,14.2,30,30,30,30.5,-0.5,1.67%,200,,,-
2008-11-03,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,100,,,-
2008-11-04,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,"26,200",,,-
2008-11-05,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,"18,800",,,-
2008-11-10,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,100,,,-
2008-11-13,MASH,Marshalls (E.A.),12,14.2,30,30,30,30,-,-,"19,900",,,-
2008-11-26,MASH,Marshalls (E.A.),12,14.2,27,27,27,30,-3,11.11%,"48,900",,,-
2008-12-30,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,"8,400",,,-
2009-02-02,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-03,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-05,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-06,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-09,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-10,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-11,MASH,Marshalls (E.A.),12,14.2,27,27,27,27,-,-,0,-,,
2009-02-12,MASH,Marshalls (E.A.),12,14.2,24.5,24.5,24.5,27,-2.5,10.20%,"2,200",-,,
2009-02-13,MASH,Marshalls (E.A.),12,14.2,24.5,24.5,24.5,24.5,-,-,0,-,,
2009-02-16,MASH,Marshalls (E.A.),12,14.2,24.5,24.5,24.5,24.5,-,-,0,-,,
2009-02-17,MASH,Marshalls (E.A.),12,14.2,24.5,24.5,24.5,24.5,-,-,0,-,,
2009-02-18,MASH,Marshalls (E.A.),12,14.2,24.5,24.5,24.5,24.5,-,-,0,-,,
