Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,MSC,Mumias Sugar,4,7.35,52,55,53.5,54,-0.5,0.93%,"210,600",17.83,,
2007-01-03,MSC,Mumias Sugar,4,7.35,50,54,52,53.5,-1.5,2.88%,"189,000",17.33,,
2007-01-04,MSC,Mumias Sugar,4,7.35,50,53.5,52,52,-,-,"350,700",17.33,,
2007-01-05,MSC,Mumias Sugar,4,7.35,50,52.5,51,52,-1,1.96%,"310,200",17,,
2007-01-08,MSC,Mumias Sugar,4,7.35,50,53,51,51,-,-,"279,800",17,,
2007-01-09,MSC,Mumias Sugar,4,7.35,50,51.5,50.5,51,-0.5,0.99%,"266,500",16.83,,
2007-01-10,MSC,Mumias Sugar,4,7.35,50,51.5,50.5,50.5,-,-,"360,400",16.83,,
2007-01-11,MSC,Mumias Sugar,4,7.35,48,51,49.75,50.5,-0.75,1.51%,"756,600",16.58,,
2007-01-12,MSC,Mumias Sugar,4,7.35,48.25,50,49.75,49.75,-,-,"147,300",16.58,,
2007-01-15,MSC,Mumias Sugar,4,7.35,48,50.5,49.5,49.75,-0.25,0.51%,"197,900",16.5,,
2007-01-16,MSC,Mumias Sugar,4,7.35,46.75,50,48.25,49.5,-1.25,2.59%,"300,500",16.08,,
2007-01-17,MSC,Mumias Sugar,4,7.35,46,49,47.5,48.25,-0.75,1.58%,"344,700",15.83,,
2007-01-18,MSC,Mumias Sugar,4,7.35,47.75,50,48.25,47.5,0.75,1.55%,"125,900",16.08,,
2007-01-19,MSC,Mumias Sugar,4,7.35,46.5,53,50.5,48.25,2.25,4.46%,"379,300",16.83,,
2007-01-22,MSC,Mumias Sugar,4,7.35,48,51,49.5,50.5,-1,2.02%,"126,000",16.5,,
2007-01-23,MSC,Mumias Sugar,4,7.35,49,52,50,49.5,0.5,1.00%,"275,600",16.67,,
2007-01-24,MSC,Mumias Sugar,4,7.35,47,51,49,50,-1,2.04%,"386,900",16.33,,
2007-01-25,MSC,Mumias Sugar,4,7.35,48,50,48.25,49,-0.75,1.55%,"427,500",16.08,,
2007-01-26,MSC,Mumias Sugar,4,7.35,45.75,49,47.75,48.25,-0.5,1.05%,"404,200",15.92,,
2007-01-29,MSC,Mumias Sugar,4,7.35,45,50,47.75,47.75,-,-,"786,700",15.92,,
