Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,^N20I,NSE 20-Share Index,"3,396.83","5,030.91","5,679.57","5,679.57","5,679.57","5,640.91",38.66,0.68%,"3,360,000",-,,
2007-01-03,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,714.18","5,714.18","5,714.18","5,679.57",34.61,0.61%,"4,520,000",-,,
2007-01-04,^N20I,NSE 20-Share Index,"3,396.83","5,030.91","5,811.58","5,811.58","5,811.58","5,714.18",97.4,1.68%,"6,400,000",-,,
2007-01-05,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,895.68","5,895.68","5,895.68","5,811.58",84.1,1.43%,"6,290,000",-,,
2007-01-08,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,962.46","5,962.46","5,962.46","5,895.68",66.78,1.12%,"6,570,000",-,,
2007-01-09,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,026.51","6,026.51","6,026.51","5,962.46",64.05,1.06%,"7,380,000",-,,
2007-01-10,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,085.59","6,085.59","6,085.59","6,026.51",59.08,0.97%,"7,440,000",-,,
2007-01-11,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,117.35","6,117.35","6,117.35","6,085.59",31.76,0.52%,"7,590,000",-,,
2007-01-12,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,161.46","6,161.46","6,161.46","6,117.35",44.11,0.72%,"9,630,000",-,,
2007-01-15,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,125.28","6,125.28","6,125.28","6,161.46",-36.18,0.59%,"5,870,000",-,,
2007-01-16,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,066.66","6,066.66","6,066.66","6,125.28",-58.62,0.97%,"6,920,000",-,,
2007-01-17,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,041.42","6,041.42","6,041.42","6,066.66",-25.24,0.42%,"6,840,000",-,,
2007-01-18,^N20I,NSE 20-Share Index,"3,396.83","5,030.91","6,030.83","6,030.83","6,030.83","6,041.42",-10.59,0.18%,"5,720,000",-,,
2007-01-19,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,025.41","6,025.41","6,025.41","6,030.83",-5.42,0.09%,"6,840,000",-,,
2007-01-22,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,027.17","6,027.17","6,027.17","6,025.41",1.76,0.03%,"4,740,000",-,,
2007-01-23,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,060.21","6,060.21","6,060.21","6,027.17",33.04,0.55%,"5,310,000",-,,
2007-01-24,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,016.47","6,016.47","6,016.47","6,060.21",-43.74,0.73%,"6,790,000",-,,
2007-01-25,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","6,010.17","6,010.17","6,010.17","6,016.47",-6.3,0.10%,"6,930,000",-,,
2007-01-26,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,961.61","5,961.61","5,961.61","6,010.17",-48.56,0.81%,"5,640,000",-,,
2007-01-29,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,949.71","5,949.71","5,949.71","5,961.61",-11.9,0.20%,"4,600,000",-,,
2007-01-30,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,870.68","5,870.68","5,870.68","5,949.71",-79.03,1.35%,"5,520,000",-,,
2007-01-31,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,774.27","5,774.27","5,774.27","5,870.68",-96.41,1.67%,"5,300,000",-,,
2007-02-01,^N20I,NSE 20-Share Index,"3,396.83","5,030.91","5,739.05","5,739.05","5,739.05","5,774.27",-35.22,0.61%,"4,760,000",-,,
2007-02-02,^N20I,NSE 20-Share Index,"3,396.83","5,030.91","5,663.65","5,663.65","5,663.65","5,739.05",-75.4,1.33%,"5,070,000",-,,
2007-02-05,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,633.61","5,633.61","5,633.61","5,663.65",-30.04,0.53%,"4,680,000",-,,
2007-02-06,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,628.88","5,628.88","5,628.88","5,633.61",-4.73,0.08%,"5,670,000",-,,
2007-02-07,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,649.99","5,649.99","5,649.99","5,628.88",21.11,0.37%,"5,190,000",-,,
2007-02-08,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,710.21","5,710.21","5,710.21","5,649.99",60.22,1.05%,"5,110,000",-,,
2007-02-09,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,817.04","5,817.04","5,817.04","5,710.21",106.83,1.84%,"5,360,000",-,,
2007-02-12,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,895.18","5,895.18","5,895.18","5,817.04",78.14,1.33%,"4,610,000",-,,
2007-02-13,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,884.26","5,884.26","5,884.26","5,895.18",-10.92,0.19%,"5,460,000",-,,
2007-02-14,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,867.03","5,867.03","5,867.03","5,884.26",-17.23,0.29%,"6,240,000",-,,
2007-02-15,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,773.29","5,773.29","5,773.29","5,867.03",-93.74,1.62%,"5,260,000",-,,
2007-02-16,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,798.73","5,798.73","5,798.73","5,773.29",25.44,0.44%,"6,570,000",-,,
2007-02-19,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,766.46","5,766.46","5,766.46","5,798.73",-32.27,0.56%,"6,120,000",-,,
2007-02-20,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,771.39","5,771.39","5,771.39","5,766.46",4.93,0.09%,"4,970,000",-,,
2007-02-21,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,816.77","5,816.77","5,816.77","5,771.39",45.38,0.78%,"6,540,000",-,,
2007-02-22,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,763.85","5,763.85","5,763.85","5,816.77",-52.92,0.92%,"6,090,000",-,,
2007-02-23,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,732.67","5,732.67","5,732.67","5,763.85",-31.18,0.54%,"5,350,000",-,,
2007-02-26,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,665.79","5,665.79","5,665.79","5,732.67",-66.88,1.18%,"5,230,000",-,,
2007-02-27,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,534.20","5,534.20","5,534.20","5,665.79",-131.59,2.38%,"5,820,000",-,,
2007-02-28,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,387.28","5,387.28","5,387.28","5,534.20",-146.92,2.73%,"4,860,000",-,,
2007-03-01,^N20I,NSE 20-Share Index,"3,396.83","5,030.91","5,237.68","5,237.68","5,237.68","5,387.28",-149.6,2.86%,"4,740,000",-,,
2007-03-02,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,245.62","5,245.62","5,245.62","5,237.68",7.94,0.15%,"5,140,000",-,,
2007-03-05,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,292.14","5,292.14","5,292.14","5,245.62",46.52,0.88%,"4,700,000",-,,
2007-03-06,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,252.46","5,252.46","5,252.46","5,292.14",-39.68,0.76%,"4,410,000",-,,
2007-03-07,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,254.52","5,254.52","5,254.52","5,252.46",2.06,0.04%,"4,590,000",-,,
2007-03-08,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,256.53","5,256.53","5,256.53","5,254.52",2.01,0.04%,"5,310,000",-,,
2007-03-09,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,268.99","5,268.99","5,268.99","5,256.53",12.46,0.24%,"5,540,000",-,,
2007-03-12,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,239.01","5,239.01","5,239.01","5,268.99",-29.98,0.57%,"7,310,000",-,,
2007-03-13,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,250.04","5,250.04","5,250.04","5,239.01",11.03,0.21%,"7,630,000",-,,
2007-03-14,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,241.25","5,241.25","5,241.25","5,250.04",-8.79,0.17%,"5,850,000",-,,
2007-03-15,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,200.75","5,200.75","5,200.75","5,241.25",-40.5,0.78%,"6,630,000",-,,
2007-03-16,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,171.13","5,171.13","5,171.13","5,200.75",-29.62,0.57%,"6,310,000",-,,
2007-03-19,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,103.83","5,103.83","5,103.83","5,171.13",-67.3,1.32%,"3,640,000",-,,
2007-03-20,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,961.89","4,961.89","4,961.89","5,103.83",-141.94,2.86%,"5,570,000",-,,
2007-03-21,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,809.72","4,809.72","4,809.72","4,961.89",-152.17,3.16%,"4,340,000",-,,
2007-03-22,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,637.31","4,637.31","4,637.31","4,809.72",-172.41,3.72%,"3,990,000",-,,
2007-03-23,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,465.09","4,465.09","4,465.09","4,637.31",-172.22,3.86%,"3,520,000",-,,
2007-03-26,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,489.76","4,489.76","4,489.76","4,465.09",24.67,0.55%,"4,340,000",-,,
2007-03-27,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,614.40","4,614.40","4,614.40","4,489.76",124.64,2.70%,"3,670,000",-,,
2007-03-28,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,791.22","4,791.22","4,791.22","4,614.40",176.82,3.69%,"4,210,000",-,,
2007-03-29,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","4,978.93","4,978.93","4,978.93","4,791.22",187.71,3.77%,"7,640,000",-,,
2007-03-30,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,133.67","5,133.67","5,133.67","4,978.93",154.74,3.01%,"5,020,000",-,,
2007-04-02,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,154.76","5,154.76","5,154.76","5,133.67",21.09,0.41%,"5,650,000",-,,
2007-04-03,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,183.11","5,183.11","5,183.11","5,154.76",28.35,0.55%,"5,320,000",-,,
2007-04-04,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,216.68","5,216.68","5,216.68","5,183.11",33.57,0.64%,"6,870,000",-,,
2007-04-05,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,215.20","5,215.20","5,215.20","5,216.68",-1.48,0.03%,"6,100,000",-,,
2007-04-10,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,227.81","5,227.81","5,227.81","5,215.20",12.61,0.24%,"3,830,000",-,,
2007-04-11,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,218.64","5,218.64","5,218.64","5,227.81",-9.17,0.18%,"4,950,000",-,,
2007-04-12,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,228.75","5,228.75","5,228.75","5,218.64",10.11,0.19%,"4,120,000",-,,
2007-04-13,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,242.88","5,242.88","5,242.88","5,228.75",14.13,0.27%,"4,370,000",-,,
2007-04-16,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,228.88","5,228.88","5,228.88","5,242.88",-14,0.27%,"3,640,000",-,,
2007-04-17,^N20I,NSE 20-Share Index,"3,443.94","5,030.91","5,185.67","5,185.67","5,185.67","5,228.88",-43.21,0.83%,"4,760,000",-,,
