Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2024-04-12,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.79,988.79,988.79,"1,140.07",-151.28,13.27%,-,,-,
2024-04-15,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.74,988.74,988.74,988.79,-0.05,0.01%,-,,-,
2024-04-16,^NBDI,NSE Bonds Index,986.46,"1,042.42",992.86,992.86,992.86,988.74,4.12,0.42%,-,,-,
2024-04-17,^NBDI,NSE Bonds Index,986.46,"1,042.42",991.89,991.89,991.89,992.86,-0.97,0.10%,-,,-,
2024-04-18,^NBDI,NSE Bonds Index,986.46,"1,042.42",991.11,991.11,991.11,991.89,-0.78,0.08%,-,,-,
2024-04-19,^NBDI,NSE Bonds Index,986.46,"1,042.42",993.85,993.85,993.85,991.11,2.74,0.28%,-,,-,
2024-04-22,^NBDI,NSE Bonds Index,986.46,"1,042.42",996.83,996.83,996.83,993.85,2.98,0.30%,-,,-,
2024-04-23,^NBDI,NSE Bonds Index,986.46,"1,042.42",993.59,993.59,993.59,996.83,-3.24,0.33%,-,,-,
2024-04-24,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.20,999.20,999.20,993.59,5.61,0.56%,-,,-,
2024-04-25,^NBDI,NSE Bonds Index,986.46,"1,042.42",997.94,997.94,997.94,999.20,-1.26,0.13%,-,,-,
2024-04-26,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.40,999.40,999.40,997.94,1.46,0.15%,-,,-,
2024-04-29,^NBDI,NSE Bonds Index,986.46,"1,042.42",997.61,997.61,997.61,999.40,-1.79,0.18%,-,,-,
2024-04-30,^NBDI,NSE Bonds Index,986.46,"1,042.42",998.86,998.86,998.86,997.61,1.25,0.13%,-,,-,
2024-05-02,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,002.48","1,002.48","1,002.48",998.86,3.62,0.36%,-,,-,
2024-05-03,^NBDI,NSE Bonds Index,986.46,"1,042.42",998.36,998.36,998.36,"1,002.48",-4.12,0.41%,-,,-,
2024-05-06,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.81,999.81,999.81,998.36,1.45,0.15%,-,,-,
2024-05-07,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.70,999.70,999.70,999.81,-0.11,0.01%,-,,-,
2024-05-08,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.24,999.24,999.24,999.70,-0.46,0.05%,-,,-,
2024-05-09,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.59,999.59,999.59,999.24,0.35,0.04%,-,,-,
2024-05-13,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.42,999.42,999.42,999.59,-0.17,0.02%,-,,-,
2024-05-14,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,000.24","1,000.24","1,000.24",999.42,0.82,0.08%,-,,-,
2024-05-15,^NBDI,NSE Bonds Index,986.46,"1,042.42",996.83,996.83,996.83,"1,000.24",-3.41,0.34%,-,,-,
2024-05-16,^NBDI,NSE Bonds Index,986.46,"1,042.42",997.49,997.49,997.49,996.83,0.66,0.07%,-,,-,
2024-05-17,^NBDI,NSE Bonds Index,986.46,"1,042.42",997.13,997.13,997.13,997.49,-0.36,0.04%,-,,-,
2024-05-20,^NBDI,NSE Bonds Index,986.46,"1,042.42",996.78,996.78,996.78,997.13,-0.35,0.04%,-,,-,
2024-05-21,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,000.42","1,000.42","1,000.42",996.78,3.64,0.37%,-,,-,
2024-05-22,^NBDI,NSE Bonds Index,986.46,"1,042.42",996.75,996.75,996.75,"1,000.42",-3.67,0.37%,-,,-,
2024-05-23,^NBDI,NSE Bonds Index,986.46,"1,042.42",999.66,999.66,999.66,996.75,2.91,0.29%,-,,-,
2024-05-24,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,000.87","1,000.87","1,000.87",999.66,1.21,0.12%,-,,-,
2024-05-27,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,000.64","1,000.64","1,000.64","1,000.87",-0.23,0.02%,-,,-,
2024-05-28,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,000.15","1,000.15","1,000.15","1,000.64",-0.49,0.05%,-,,-,
2024-05-29,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,005.41","1,005.41","1,005.41","1,000.15",5.26,0.53%,-,,-,
2024-05-30,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,010.41","1,010.41","1,010.41","1,005.41",5,0.50%,-,,-,
2024-05-31,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,006.17","1,006.17","1,006.17","1,010.41",-4.24,0.42%,-,,-,
2024-06-03,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,005.18","1,005.18","1,005.18","1,006.17",-0.99,0.10%,-,,-,
2024-06-04,^NBDI,NSE Bonds Index,986.46,"1,042.42",997.28,997.28,997.28,"1,005.18",-7.9,0.79%,-,,-,
2024-06-05,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,002.78","1,002.78","1,002.78",997.28,5.5,0.55%,-,,-,
2024-06-06,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,008.94","1,008.94","1,008.94","1,002.78",6.16,0.61%,-,,-,
2024-06-07,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,014.80","1,014.80","1,014.80","1,008.94",5.86,0.58%,-,,-,
2024-06-10,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,016.69","1,016.69","1,016.69","1,014.80",1.89,0.19%,-,,-,
2024-06-11,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,018.16","1,018.16","1,018.16","1,016.69",1.47,0.14%,-,,-,
2024-06-12,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,020.55","1,020.55","1,020.55","1,018.16",2.39,0.23%,-,,-,
2024-06-13,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,012.33","1,012.33","1,012.33","1,020.55",-8.22,0.81%,-,,-,
2024-06-14,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,015.47","1,015.47","1,015.47","1,012.33",3.14,0.31%,-,,-,
2024-06-18,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,021.26","1,021.26","1,021.26","1,015.47",5.79,0.57%,-,,-,
2024-06-19,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,034.32","1,034.32","1,034.32","1,021.26",13.06,1.28%,-,,-,
2024-06-20,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,029.59","1,029.59","1,029.59","1,034.32",-4.73,0.46%,-,,-,
2024-06-21,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,037.33","1,037.33","1,037.33","1,029.59",7.74,0.75%,-,,-,
2024-06-24,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,038.90","1,038.90","1,038.90","1,037.33",1.57,0.15%,-,,-,
2024-06-25,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,038.96","1,038.96","1,038.96","1,038.90",0.06,0.01%,-,,-,
2024-06-26,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,037.28","1,037.28","1,037.28","1,038.96",-1.68,0.16%,-,,-,
2024-06-27,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,037.32","1,037.32","1,037.32","1,037.28",0.04,-,-,,-,
2024-07-01,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,039.61","1,039.61","1,039.61","1,040.12",-0.51,0.05%,-,,-,
2024-07-02,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,039.93","1,039.93","1,039.93","1,039.61",0.32,0.03%,-,,-,
2024-07-03,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,040.93","1,040.93","1,040.93","1,039.93",1,0.10%,-,,-,
2024-07-04,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,041.17","1,041.17","1,041.17","1,040.93",0.24,0.02%,-,,-,
2024-07-05,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,041.15","1,041.15","1,041.15","1,041.17",-0.02,-,-,,-,
2024-07-08,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,041.64","1,041.64","1,041.64","1,041.15",0.49,0.05%,-,,-,
2024-07-09,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,042.39","1,042.39","1,042.39","1,041.64",0.75,0.07%,-,,-,
2024-07-10,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,042.42","1,042.42","1,042.42","1,042.39",0.03,-,-,,-,
2024-07-11,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,038.33","1,038.33","1,038.33","1,042.42",-4.09,0.39%,-,,-,
2024-07-12,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,033.53","1,033.53","1,033.53","1,038.33",-4.8,0.46%,-,,-,
2024-07-15,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,033.80","1,033.80","1,033.80","1,033.53",0.27,0.03%,-,,-,
2024-07-16,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,033.98","1,033.98","1,033.98","1,033.80",0.18,0.02%,-,,-,
2024-07-17,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,033.79","1,033.79","1,033.79","1,033.98",-0.19,0.02%,-,,-,
2024-07-18,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,020.85","1,020.85","1,020.85","1,033.79",-12.94,1.25%,-,,-,
2024-07-19,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,021.16","1,021.16","1,021.16","1,020.85",0.31,0.03%,-,,-,
2024-07-22,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,021.00","1,021.00","1,021.00","1,021.16",-0.16,0.02%,-,,-,
2024-07-23,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,027.62","1,027.62","1,027.62","1,021.00",6.62,0.65%,-,,-,
2024-07-24,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,030.79","1,030.79","1,030.79","1,027.62",3.17,0.31%,-,,-,
2024-07-25,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,031.41","1,031.41","1,031.41","1,030.79",0.62,0.06%,-,,-,
2024-07-26,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,031.22","1,031.22","1,031.22","1,031.41",-0.19,0.02%,-,,-,
2024-07-29,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,031.34","1,031.34","1,031.34","1,031.22",0.12,0.01%,-,,-,
2024-07-30,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,032.28","1,032.28","1,032.28","1,031.34",0.94,0.09%,-,,-,
2024-07-31,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,032.22","1,032.22","1,032.22","1,032.28",-0.06,0.01%,-,,-,
2024-08-01,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,032.25","1,032.25","1,032.25","1,032.22",0.03,-,-,,-,
2024-08-02,^NBDI,NSE Bonds Index,986.46,"1,042.42","1,028.38","1,028.38","1,028.38","1,032.25",-3.87,0.37%,-,,-,
2024-08-05,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.77,989.77,989.77,"1,028.38",-38.61,3.75%,-,,-,
2024-08-06,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.18,989.18,989.18,989.77,-0.59,0.06%,-,,-,
2024-08-07,^NBDI,NSE Bonds Index,986.46,"1,042.42",986.46,986.46,986.46,989.18,-2.72,0.27%,-,,-,
2024-08-08,^NBDI,NSE Bonds Index,986.46,"1,042.42",992.45,992.45,992.45,986.46,5.99,0.61%,-,,-,
2024-08-09,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.87,989.87,989.87,992.45,-2.58,0.26%,-,,-,
2024-08-12,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.99,989.99,989.99,989.87,0.12,0.01%,-,,-,
2024-08-13,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.89,988.89,988.89,989.99,-1.1,0.11%,-,,-,
2024-08-14,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.92,988.92,988.92,988.89,0.03,-,-,,-,
2024-08-15,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.44,988.44,988.44,988.92,-0.48,0.05%,-,,-,
2024-08-16,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.80,988.80,988.80,988.44,0.36,0.04%,-,,-,
2024-08-19,^NBDI,NSE Bonds Index,986.46,"1,042.42",988.90,988.90,988.90,988.80,0.1,0.01%,-,,-,
2024-08-20,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.41,989.41,989.41,988.90,0.51,0.05%,-,,-,
2024-08-21,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.93,989.93,989.93,989.41,0.52,0.05%,-,,-,
2024-08-22,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.58,989.58,989.58,989.93,-0.35,0.04%,-,,-,
2024-08-23,^NBDI,NSE Bonds Index,986.46,"1,042.42",990.03,990.03,990.03,989.58,0.45,0.05%,-,,-,
2024-08-26,^NBDI,NSE Bonds Index,986.46,"1,042.42",990.10,990.10,990.10,990.03,0.07,0.01%,-,,-,
2024-08-27,^NBDI,NSE Bonds Index,986.46,"1,042.42",990.13,990.13,990.13,990.10,0.03,-,-,,-,
2024-08-28,^NBDI,NSE Bonds Index,986.46,"1,042.42",989.83,989.83,989.83,990.13,-0.3,0.03%,-,,-,
2024-08-29,^NBDI,NSE Bonds Index,986.46,"1,042.42",990.29,990.29,990.29,989.83,0.46,0.05%,-,,-,
2024-09-02,^NBDI,NSE Bonds Index,986.46,"1,042.42",995.02,995.02,995.02,990.89,4.13,0.42%,-,,-,
2024-09-03,^NBDI,NSE Bonds Index,986.46,"1,042.42",991.25,991.25,991.25,995.02,-3.77,0.38%,-,,-,
2024-09-04,^NBDI,NSE Bonds Index,986.46,"1,042.42",992.63,992.63,992.63,991.25,1.38,0.14%,-,,-,
2024-09-05,^NBDI,NSE Bonds Index,986.46,"1,042.42",993.10,993.10,993.10,992.63,0.47,0.05%,-,,-,
2024-09-06,^NBDI,NSE Bonds Index,986.46,"1,042.42",993.46,993.46,993.46,993.10,0.36,0.04%,-,,-,
2024-09-09,^NBDI,NSE Bonds Index,986.46,"1,042.42",993.67,993.67,993.67,993.46,0.21,0.02%,-,,-,
2024-09-10,^NBDI,NSE Bonds Index,986.46,"1,042.42",991.93,991.93,991.93,993.67,-1.74,0.18%,-,,-,
2024-09-11,^NBDI,NSE Bonds Index,986.46,"1,042.42",992.15,992.15,992.15,991.93,0.22,0.02%,-,,-,
2024-09-12,^NBDI,NSE Bonds Index,986.46,"1,042.42",992.92,992.92,992.92,992.15,0.77,0.08%,-,,-,
2024-09-13,^NBDI,NSE Bonds Index,986.46,"1,042.42",994.52,994.52,994.52,992.92,1.6,0.16%,-,,-,
2024-09-16,^NBDI,NSE Bonds Index,986.46,"1,042.42",994.60,994.60,994.60,994.52,0.08,0.01%,-,,-,
2024-09-17,^NBDI,NSE Bonds Index,986.46,"1,042.42",994.57,994.57,994.57,994.60,-0.03,-,-,,-,
