Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,NBK,National Bank of Kenya,16.25,24.25,57,60,58.5,58.5,-,-,"84,900",41.79,,
2007-01-03,NBK,National Bank of Kenya,16.25,24.25,57,61,58.5,58.5,-,-,"157,100",41.79,,
2007-01-04,NBK,National Bank of Kenya,16.25,24.25,59,62.5,60,58.5,1.5,2.50%,"90,600",42.86,,
2007-01-05,NBK,National Bank of Kenya,16.25,24.25,58,66,62.5,60,2.5,4.00%,"55,900",44.64,,
2007-01-08,NBK,National Bank of Kenya,16.25,24.25,62,70,66.5,62.5,4,6.02%,"245,000",47.5,,
2007-01-09,NBK,National Bank of Kenya,16.25,24.25,63,68,66.5,66.5,-,-,"153,100",47.5,,
2007-01-10,NBK,National Bank of Kenya,16.25,24.25,62.5,69,67,66.5,0.5,0.75%,"132,400",47.86,,
2007-01-11,NBK,National Bank of Kenya,16.25,24.25,65,70,68.5,67,1.5,2.19%,"212,900",48.93,,
2007-01-12,NBK,National Bank of Kenya,16.25,24.25,67,70,68.5,68.5,-,-,"200,700",48.93,,
2007-01-15,NBK,National Bank of Kenya,16.25,24.25,63,68,66.5,68.5,-2,3.01%,"139,100",47.5,,
2007-01-16,NBK,National Bank of Kenya,16.25,24.25,64,67,65,66.5,-1.5,2.31%,"83,600",46.43,,
2007-01-17,NBK,National Bank of Kenya,16.25,24.25,60.5,67,64.5,65,-0.5,0.78%,"83,700",46.07,,
2007-01-18,NBK,National Bank of Kenya,16.25,24.25,57,64,59.5,64.5,-5,8.40%,"166,900",42.5,,
2007-01-19,NBK,National Bank of Kenya,16.25,24.25,57,60,59,59.5,-0.5,0.85%,"175,400",42.14,,
2007-01-22,NBK,National Bank of Kenya,16.25,24.25,57.5,60,59.5,59,0.5,0.84%,"107,100",42.5,,
2007-01-23,NBK,National Bank of Kenya,16.25,24.25,58,60,59.5,59.5,-,-,"62,300",42.5,,
2007-01-24,NBK,National Bank of Kenya,16.25,24.25,57.5,60,59,59.5,-0.5,0.85%,"101,700",42.14,,
2007-01-25,NBK,National Bank of Kenya,16.25,24.25,57,59.5,58.5,59,-0.5,0.85%,"74,500",41.79,,
2007-01-26,NBK,National Bank of Kenya,16.25,24.25,53,63,57,58.5,-1.5,2.63%,"82,900",40.71,,
2007-01-29,NBK,National Bank of Kenya,16.25,24.25,51.5,58.5,57.5,57,0.5,0.87%,"62,800",41.07,,
2007-01-30,NBK,National Bank of Kenya,16.25,24.25,54,57.5,56,57.5,-1.5,2.68%,"60,100",40,,
