Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2015-05-09,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.9,7.9,7.9,7.9,-,-,-,-,,
2016-06-21,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,6.05,1.95,32.23%,"1,000",-,,
2016-06-22,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,-,-,,
2016-06-23,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,600,-,,
2016-06-24,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,"1,600",-,,
2016-06-27,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,"1,200",-,,
2016-06-28,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,"100,100",-,,
2016-06-29,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,"100,400",-,,
2016-06-30,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,"112,200",-,,
2016-07-01,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,8,7.95,8,-0.05,0.63%,"100,400",-,,
2016-07-04,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,7.95,0.05,0.63%,-,-,,
2016-07-05,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,500,-,,
2016-07-06,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,-,-,,
2016-07-08,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,-,-,,
2016-07-11,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,700,-,,
2016-07-12,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,"1,700",-,,
2016-07-13,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,300,-,,
2016-07-14,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,200,-,,
2016-07-15,NBV,Nairobi Business Ventures Ltd,0.49,0.99,8,8,8,8,-,-,300,-,,
2016-07-18,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,8,-0.8,10.00%,100,-,,
2016-07-19,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
2016-07-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
2016-07-21,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
2016-07-22,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
2016-07-25,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
2016-07-26,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
2016-07-27,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.2,7.2,7.2,7.2,-,-,-,-,,
