Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,NCBA,NCBA Group Plc,24.9,40,38.75,39.25,39.1,38.45,0.65,1.69%,"56,100",32.31,,
2013-01-03,NCBA,NCBA Group Plc,24.9,40,38.5,39.25,39.05,39.1,-0.05,0.13%,"30,400",32.27,,
2013-01-04,NCBA,NCBA Group Plc,24.9,40,39,41,40.75,39.05,1.7,4.35%,"136,900",33.68,,
2013-01-07,NCBA,NCBA Group Plc,24.9,40,39.75,40,39.95,40.75,-0.8,1.96%,"12,200",33.02,,
2013-01-08,NCBA,NCBA Group Plc,24.9,40,39.75,40,39.95,39.95,-,-,"29,400",33.02,,
2013-01-09,NCBA,NCBA Group Plc,24.9,40,40,43.5,42.25,39.95,2.3,5.76%,"379,000",34.92,,
2013-01-10,NCBA,NCBA Group Plc,24.9,40,41,43,41.75,42.25,-0.5,1.18%,"184,400",34.5,,
2013-01-11,NCBA,NCBA Group Plc,24.9,40,41.5,42.25,41.65,41.75,-0.1,0.24%,"76,100",34.42,,
2013-01-14,NCBA,NCBA Group Plc,24.9,40,41.5,42,41.9,41.65,0.25,0.60%,"164,600",34.63,,
2013-01-15,NCBA,NCBA Group Plc,24.9,40,42,44.5,43.85,41.9,1.95,4.65%,"185,600",36.24,,
2013-01-16,NCBA,NCBA Group Plc,24.9,40,43,45.75,44.65,43.85,0.8,1.82%,"644,100",36.9,,
2013-01-17,NCBA,NCBA Group Plc,24.9,40,44.5,45.25,45,44.65,0.35,0.78%,"172,800",37.19,,
2013-01-18,NCBA,NCBA Group Plc,24.9,40,44,46,45.05,45,0.05,0.11%,"352,200",37.23,,
2013-01-21,NCBA,NCBA Group Plc,24.9,40,42.5,46,43.45,45.05,-1.6,3.55%,"30,200",35.91,,
2013-01-22,NCBA,NCBA Group Plc,24.9,40,42.25,45,44.9,43.45,1.45,3.34%,"413,900",37.11,,
2013-01-23,NCBA,NCBA Group Plc,24.9,40,41.25,43.25,42.35,44.9,-2.55,5.68%,"35,900",35,,
2013-01-24,NCBA,NCBA Group Plc,24.9,40,41.75,42.5,41.9,42.35,-0.45,1.06%,"15,900",34.63,,
2013-01-25,NCBA,NCBA Group Plc,24.9,40,41,42,41.9,41.9,-,-,"90,300",34.63,,
2013-01-28,NCBA,NCBA Group Plc,24.9,40,41.5,42,41.8,41.9,-0.1,0.24%,"15,300",34.55,,
2013-01-29,NCBA,NCBA Group Plc,24.9,40,41.5,42.25,41.8,41.8,-,-,"24,800",34.55,,
2013-01-30,NCBA,NCBA Group Plc,24.9,40,41.5,42.5,42.05,41.8,0.25,0.60%,"27,800",34.75,,
2013-01-31,NCBA,NCBA Group Plc,24.9,40,41.75,43,42.6,42.05,0.55,1.31%,"98,700",35.21,,
2013-02-01,NCBA,NCBA Group Plc,24.9,40,41.75,43,42.5,42.6,-0.1,0.23%,"152,700",35.12,,
2013-02-04,NCBA,NCBA Group Plc,24.9,40,42,42.75,42.5,42.5,-,-,"255,200",35.12,,
2013-02-05,NCBA,NCBA Group Plc,24.9,40,42.25,43,42.65,42.5,0.15,0.35%,"45,900",35.25,,
2013-02-06,NCBA,NCBA Group Plc,24.9,40,43,43.5,43.15,42.65,0.5,1.17%,"16,100",35.66,,
2013-02-07,NCBA,NCBA Group Plc,24.9,40,43.25,45.5,44.8,43.15,1.65,3.82%,"246,100",37.02,,
2013-02-08,NCBA,NCBA Group Plc,24.9,40,44,45.25,45,44.8,0.2,0.45%,"175,600",37.19,,
2013-02-11,NCBA,NCBA Group Plc,24.9,40,44.5,46,45.95,45,0.95,2.11%,"1,147,900",37.98,,
2013-02-12,NCBA,NCBA Group Plc,24.9,40,45,47.5,46.95,45.95,1,2.18%,"1,392,900",38.8,,
2013-02-13,NCBA,NCBA Group Plc,24.9,40,43.75,46.5,45,46.95,-1.95,4.15%,"21,100",37.19,,
2013-02-14,NCBA,NCBA Group Plc,24.9,40,44,46,44.75,45,-0.25,0.56%,"98,200",36.98,,
2013-02-15,NCBA,NCBA Group Plc,24.9,40,45,46,45.35,44.75,0.6,1.34%,"43,800",37.48,,
2013-02-18,NCBA,NCBA Group Plc,24.9,40,45,46,45.5,45.35,0.15,0.33%,"97,600",37.6,,
2013-02-19,NCBA,NCBA Group Plc,24.9,40,45,45.5,45.35,45.5,-0.15,0.33%,"130,300",37.48,,
2013-02-20,NCBA,NCBA Group Plc,24.9,40,45.25,46.5,45.5,45.35,0.15,0.33%,"741,300",37.6,,
2013-02-21,NCBA,NCBA Group Plc,24.9,40,45,45.5,45.45,45.5,-0.05,0.11%,"725,300",37.56,,
2013-02-22,NCBA,NCBA Group Plc,24.9,40,45,45.5,45.25,45.45,-0.2,0.44%,"41,500",37.4,,
2013-02-25,NCBA,NCBA Group Plc,24.9,40,43.75,45,44.4,45.25,-0.85,1.88%,"56,900",36.69,,
2013-02-26,NCBA,NCBA Group Plc,24.9,40,42,44.75,44.1,44.4,-0.3,0.68%,"135,700",36.45,,
2013-02-27,NCBA,NCBA Group Plc,24.9,40,44.25,45,44.7,44.1,0.6,1.36%,"144,400",36.94,,
2013-02-28,NCBA,NCBA Group Plc,24.9,40,45,45.5,45.25,44.7,0.55,1.23%,"33,200",37.4,,
2013-03-01,NCBA,NCBA Group Plc,24.9,40,45.25,46.75,46.05,45.25,0.8,1.77%,"264,300",38.06,,
2013-03-05,NCBA,NCBA Group Plc,24.9,40,44.75,47,45.25,46.05,-0.8,1.74%,"298,400",37.4,,
2013-03-06,NCBA,NCBA Group Plc,24.9,40,47,47.5,47.1,45.25,1.85,4.09%,"234,100",38.93,,
2013-03-07,NCBA,NCBA Group Plc,24.9,40,47.25,48.5,47.6,47.1,0.5,1.06%,"55,500",39.34,,
2013-03-08,NCBA,NCBA Group Plc,24.9,40,48.5,50,49.2,47.6,1.6,3.36%,"96,900",40.66,,
2013-03-11,NCBA,NCBA Group Plc,24.9,40,49,53.5,52.5,49.2,3.3,6.71%,"114,700",43.39,,
2013-03-12,NCBA,NCBA Group Plc,24.9,40,53.5,57,56.25,52.5,3.75,7.14%,"223,400",46.49,,
2013-03-13,NCBA,NCBA Group Plc,24.9,40,50.5,56,52,56.25,-4.25,7.56%,"300,900",42.98,,
2013-03-14,NCBA,NCBA Group Plc,24.9,40,52,54,52.75,52,0.75,1.44%,"65,800",43.6,,
2013-03-15,NCBA,NCBA Group Plc,24.9,40,50,54,50.25,52.75,-2.5,4.74%,"167,600",41.53,,
2013-03-18,NCBA,NCBA Group Plc,24.9,40,45.5,50,49.35,50.25,-0.9,1.79%,"90,100",40.79,,
2013-03-19,NCBA,NCBA Group Plc,24.9,40,47.75,50,48.65,49.35,-0.7,1.42%,"86,800",40.21,,
2013-03-20,NCBA,NCBA Group Plc,24.9,40,49,50,49.65,48.65,1,2.06%,"207,500",41.03,,
2013-03-21,NCBA,NCBA Group Plc,24.9,40,49,49.75,49.35,49.65,-0.3,0.60%,"136,600",40.79,,
2013-03-22,NCBA,NCBA Group Plc,24.9,40,49.25,49.5,49.3,49.35,-0.05,0.10%,"83,100",40.74,,
2013-03-25,NCBA,NCBA Group Plc,24.9,40,49.25,50,49.55,49.3,0.25,0.51%,"165,600",40.95,,
2013-03-26,NCBA,NCBA Group Plc,24.9,40,50,51.5,50.5,49.55,0.95,1.92%,"121,600",41.74,,
2013-03-27,NCBA,NCBA Group Plc,24.9,40,51,53,52.25,50.5,1.75,3.47%,"35,500",43.18,,
2013-03-28,NCBA,NCBA Group Plc,24.9,40,52,55,53.75,52.25,1.5,2.87%,"117,300",44.42,,
2013-04-02,NCBA,NCBA Group Plc,24.9,40,55,58,56,53.75,2.25,4.19%,"133,400",46.28,,
2013-04-03,NCBA,NCBA Group Plc,24.9,40,51.5,56.5,54,56,-2,3.57%,"137,900",44.63,,
2013-04-04,NCBA,NCBA Group Plc,24.9,40,52.5,54,53.5,54,-0.5,0.93%,"77,200",44.21,,
2013-04-05,NCBA,NCBA Group Plc,24.9,40,48.5,54,52.5,53.5,-1,1.87%,"239,900",43.39,,
2013-04-08,NCBA,NCBA Group Plc,24.9,40,53,54,53.5,52.5,1,1.90%,"34,100",44.21,,
2013-04-10,NCBA,NCBA Group Plc,24.9,40,53,54,53.25,53.5,-0.25,0.47%,"39,800",44.01,,
2013-04-11,NCBA,NCBA Group Plc,24.9,40,53,54,53.25,53.25,-,-,"63,800",44.01,,
2013-04-12,NCBA,NCBA Group Plc,24.9,40,52,53.5,52.75,53.25,-0.5,0.94%,"35,700",43.6,,
2013-04-15,NCBA,NCBA Group Plc,24.9,40,52,53.5,53,52.75,0.25,0.47%,"24,300",43.8,,
2013-04-16,NCBA,NCBA Group Plc,24.9,40,52,53.5,52.75,53,-0.25,0.47%,"216,300",43.6,,
2013-04-17,NCBA,NCBA Group Plc,24.9,40,53,54,53.25,52.75,0.5,0.95%,"74,300",44.01,,
2013-04-18,NCBA,NCBA Group Plc,24.9,40,53,54,53.75,53.25,0.5,0.94%,"38,400",44.42,,
2013-04-19,NCBA,NCBA Group Plc,24.9,40,53.5,54.5,54,53.75,0.25,0.47%,"12,400",44.63,,
