Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,NIC,NIC Bank,22.95,58,101,105,102,102,-,-,"9,800",23.22,,
2007-01-03,NIC,NIC Bank,23.41,58,101,110,102,102,-,-,"13,100",23.22,,
2007-01-04,NIC,NIC Bank,22.95,58,103,110,105,102,3,2.86%,"16,400",23.91,,
2007-01-05,NIC,NIC Bank,23.41,58,105,115,109,105,4,3.67%,"33,600",24.82,,
2007-01-08,NIC,NIC Bank,23.41,58,109,120,112,109,3,2.68%,"19,200",25.5,,
2007-01-09,NIC,NIC Bank,23.41,58,112,120,116,112,4,3.45%,"81,400",26.41,,
2007-01-10,NIC,NIC Bank,23.41,58,114,123,117,116,1,0.85%,"196,000",26.64,,
2007-01-11,NIC,NIC Bank,23.41,58,111,118,115,117,-2,1.74%,"177,500",26.18,,
2007-01-12,NIC,NIC Bank,23.41,58,115,121,116,115,1,0.86%,"71,400",26.41,,
2007-01-15,NIC,NIC Bank,23.41,58,116,119,117,116,1,0.85%,"22,100",26.64,,
2007-01-16,NIC,NIC Bank,23.41,58,118,123,119,117,2,1.68%,"50,500",27.09,,
2007-01-17,NIC,NIC Bank,23.41,58,117,123,119,119,-,-,"40,900",27.09,,
2007-01-18,NIC,NIC Bank,22.95,58,120,125,120,119,1,0.83%,"48,700",27.32,,
2007-01-19,NIC,NIC Bank,23.41,58,118,125,121,120,1,0.83%,"42,300",27.55,,
2007-01-22,NIC,NIC Bank,23.41,58,118,123,118,121,-3,2.54%,"8,900",26.87,,
2007-01-23,NIC,NIC Bank,23.41,58,107,120,117,118,-1,0.85%,"42,900",26.64,,
2007-01-24,NIC,NIC Bank,23.41,58,107,120,117,117,-,-,"134,200",26.64,,
2007-01-25,NIC,NIC Bank,23.41,58,108,118,117,117,-,-,"37,900",26.64,,
2007-01-26,NIC,NIC Bank,23.41,58,117,120,118,117,1,0.85%,"19,500",26.87,,
2007-01-29,NIC,NIC Bank,23.41,58,115,120,118,118,-,-,"28,700",26.87,,
2007-01-30,NIC,NIC Bank,23.41,58,115,119,116,118,-2,1.72%,"37,800",26.41,,
2007-01-31,NIC,NIC Bank,23.41,58,115,118,116,116,-,-,"19,100",26.41,,
2007-02-01,NIC,NIC Bank,22.95,58,108,118,115,116,-1,0.87%,"30,300",26.18,,
2007-02-02,NIC,NIC Bank,22.95,58,107,113,110,115,-5,4.55%,"7,500",25.04,,
2007-02-05,NIC,NIC Bank,23.41,58,105,110,108,110,-2,1.85%,"17,100",24.59,,
2007-02-06,NIC,NIC Bank,23.41,58,102,110,105,108,-3,2.86%,"18,900",23.91,,
2007-02-07,NIC,NIC Bank,23.41,58,106,113,107,105,2,1.87%,"19,700",24.36,,
2007-02-08,NIC,NIC Bank,23.41,58,108,115,111,107,4,3.60%,"12,700",25.27,,
2007-02-09,NIC,NIC Bank,23.41,58,110,116,115,111,4,3.48%,"32,600",26.18,,
2007-02-12,NIC,NIC Bank,23.41,58,115,119,116,115,1,0.86%,"30,700",26.41,,
2007-02-13,NIC,NIC Bank,23.41,58,118,125,121,116,5,4.13%,"58,000",27.55,,
