Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,NMG,Nation Media Group,156,395,313,320,317,321,-4,1.26%,"6,000",144.09,,
2007-01-03,NMG,Nation Media Group,156,400,305,325,314,317,-3,0.96%,"12,500",142.73,,
2007-01-04,NMG,Nation Media Group,156,395,315,330,323,314,9,2.79%,"31,500",146.82,,
2007-01-05,NMG,Nation Media Group,156,400,315,341,333,323,10,3.00%,"16,500",151.36,,
2007-01-08,NMG,Nation Media Group,156,400,328,340,334,333,1,0.30%,"35,500",151.82,,
2007-01-09,NMG,Nation Media Group,156,400,325,334,330,334,-4,1.21%,"14,300",150,,
2007-01-10,NMG,Nation Media Group,156,400,330,360,346,330,16,4.62%,"20,500",157.27,,
2007-01-11,NMG,Nation Media Group,156,400,350,380,353,346,7,1.98%,"6,700",160.45,,
2007-01-12,NMG,Nation Media Group,156,400,348,361,350,353,-3,0.86%,"82,300",159.09,,
2007-01-15,NMG,Nation Media Group,156,400,322,358,351,350,1,0.28%,"24,400",159.55,,
2007-01-16,NMG,Nation Media Group,156,400,340,355,348,351,-3,0.86%,"20,500",158.18,,
2007-01-17,NMG,Nation Media Group,156,400,328,340,334,348,-14,4.19%,"5,800",151.82,,
2007-01-18,NMG,Nation Media Group,156,395,318,335,327,334,-7,2.14%,"9,300",148.64,,
2007-01-19,NMG,Nation Media Group,156,400,315,325,320,327,-7,2.19%,"8,900",145.45,,
2007-01-22,NMG,Nation Media Group,156,400,316,328,320,320,-,-,"38,000",145.45,,
2007-01-23,NMG,Nation Media Group,156,400,318,330,327,320,7,2.14%,"99,700",148.64,,
2007-01-24,NMG,Nation Media Group,156,400,300,325,316,327,-11,3.48%,"12,800",143.64,,
2007-01-25,NMG,Nation Media Group,156,400,312,325,318,316,2,0.63%,"15,800",144.55,,
2007-01-26,NMG,Nation Media Group,156,400,300,322,317,318,-1,0.32%,"20,400",144.09,,
2007-01-29,NMG,Nation Media Group,156,400,310,318,316,317,-1,0.32%,"38,300",143.64,,
2007-01-30,NMG,Nation Media Group,156,400,300,317,307,316,-9,2.93%,"6,900",139.55,,
2007-01-31,NMG,Nation Media Group,156,400,295,314,309,307,2,0.65%,"74,000",140.45,,
2007-02-01,NMG,Nation Media Group,156,395,290,306,297,309,-12,4.04%,"2,500",135,,
2007-02-02,NMG,Nation Media Group,156,395,296,300,299,297,2,0.67%,"95,500",135.91,,
2007-02-05,NMG,Nation Media Group,156,400,290,309,296,299,-3,1.01%,"14,200",134.55,,
2007-02-06,NMG,Nation Media Group,156,400,280,309,290,296,-6,2.07%,"33,500",131.82,,
2007-02-07,NMG,Nation Media Group,156,400,290,309,302,290,12,3.97%,"8,600",137.27,,
2007-02-08,NMG,Nation Media Group,156,400,290,300,294,302,-8,2.72%,"6,300",133.64,,
2007-02-09,NMG,Nation Media Group,156,400,293,306,301,294,7,2.33%,"23,000",136.82,,
2007-02-12,NMG,Nation Media Group,156,400,291,306,303,301,2,0.66%,"18,700",137.73,,
2007-02-13,NMG,Nation Media Group,156,400,300,305,300,303,-3,1.00%,"50,200",136.36,,
2007-02-14,NMG,Nation Media Group,156,400,296,301,299,300,-1,0.33%,"9,500",135.91,,
2007-02-15,NMG,Nation Media Group,156,400,295,305,299,299,-,-,"51,000",135.91,,
2007-02-16,NMG,Nation Media Group,156,400,298,300,299,299,-,-,"7,400",135.91,,
2007-02-19,NMG,Nation Media Group,156,400,298,300,299,299,-,-,"17,000",135.91,,
2007-02-20,NMG,Nation Media Group,156,400,298,301,299,299,-,-,"9,900",135.91,,
2007-02-21,NMG,Nation Media Group,156,400,300,305,300,299,1,0.33%,"41,900",136.36,,
2007-02-22,NMG,Nation Media Group,156,400,300,301,300,300,-,-,"113,200",136.36,,
2007-02-23,NMG,Nation Media Group,156,400,300,301,300,300,-,-,"27,900",136.36,,
2007-02-26,NMG,Nation Media Group,156,400,300,301,300,300,-,-,"99,000",136.36,,
2007-02-27,NMG,Nation Media Group,156,400,299,300,299,300,-1,0.33%,"35,200",135.91,,
2007-02-28,NMG,Nation Media Group,156,400,270,300,287,299,-12,4.18%,"25,300",130.45,,
2007-03-01,NMG,Nation Media Group,156,395,260,302,281,287,-6,2.14%,"18,300",127.73,,
2007-03-02,NMG,Nation Media Group,156,400,260,270,268,281,-13,4.85%,"48,500",121.82,,
2007-03-05,NMG,Nation Media Group,156,400,262,280,268,268,-,-,"106,500",121.82,,
2007-03-06,NMG,Nation Media Group,156,400,273,275,273,268,5,1.83%,"5,000",124.09,,
2007-03-07,NMG,Nation Media Group,156,400,268,300,278,273,5,1.80%,"38,600",126.36,,
2007-03-08,NMG,Nation Media Group,156,400,268,280,273,278,-5,1.83%,"19,000",124.09,,
2007-03-09,NMG,Nation Media Group,156,400,275,280,275,273,2,0.73%,"4,600",125,,
2007-03-12,NMG,Nation Media Group,156,400,272,275,272,275,-3,1.10%,"18,300",123.64,,
2007-03-13,NMG,Nation Media Group,156,400,260,272,270,272,-2,0.74%,"40,300",122.73,,
2007-03-14,NMG,Nation Media Group,156,400,260,272,264,270,-6,2.27%,"6,900",120,,
2007-03-15,NMG,Nation Media Group,156,400,254,272,263,264,-1,0.38%,"37,000",119.55,,
2007-03-16,NMG,Nation Media Group,156,400,263,265,263,263,-,-,"17,200",119.55,,
2007-03-19,NMG,Nation Media Group,156,400,250,263,258,263,-5,1.94%,"3,700",117.27,,
2007-03-20,NMG,Nation Media Group,156,400,232,257,248,258,-10,4.03%,"5,800",112.73,,
2007-03-21,NMG,Nation Media Group,156,400,218,250,233,248,-15,6.44%,"3,600",105.91,,
2007-03-22,NMG,Nation Media Group,156,400,209,232,217,233,-16,7.37%,"6,100",98.64,,
2007-03-23,NMG,Nation Media Group,156,400,192,200,192,217,-25,13.02%,"7,200",87.27,,
2007-03-26,NMG,Nation Media Group,156,400,180,193,186,192,-6,3.23%,"14,700",84.55,,
2007-03-27,NMG,Nation Media Group,156,400,190,200,198,186,12,6.06%,"25,400",90,,
2007-03-28,NMG,Nation Media Group,156,400,199,218,209,198,11,5.26%,"27,200",95,,
2007-03-29,NMG,Nation Media Group,156,400,220,233,229,209,20,8.73%,"3,200",104.09,,
2007-03-30,NMG,Nation Media Group,156,400,235,256,244,229,15,6.15%,"6,400",110.91,,
2007-04-02,NMG,Nation Media Group,156,400,240,255,249,244,5,2.01%,"29,100",113.18,,
2007-04-03,NMG,Nation Media Group,156,400,230,240,239,249,-10,4.18%,"74,400",108.64,,
2007-04-04,NMG,Nation Media Group,156,400,235,242,237,239,-2,0.84%,"2,800",107.73,,
2007-04-05,NMG,Nation Media Group,156,400,236,240,238,237,1,0.42%,"2,300",108.18,,
2007-04-10,NMG,Nation Media Group,156,400,236,248,241,238,3,1.24%,"7,000",109.55,,
2007-04-11,NMG,Nation Media Group,156,400,220,242,239,241,-2,0.84%,"38,900",108.64,,
2007-04-12,NMG,Nation Media Group,156,400,230,250,239,239,-,-,"23,300",108.64,,
