Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2014-09-09,NSE,Nairobi Securities Exchange Plc,6.5,13,15,18,16.3,45,-28.7,63.78%,"3,844,000",12.23,,
2014-09-10,NSE,Nairobi Securities Exchange Plc,6.5,13,17,17.9,17.85,16.3,1.55,9.51%,"6,824,800",13.39,,
2014-09-11,NSE,Nairobi Securities Exchange Plc,6.5,13,19.6,19.6,19.6,17.85,1.75,9.80%,"1,737,500",14.7,,
2014-09-12,NSE,Nairobi Securities Exchange Plc,6.5,13,21.5,21.5,21.5,19.6,1.9,9.69%,"6,311,700",16.13,,
2014-09-15,NSE,Nairobi Securities Exchange Plc,7.04,13,21.5,23.5,23.4,21.5,1.9,8.84%,"3,455,100",17.55,,
2014-09-16,NSE,Nairobi Securities Exchange Plc,6.5,13,21.5,25.5,23.65,23.4,0.25,1.07%,"3,313,500",17.74,,
2014-09-17,NSE,Nairobi Securities Exchange Plc,6.5,13,21.25,23.5,21.8,23.65,-1.85,7.82%,"2,167,000",16.35,,
2014-09-18,NSE,Nairobi Securities Exchange Plc,7.04,13,23.25,23.75,23.65,21.8,1.85,8.49%,"1,644,300",17.74,,
2014-09-19,NSE,Nairobi Securities Exchange Plc,6.5,13,24,25.75,25.1,23.65,1.45,6.13%,"1,509,600",18.83,,
2014-09-22,NSE,Nairobi Securities Exchange Plc,6.5,13,25.75,27.5,27.1,25.1,2,7.97%,"2,758,900",20.33,,
2014-09-23,NSE,Nairobi Securities Exchange Plc,6.5,13,24.5,28,26.35,27.1,-0.75,2.77%,"3,138,500",19.76,,
2014-09-24,NSE,Nairobi Securities Exchange Plc,6.5,13,24.25,26.5,24.75,26.35,-1.6,6.07%,"1,339,000",18.56,,
2014-09-25,NSE,Nairobi Securities Exchange Plc,6.5,13,22.5,24.5,22.85,24.75,-1.9,7.68%,"2,574,500",17.14,,
2014-09-26,NSE,Nairobi Securities Exchange Plc,6.5,13,22.75,24.25,23.1,22.85,0.25,1.09%,"999,100",17.33,,
2014-09-29,NSE,Nairobi Securities Exchange Plc,6.5,13,22.75,24,23.15,23.1,0.05,0.22%,"510,300",17.36,,
2014-09-30,NSE,Nairobi Securities Exchange Plc,6.5,13,23,23.75,23.5,23.15,0.35,1.51%,"538,300",17.63,,
2014-10-01,NSE,Nairobi Securities Exchange Plc,6.5,13,22.75,23.5,23,23.5,-0.5,2.13%,"753,600",17.25,,
2014-10-02,NSE,Nairobi Securities Exchange Plc,6.5,13,21.75,23,22.35,23,-0.65,2.83%,"296,200",16.76,,
2014-10-03,NSE,Nairobi Securities Exchange Plc,6.5,13,22,23,22.45,22.35,0.1,0.45%,"148,600",16.84,,
2014-10-06,NSE,Nairobi Securities Exchange Plc,6.5,13,22.25,23.5,23.05,22.45,0.6,2.67%,"398,400",17.29,,
2014-10-07,NSE,Nairobi Securities Exchange Plc,7.04,13,22.25,23.5,22.85,23.05,-0.2,0.87%,"521,900",17.14,,
2014-10-08,NSE,Nairobi Securities Exchange Plc,6.5,13,22,23.25,22.8,22.85,-0.05,0.22%,"276,200",17.1,,
2014-10-09,NSE,Nairobi Securities Exchange Plc,6.5,13,22,23,22.6,22.8,-0.2,0.88%,"315,800",16.95,,
2014-10-10,NSE,Nairobi Securities Exchange Plc,6.5,13,22,23,22.95,22.6,0.35,1.55%,"2,648,900",17.21,,
2014-10-13,NSE,Nairobi Securities Exchange Plc,6.5,13,22.5,23,22.8,22.95,-0.15,0.65%,"148,800",17.1,,
2014-10-14,NSE,Nairobi Securities Exchange Plc,6.5,13,22,22.75,22.5,22.8,-0.3,1.32%,"143,800",16.88,,
2014-10-15,NSE,Nairobi Securities Exchange Plc,6.5,13,21.75,22.75,22.2,22.5,-0.3,1.33%,"167,500",16.65,,
2014-10-16,NSE,Nairobi Securities Exchange Plc,6.5,13,21.5,22.5,21.95,22.2,-0.25,1.13%,"1,212,400",16.46,,
2014-10-17,NSE,Nairobi Securities Exchange Plc,6.5,13,21.75,22.75,21.85,21.95,-0.1,0.46%,"132,500",16.39,,
2014-10-21,NSE,Nairobi Securities Exchange Plc,6.5,13,21.75,22.5,21.9,21.85,0.05,0.23%,"153,700",16.43,,
2014-10-22,NSE,Nairobi Securities Exchange Plc,7,13,21.5,22,21.65,21.9,-0.25,1.14%,"181,600",16.24,,
2014-10-23,NSE,Nairobi Securities Exchange Plc,6.5,13,21,21.75,21.05,21.65,-0.6,2.77%,"617,600",15.79,,
2014-10-24,NSE,Nairobi Securities Exchange Plc,7.04,13,20,22,21.25,21.05,0.2,0.95%,"132,700",15.94,,
2014-10-27,NSE,Nairobi Securities Exchange Plc,6.5,13,20.25,21,20.5,21.25,-0.75,3.53%,"95,900",15.38,,
2014-10-28,NSE,Nairobi Securities Exchange Plc,7.04,13,19,20.75,20.05,20.5,-0.45,2.20%,"198,000",15.04,,
2014-10-29,NSE,Nairobi Securities Exchange Plc,6.5,13,19.2,21,19.7,20.05,-0.35,1.75%,"165,000",14.78,,
2014-10-30,NSE,Nairobi Securities Exchange Plc,6.5,13,19.55,20.5,19.95,19.7,0.25,1.27%,"92,400",14.96,,
2014-10-31,NSE,Nairobi Securities Exchange Plc,6.5,13,20,20.5,20.2,19.95,0.25,1.25%,"90,400",15.15,,
2014-11-03,NSE,Nairobi Securities Exchange Plc,6.5,13,20,22,21.3,20.2,1.1,5.45%,"140,300",15.98,,
2014-11-04,NSE,Nairobi Securities Exchange Plc,6.5,13,21.75,22.75,22.1,21.3,0.8,3.76%,"223,000",16.58,,
2014-11-05,NSE,Nairobi Securities Exchange Plc,6.5,13,21,22,21.55,22.1,-0.55,2.49%,"46,300",16.16,,
2014-11-06,NSE,Nairobi Securities Exchange Plc,6.5,13,21,21.5,21.2,21.55,-0.35,1.62%,"56,900",15.9,,
2014-11-07,NSE,Nairobi Securities Exchange Plc,6.5,13,20.5,21.5,20.95,21.2,-0.25,1.18%,"48,400",15.71,,
2014-11-10,NSE,Nairobi Securities Exchange Plc,6.5,13,20.25,21.5,20.55,20.95,-0.4,1.91%,"31,300",15.41,,
2014-11-11,NSE,Nairobi Securities Exchange Plc,7.04,13,20,21,20.25,20.55,-0.3,1.46%,"86,300",15.19,,
2014-11-12,NSE,Nairobi Securities Exchange Plc,6.5,13,20,20.75,20.45,20.25,0.2,0.99%,"105,500",15.34,,
2014-11-13,NSE,Nairobi Securities Exchange Plc,6.5,13,20,21.25,20.9,20.45,0.45,2.20%,"128,800",15.68,,
2014-11-14,NSE,Nairobi Securities Exchange Plc,6.5,13,20.5,21.5,21,20.9,0.1,0.48%,"46,400",15.75,,
2014-11-17,NSE,Nairobi Securities Exchange Plc,6.5,13,20.75,21.5,21,21,-,-,"57,300",15.75,,
2014-11-18,NSE,Nairobi Securities Exchange Plc,6.5,13,20.75,21.5,21,21,-,-,"195,300",15.75,,
2014-11-19,NSE,Nairobi Securities Exchange Plc,7.04,13,21,21.25,21.05,21,0.05,0.24%,"57,700",15.79,,
2014-11-20,NSE,Nairobi Securities Exchange Plc,7.04,13,21,21.5,21,21.05,-0.05,0.24%,"295,200",15.75,,
2014-11-21,NSE,Nairobi Securities Exchange Plc,7.04,13,20.75,21.25,21,21,-,-,"70,800",15.75,,
2014-11-24,NSE,Nairobi Securities Exchange Plc,7.04,13,21,21.5,21,21,-,-,"356,700",15.75,,
2014-11-25,NSE,Nairobi Securities Exchange Plc,6.5,13,20.75,21,21,21,-,-,"93,200",15.75,,
2014-11-26,NSE,Nairobi Securities Exchange Plc,6.5,13,20.5,21,20.9,21,-0.1,0.48%,"208,700",15.68,,
2014-11-27,NSE,Nairobi Securities Exchange Plc,6.5,13,20.5,21.25,20.95,20.9,0.05,0.24%,"89,600",15.71,,
2014-11-28,NSE,Nairobi Securities Exchange Plc,6.5,13,20,21.75,21.4,20.95,0.45,2.15%,"343,500",16.05,,
