Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,OCH,Olympia Capital Holdings,3.1,4.35,30,30,30,31.25,-1.25,4.17%,"3,400",-,,
2007-01-03,OCH,Olympia Capital Holdings,3.1,5,29,32.5,31,30,1,3.23%,"7,000",-,,
2007-01-04,OCH,Olympia Capital Holdings,3.1,4.5,29,30,29.75,31,-1.25,4.20%,"6,000",-,,
2007-01-05,OCH,Olympia Capital Holdings,3.1,5,30.5,32.5,31.25,29.75,1.5,4.80%,"4,200",-,,
2007-01-08,OCH,Olympia Capital Holdings,3.1,5,30,32.5,31,31.25,-0.25,0.81%,"9,100",-,,
2007-01-09,OCH,Olympia Capital Holdings,3.1,5,29.75,30,29.75,31,-1.25,4.20%,"9,500",-,,
2007-01-10,OCH,Olympia Capital Holdings,3.1,5,31,32.5,31.25,29.75,1.5,4.80%,"6,000",-,,
2007-01-11,OCH,Olympia Capital Holdings,3.1,5,31,32.5,31,31.25,-0.25,0.81%,"12,800",-,,
2007-01-12,OCH,Olympia Capital Holdings,3.1,5,30,32.5,31.5,31,0.5,1.59%,"33,900",-,,
2007-01-15,OCH,Olympia Capital Holdings,3.1,5,31,32.5,31.5,31.5,-,-,"19,900",-,,
2007-01-16,OCH,Olympia Capital Holdings,3.1,5,30,34,30,31.5,-1.5,5.00%,"24,300",-,,
2007-01-17,OCH,Olympia Capital Holdings,3.1,5,29.75,31,30,30,-,-,"5,300",-,,
2007-01-18,OCH,Olympia Capital Holdings,3.1,4.2,28,29,28.75,30,-1.25,4.35%,"4,000",-,,
2007-01-19,OCH,Olympia Capital Holdings,3.1,5,28.75,30,29,28.75,0.25,0.86%,"29,900",-,,
2007-01-22,OCH,Olympia Capital Holdings,3.1,5,28,30,28.75,29,-0.25,0.87%,"15,400",-,,
2007-01-23,OCH,Olympia Capital Holdings,3.1,5,28,30,28.75,28.75,-,-,"6,700",-,,
2007-01-24,OCH,Olympia Capital Holdings,3.1,5,27.5,29,28.25,28.75,-0.5,1.77%,"2,200",-,,
2007-01-25,OCH,Olympia Capital Holdings,3.1,5,27.5,29,28.75,28.25,0.5,1.74%,"17,900",-,,
2007-01-26,OCH,Olympia Capital Holdings,3.1,5,27.5,30,29,28.75,0.25,0.86%,"1,500",-,,
2007-01-29,OCH,Olympia Capital Holdings,3.1,5,28,30,28.75,29,-0.25,0.87%,"2,100",-,,
2007-01-30,OCH,Olympia Capital Holdings,3.1,5,27.5,30,29.75,28.75,1,3.36%,"1,600",-,,
2007-01-31,OCH,Olympia Capital Holdings,3.1,5,27,28,27.75,29.75,-2,7.21%,"10,800",-,,
2007-02-01,OCH,Olympia Capital Holdings,3.1,4.35,27,27,27,27.75,-0.75,2.78%,200,-,,
