Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-11-27,ORCH,Kenya Orchards,3,3,4.5,4.5,4.5,7.05,-2.55,56.67%,100,-,,
2007-11-28,ORCH,Kenya Orchards,3,3,4.05,4.05,4.05,4.5,-0.45,11.11%,100,-,,
2007-11-29,ORCH,Kenya Orchards,3,3,3.65,3.65,3.65,4.05,-0.4,10.96%,100,-,,
2007-12-03,ORCH,Kenya Orchards,3,3,3,3,3,3.65,-0.65,21.67%,"211,800",-,,
2009-02-02,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-03,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-05,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-06,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-09,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-10,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-11,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-12,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-13,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-16,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-17,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-18,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-19,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-20,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-23,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-24,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-25,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-26,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-02-27,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-02,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-03,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-04,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-05,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-06,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-09,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-10,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-11,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-12,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-13,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-16,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-17,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-18,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-19,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-20,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-23,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-24,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-25,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-26,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-27,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-30,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
2009-03-31,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,200,-,,
2009-04-01,ORCH,Kenya Orchards,3,3,3,3,3,3,-,-,0,-,,
