Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,PAFR,Pan Africa Insurance Holdings,24,67,85,90,88,91.5,-3.5,3.98%,"4,300",44,,
2007-01-03,PAFR,Pan Africa Insurance Holdings,26.5,67,90,95,90,88,2,2.22%,"17,200",45,,
2007-01-04,PAFR,Pan Africa Insurance Holdings,24,67,90,95,92,90,2,2.17%,"9,900",46,,
2007-01-05,PAFR,Pan Africa Insurance Holdings,26.5,67,92,95,92.5,92,0.5,0.54%,"3,200",46.25,,
2007-01-08,PAFR,Pan Africa Insurance Holdings,26.5,67,90,96,93,92.5,0.5,0.54%,"33,600",46.5,,
2007-01-09,PAFR,Pan Africa Insurance Holdings,26.5,67,95,95,95,93,2,2.11%,"20,100",47.5,,
2007-01-10,PAFR,Pan Africa Insurance Holdings,26.5,67,95,104,100,95,5,5.00%,"1,300",50,,
2007-01-11,PAFR,Pan Africa Insurance Holdings,26.5,67,102,102,102,100,2,1.96%,"15,000",51,,
2007-01-12,PAFR,Pan Africa Insurance Holdings,26.5,67,103,103,103,102,1,0.97%,800,51.5,,
2007-01-15,PAFR,Pan Africa Insurance Holdings,26.5,67,109,110,109,103,6,5.50%,"31,000",54.5,,
2007-01-16,PAFR,Pan Africa Insurance Holdings,26.5,67,109,110,109,109,-,-,"6,600",54.5,,
2007-01-17,PAFR,Pan Africa Insurance Holdings,26.5,67,115,116,115,109,6,5.22%,"2,500",57.5,,
2007-01-18,PAFR,Pan Africa Insurance Holdings,24,67,110,119,116,115,1,0.86%,"10,800",58,,
2007-01-19,PAFR,Pan Africa Insurance Holdings,25.5,67,112,120,115,116,-1,0.87%,"10,800",57.5,,
2007-01-22,PAFR,Pan Africa Insurance Holdings,26.5,67,110,115,114,115,-1,0.88%,"29,600",57,,
2007-01-23,PAFR,Pan Africa Insurance Holdings,26.5,67,111,115,113,114,-1,0.88%,400,56.5,,
2007-01-24,PAFR,Pan Africa Insurance Holdings,26.5,67,114,115,114,113,1,0.88%,"1,600",57,,
2007-01-25,PAFR,Pan Africa Insurance Holdings,26.5,67,114,119,116,114,2,1.72%,"5,400",58,,
2007-01-26,PAFR,Pan Africa Insurance Holdings,26.5,67,114,118,114,116,-2,1.75%,"7,300",57,,
2007-01-29,PAFR,Pan Africa Insurance Holdings,26.5,67,120,120,120,114,6,5.00%,"4,200",60,,
2007-01-30,PAFR,Pan Africa Insurance Holdings,26.5,67,116,122,119,120,-1,0.84%,"26,900",59.5,,
2007-01-31,PAFR,Pan Africa Insurance Holdings,26.5,67,116,122,119,119,-,-,"9,100",59.5,,
2007-02-01,PAFR,Pan Africa Insurance Holdings,24,67,115,118,116,119,-3,2.59%,"1,300",58,,
2007-02-02,PAFR,Pan Africa Insurance Holdings,24,67,114,115,114,116,-2,1.75%,"2,700",57,,
2007-02-05,PAFR,Pan Africa Insurance Holdings,26.5,67,106,114,109,114,-5,4.59%,"33,600",54.5,,
2007-02-06,PAFR,Pan Africa Insurance Holdings,26.5,67,107,115,108,109,-1,0.93%,"8,000",54,,
2007-02-07,PAFR,Pan Africa Insurance Holdings,26.5,67,105,110,108,108,-,-,"3,800",54,,
2007-02-08,PAFR,Pan Africa Insurance Holdings,26.5,67,106,110,107,108,-1,0.93%,"4,000",53.5,,
2007-02-09,PAFR,Pan Africa Insurance Holdings,26.5,67,115,115,115,107,8,6.96%,700,57.5,,
2007-02-12,PAFR,Pan Africa Insurance Holdings,26.5,67,114,114,114,115,-1,0.88%,500,57,,
2007-02-13,PAFR,Pan Africa Insurance Holdings,26.5,67,113,115,114,114,-,-,"2,600",57,,
2007-02-14,PAFR,Pan Africa Insurance Holdings,26.5,67,109,115,114,114,-,-,"9,400",57,,
2007-02-15,PAFR,Pan Africa Insurance Holdings,26.5,67,114,115,114,114,-,-,"1,500",57,,
2007-02-16,PAFR,Pan Africa Insurance Holdings,26.5,67,107,110,109,114,-5,4.59%,"5,600",54.5,,
2007-02-19,PAFR,Pan Africa Insurance Holdings,26.5,67,107,114,112,109,3,2.68%,"3,200",56,,
2007-02-20,PAFR,Pan Africa Insurance Holdings,26.5,67,110,110,110,112,-2,1.82%,"6,400",55,,
2007-02-21,PAFR,Pan Africa Insurance Holdings,26.5,67,107,107,107,110,-3,2.80%,"3,000",53.5,,
2007-02-22,PAFR,Pan Africa Insurance Holdings,26.5,67,107,107,107,107,-,-,"1,000",53.5,,
2007-02-26,PAFR,Pan Africa Insurance Holdings,26.5,67,102,107,103,107,-4,3.88%,"1,300",51.5,,
2007-02-27,PAFR,Pan Africa Insurance Holdings,25.5,67,100,107,100,103,-3,3.00%,"3,100",50,,
2007-02-28,PAFR,Pan Africa Insurance Holdings,25.5,67,98,98,98,100,-2,2.04%,500,49,,
2007-03-02,PAFR,Pan Africa Insurance Holdings,26.5,67,94,94,94,98,-4,4.26%,200,47,,
2007-03-05,PAFR,Pan Africa Insurance Holdings,25.5,67,85,90,85.5,94,-8.5,9.94%,"1,300",42.75,,
2007-03-06,PAFR,Pan Africa Insurance Holdings,26.5,67,85,90,89,85.5,3.5,3.93%,"4,400",44.5,,
2007-03-07,PAFR,Pan Africa Insurance Holdings,26.5,67,88.5,88.5,88.5,89,-0.5,0.56%,"1,200",44.25,,
2007-03-08,PAFR,Pan Africa Insurance Holdings,25.5,67,85,88.5,88,88.5,-0.5,0.57%,"19,200",44,,
2007-03-09,PAFR,Pan Africa Insurance Holdings,26.5,67,82,88.5,83,88,-5,6.02%,"2,000",41.5,,
2007-03-12,PAFR,Pan Africa Insurance Holdings,26.5,67,88.5,88.5,88.5,83,5.5,6.21%,100,44.25,,
2007-03-13,PAFR,Pan Africa Insurance Holdings,26.5,67,88.5,90,89,88.5,0.5,0.56%,"6,400",44.5,,
2007-03-14,PAFR,Pan Africa Insurance Holdings,26.5,67,88,92,88.5,89,-0.5,0.56%,"73,200",44.25,,
2007-03-15,PAFR,Pan Africa Insurance Holdings,25.5,67,88,90,88.5,88.5,-,-,"3,900",44.25,,
2007-03-16,PAFR,Pan Africa Insurance Holdings,26.5,67,85,87,86,88.5,-2.5,2.91%,700,43,,
2007-03-19,PAFR,Pan Africa Insurance Holdings,26.5,67,85,90,86.5,86,0.5,0.58%,300,43.25,,
2007-03-20,PAFR,Pan Africa Insurance Holdings,26.5,67,85,85,85,86.5,-1.5,1.76%,"5,000",42.5,,
2007-03-21,PAFR,Pan Africa Insurance Holdings,26.5,67,82,85,82.5,85,-2.5,3.03%,"2,000",41.25,,
2007-03-22,PAFR,Pan Africa Insurance Holdings,26.5,67,82,82,82,82.5,-0.5,0.61%,400,41,,
2007-03-27,PAFR,Pan Africa Insurance Holdings,26.5,67,81,82,81,82,-1,1.23%,"1,500",40.5,,
2007-03-28,PAFR,Pan Africa Insurance Holdings,26.5,67,81,82,81.5,81,0.5,0.61%,"21,100",40.75,,
2007-03-29,PAFR,Pan Africa Insurance Holdings,26.5,67,81,85,82.5,81.5,1,1.21%,"8,500",41.25,,
2007-03-30,PAFR,Pan Africa Insurance Holdings,26.5,67,81,85,82.5,82.5,-,-,"8,600",41.25,,
2007-04-03,PAFR,Pan Africa Insurance Holdings,26.5,67,81,87,81.5,82.5,-1,1.23%,"3,500",40.75,,
2007-04-04,PAFR,Pan Africa Insurance Holdings,26.5,67,81,85,82.5,81.5,1,1.21%,"6,700",41.25,,
