Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,PORT,E.A.Portland Cement,32,64,130,130,130,128,2,1.54%,"5,800",-,,
2007-01-03,PORT,E.A.Portland Cement,32,64,128,128,128,130,-2,1.56%,800,-,,
2007-01-08,PORT,E.A.Portland Cement,32,64,128,130,129,128,1,0.78%,400,-,,
2007-01-09,PORT,E.A.Portland Cement,32,64,130,130,130,129,1,0.77%,"2,500",-,,
2007-01-10,PORT,E.A.Portland Cement,32,64,130,130,130,130,-,-,"1,000",-,,
2007-01-11,PORT,E.A.Portland Cement,32,64,130,130,130,130,-,-,"5,000",-,,
2007-01-12,PORT,E.A.Portland Cement,32,64,130,135,131,130,1,0.76%,"1,800",-,,
2007-01-15,PORT,E.A.Portland Cement,32,64,135,148,135,131,4,2.96%,"3,000",-,,
2007-01-16,PORT,E.A.Portland Cement,32,64,132,132,132,135,-3,2.27%,100,-,,
2007-01-17,PORT,E.A.Portland Cement,32,64,132,140,133,132,1,0.75%,"6,600",-,,
2007-01-18,PORT,E.A.Portland Cement,32,64,140,140,140,133,7,5.00%,"1,100",-,,
2007-01-19,PORT,E.A.Portland Cement,32,64,135,135,135,140,-5,3.70%,"1,000",-,,
2007-01-22,PORT,E.A.Portland Cement,32,64,140,140,140,135,5,3.57%,"2,500",-,,
2007-01-23,PORT,E.A.Portland Cement,32,64,140,140,140,140,-,-,"1,300",-,,
2007-01-24,PORT,E.A.Portland Cement,32,64,140,140,140,140,-,-,100,-,,
2007-01-25,PORT,E.A.Portland Cement,32,64,140,140,140,140,-,-,500,-,,
2007-01-26,PORT,E.A.Portland Cement,32,64,140,140,140,140,-,-,"1,500",-,,
2007-01-29,PORT,E.A.Portland Cement,32,64,140,140,140,140,-,-,100,-,,
2007-01-30,PORT,E.A.Portland Cement,32,64,140,140,140,140,-,-,"6,700",-,,
2007-02-01,PORT,E.A.Portland Cement,32,64,130,130,130,140,-10,7.69%,"2,100",-,,
2007-02-02,PORT,E.A.Portland Cement,32,64,128,140,134,130,4,2.99%,"1,000",-,,
2007-02-05,PORT,E.A.Portland Cement,32,64,129,129,129,134,-5,3.88%,500,-,,
2007-02-06,PORT,E.A.Portland Cement,32,64,135,135,135,129,6,4.44%,800,-,,
