Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,REA,Rea Vipingo Plantations,14.5,23.5,25,26.5,25.5,25.75,-0.25,0.98%,"10,500",-,,
2007-01-03,REA,Rea Vipingo Plantations,14.5,23.5,25,26,25.25,25.5,-0.25,0.99%,"34,900",-,,
2007-01-04,REA,Rea Vipingo Plantations,14.5,23.5,26,27.75,26.5,25.25,1.25,4.72%,"46,300",-,,
2007-01-05,REA,Rea Vipingo Plantations,14.5,23.5,25,29,28,26.5,1.5,5.36%,"24,200",-,,
2007-01-08,REA,Rea Vipingo Plantations,14.5,23.5,28.25,31,29.25,28,1.25,4.27%,"123,900",-,,
2007-01-09,REA,Rea Vipingo Plantations,14.5,23.5,24,30,28,29.25,-1.25,4.46%,"65,400",-,,
2007-01-10,REA,Rea Vipingo Plantations,14.5,23.5,24,26.5,25,28,-3,12.00%,"58,600",-,,
2007-01-11,REA,Rea Vipingo Plantations,14.5,23.5,24,26.5,24.5,25,-0.5,2.04%,"116,600",-,,
2007-01-12,REA,Rea Vipingo Plantations,14.5,23.5,24,26.5,24.5,24.5,-,-,"128,700",-,,
2007-01-15,REA,Rea Vipingo Plantations,14.5,23.5,26,26.25,26,24.5,1.5,5.77%,"33,700",-,,
2007-01-16,REA,Rea Vipingo Plantations,14.5,23.5,24,26.5,25.5,26,-0.5,1.96%,"161,500",-,,
2007-01-17,REA,Rea Vipingo Plantations,14.5,23.5,26,26.25,26,25.5,0.5,1.92%,"86,500",-,,
2007-01-18,REA,Rea Vipingo Plantations,14.5,23.5,26,26.5,26.25,26,0.25,0.95%,"44,200",-,,
2007-01-19,REA,Rea Vipingo Plantations,14.5,23.5,24,27,26,26.25,-0.25,0.96%,"69,300",-,,
2007-01-22,REA,Rea Vipingo Plantations,14.5,23.5,25.5,26,25.75,26,-0.25,0.97%,"19,200",-,,
2007-01-23,REA,Rea Vipingo Plantations,14.5,23.5,24,26,25.5,25.75,-0.25,0.98%,"42,500",-,,
2007-01-24,REA,Rea Vipingo Plantations,14.5,23.5,25,26,25.25,25.5,-0.25,0.99%,"27,300",-,,
2007-01-25,REA,Rea Vipingo Plantations,14.5,23.5,24.5,25,24.75,25.25,-0.5,2.02%,"25,100",-,,
2007-01-26,REA,Rea Vipingo Plantations,14.5,23.5,24.5,24.5,24.5,24.75,-0.25,1.02%,"6,100",-,,
2007-01-29,REA,Rea Vipingo Plantations,14.5,23.5,24.5,26,24.75,24.5,0.25,1.01%,"35,200",-,,
2007-01-30,REA,Rea Vipingo Plantations,14.5,23.5,23,24.5,24,24.75,-0.75,3.13%,"48,100",-,,
2007-01-31,REA,Rea Vipingo Plantations,14.5,23.5,21.5,24.75,23.5,24,-0.5,2.13%,"25,000",-,,
2007-02-01,REA,Rea Vipingo Plantations,14.5,23.5,21.5,23.5,22.75,23.5,-0.75,3.30%,"25,500",-,,
2007-02-02,REA,Rea Vipingo Plantations,14.5,23.5,24,25,24.75,22.75,2,8.08%,"29,600",-,,
