Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,SASN,Sasini Tea and Coffee,10.5,13.6,140,145,140,141,-1,0.71%,"70,900",23.33,,
2007-01-03,SASN,Sasini Tea and Coffee,10.5,13.6,131,142,137,140,-3,2.19%,"63,800",22.83,,
2007-01-04,SASN,Sasini Tea and Coffee,10.5,13.6,135,148,143,137,6,4.20%,"92,900",23.83,,
2007-01-05,SASN,Sasini Tea and Coffee,10.5,13.6,130,148,139,143,-4,2.88%,"77,800",23.17,,
2007-01-08,SASN,Sasini Tea and Coffee,10.5,13.6,130,147,136,139,-3,2.21%,"108,100",22.67,,
2007-01-09,SASN,Sasini Tea and Coffee,10.5,13.6,130,147,136,136,-,-,"115,200",22.67,,
2007-01-10,SASN,Sasini Tea and Coffee,10.5,13.6,131,154,143,136,7,4.90%,"172,100",23.83,,
2007-01-11,SASN,Sasini Tea and Coffee,10.5,13.6,140,150,146,143,3,2.05%,"47,600",24.33,,
2007-01-12,SASN,Sasini Tea and Coffee,10.5,13.6,134,151,147,146,1,0.68%,"313,200",24.5,,
2007-01-15,SASN,Sasini Tea and Coffee,10.5,13.6,148,155,151,147,4,2.65%,"114,000",25.17,,
2007-01-16,SASN,Sasini Tea and Coffee,10.5,13.6,140,155,141,151,-10,7.09%,"320,500",23.5,,
2007-01-17,SASN,Sasini Tea and Coffee,10.5,13.6,144,150,145,141,4,2.76%,"26,400",24.17,,
2007-01-18,SASN,Sasini Tea and Coffee,10.5,13.6,140,148,145,145,-,-,"91,400",24.17,,
2007-01-19,SASN,Sasini Tea and Coffee,10.5,13.6,138,150,145,145,-,-,"119,100",24.17,,
2007-01-22,SASN,Sasini Tea and Coffee,10.5,13.6,139,145,144,145,-1,0.69%,"9,900",24,,
2007-01-23,SASN,Sasini Tea and Coffee,10.5,13.6,140,145,144,144,-,-,"9,000",24,,
2007-01-24,SASN,Sasini Tea and Coffee,10.5,13.6,142,145,144,144,-,-,"6,900",24,,
2007-01-25,SASN,Sasini Tea and Coffee,10.5,13.6,142,145,143,144,-1,0.70%,"6,000",23.83,,
2007-01-26,SASN,Sasini Tea and Coffee,10.5,13.6,140,145,143,143,-,-,"27,000",23.83,,
2007-01-29,SASN,Sasini Tea and Coffee,10.5,13.6,140,145,142,143,-1,0.70%,"23,600",23.67,,
2007-01-30,SASN,Sasini Tea and Coffee,10.5,13.6,142,145,144,142,2,1.39%,"33,900",24,,
2007-01-31,SASN,Sasini Tea and Coffee,10.5,13.6,140,145,142,144,-2,1.41%,"14,200",23.67,,
2007-02-01,SASN,Sasini Tea and Coffee,10.5,13.6,134,140,136,142,-6,4.41%,"26,100",22.67,,
2007-02-02,SASN,Sasini Tea and Coffee,10.5,13.6,130,140,131,136,-5,3.82%,"27,400",21.83,,
2007-02-05,SASN,Sasini Tea and Coffee,10.5,13.6,135,140,138,131,7,5.07%,"6,500",23,,
2007-02-06,SASN,Sasini Tea and Coffee,10.5,13.6,130,135,133,138,-5,3.76%,"22,300",22.17,,
2007-02-07,SASN,Sasini Tea and Coffee,10.5,13.6,130,140,134,133,1,0.75%,"28,400",22.33,,
2007-02-08,SASN,Sasini Tea and Coffee,10.5,13.6,129,134,131,134,-3,2.29%,"43,100",21.83,,
2007-02-09,SASN,Sasini Tea and Coffee,10.5,13.6,130,132,131,131,-,-,"89,200",21.83,,
2007-02-12,SASN,Sasini Tea and Coffee,10.5,13.6,131,132,131,131,-,-,"31,300",21.83,,
2007-02-13,SASN,Sasini Tea and Coffee,10.5,13.6,130,134,132,131,1,0.76%,"38,800",22,,
2007-02-14,SASN,Sasini Tea and Coffee,10.5,13.6,125,134,130,132,-2,1.54%,"17,500",21.67,,
2007-02-15,SASN,Sasini Tea and Coffee,10.5,13.6,15,131,20,130,-110,550.00%,"15,100",-,,
2007-02-16,SASN,Sasini Tea and Coffee,10.5,13.6,16.75,16.75,16.75,20,-3.25,19.40%,700,-,,
2007-02-19,SASN,Sasini Tea and Coffee,10.5,13.6,18.4,18.4,18.4,16.75,1.65,8.97%,"1,200",-,,
2007-02-20,SASN,Sasini Tea and Coffee,10.5,13.6,20,20,20,18.4,1.6,8.00%,"3,100",-,,
2007-02-21,SASN,Sasini Tea and Coffee,10.5,13.6,22,22,22,20,2,9.09%,"2,700",-,,
2007-02-22,SASN,Sasini Tea and Coffee,10.5,13.6,24,24,24,22,2,8.33%,"173,300",-,,
2007-02-23,SASN,Sasini Tea and Coffee,10.5,13.6,23.5,24.75,24.25,24,0.25,1.03%,"375,100",-,,
2007-02-26,SASN,Sasini Tea and Coffee,10.5,13.6,24,25,24.5,24.25,0.25,1.02%,"148,900",-,,
2007-02-27,SASN,Sasini Tea and Coffee,10.5,13.6,23,25,23.75,24.5,-0.75,3.16%,"77,400",-,,
2007-02-28,SASN,Sasini Tea and Coffee,10.5,13.6,22,23,22.5,23.75,-1.25,5.56%,"122,400",-,,
2007-03-01,SASN,Sasini Tea and Coffee,10.5,13.6,20.5,23,22.25,22.5,-0.25,1.12%,"50,600",-,,
2007-03-02,SASN,Sasini Tea and Coffee,10.5,13.6,20,22,21.75,22.25,-0.5,2.30%,"49,600",-,,
2007-03-05,SASN,Sasini Tea and Coffee,10.5,13.6,18.25,18.4,18.3,21.75,-3.45,18.85%,"106,900",-,,
2007-03-06,SASN,Sasini Tea and Coffee,10.5,13.6,16.45,18.25,17.05,18.3,-1.25,7.33%,"114,000",-,,
2007-03-07,SASN,Sasini Tea and Coffee,10.5,13.6,16,18,16.8,17.05,-0.25,1.49%,"97,500",-,,
2007-03-08,SASN,Sasini Tea and Coffee,10.5,13.6,16.5,18,16.55,16.8,-0.25,1.51%,"44,600",-,,
2007-03-09,SASN,Sasini Tea and Coffee,10.5,13.6,16.5,18,17.3,16.55,0.75,4.34%,"52,600",-,,
2007-03-12,SASN,Sasini Tea and Coffee,10.5,13.6,17,18.05,17.35,17.3,0.05,0.29%,"69,500",-,,
2007-03-13,SASN,Sasini Tea and Coffee,10.5,13.6,17,18.5,17.85,17.35,0.5,2.80%,"47,500",-,,
2007-03-14,SASN,Sasini Tea and Coffee,10.5,13.6,18,18.5,18.3,17.85,0.45,2.46%,"46,200",-,,
2007-03-15,SASN,Sasini Tea and Coffee,10.5,13.6,17,19,18.15,18.3,-0.15,0.83%,"102,800",-,,
2007-03-16,SASN,Sasini Tea and Coffee,10.5,13.6,16.05,18.45,17.5,18.15,-0.65,3.71%,"134,100",-,,
2007-03-19,SASN,Sasini Tea and Coffee,10.5,13.6,16.5,18.3,17.2,17.5,-0.3,1.74%,"44,800",-,,
2007-03-20,SASN,Sasini Tea and Coffee,10.5,13.6,16,17,16.45,17.2,-0.75,4.56%,"70,600",-,,
2007-03-21,SASN,Sasini Tea and Coffee,10.5,13.6,15,16.5,16.15,16.45,-0.3,1.86%,"15,700",-,,
2007-03-22,SASN,Sasini Tea and Coffee,10.5,13.6,14.15,16,15.35,16.15,-0.8,5.21%,"76,800",-,,
